ID,Name
saareva,Eva Saar
heinsooheinike,Heinike Heinsoo
runklamihkel,Mihkel Rünkla
ivasulev,Sulev Iva
vaabjanek,Janek Vaab
pajusalukarl,Karl Pajusalu
norvikmiina,Miina Norvik
moshnikovilja,Ilja Moshnikov
tomingasmarili,Marili Tomingas
tuisktuuli,Tuuli Tuisk
rodionovaalexandra,Alexandra Rodionova
zaicevanina,Nina Zaiceva
huhtalaatte,Atte Huhtala
melentjevaolga,Olga Melentjeva
novakirina,Irina Novak
merilomaria,Maria Merilo
metslanghelle,Helle Metslang
teraspire,Pire Teras
deheermervi,Mervi de Heer
pihaminerva,Minerva Piha
wilburjoshua,Joshua Wilbur
niinemagimerit,Merit Niinemägi
morottajapetter,Petter Morottaja
turkhelen,Helen Türk
kejonenolle,Olle Kejonen
kowalikrichard,Richard Kowalik
hiovainasikainenkatri,Katri Hiovain-Asikainen
ylikoskijussi,Jussi Ylikoski
juutinenmarkus,Markus Juutinen
lehtinenmiika,Miika Lehtinen
bradleyjeremy,Jeremy Bradley
podlesnyprzemysaw,Przemysław Podleśny
teptiukdenys,Denys Teptiuk
aasmaeniina,Niina Aasmäe
bernhardtmariann,Mariann Bernhardt
hamariarja,Arja Hamari
bloklandrogier,Rogier Blokland
kuznetsovnikolay,Nikolay Kuznetsov
edygarovasvetlana,Svetlana Edygarova
fgulyasnikolett,Nikolett F. Gulyás
csepregimarta,Márta Csepregi
pomozipeter,Péter Pomozi
forsbergullamaija,Ulla-Maija Forsberg
virtanensusanna,Susanna Virtanen
bakronagymarianne,Marianne Bakro-Nagy
horvathcsilla,Csilla Horváth
skribnikelena,Elena Skribnik
siposmaria,Mária Sipos
fedotovaidaliia,Idaliia Fedotova
khaninaolesya,Olesya Khanina
nikolaevairina,Irina Nikolaeva
soosaarsvenerik,Sven-Erik Soosaar
klumppgerson,Gerson Klumpp
budzischjosefina,Josefina Budzisch
wagnernagybeata,Beáta Wagner Nagy
egorovilya,Ilya Egorov
