ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,UT_Experts,GB_Experts,Subfamily
1,Soikkola_Ingrian,,59.78,28.53,soyk1238,izh,bakro-nagy_ingrian_2022;laanest_isuri_1986;nirvi_inkeroismurteiden_1971;norvik_finnic_2023;saar_isuri_2017;shagal_participial_2018;virtaranta_lahisukukielten_1967,saareva,saareva,Finnic
2,West_Votic,,59.6,28.68,west2391,vot,ariste_grammar_1968;ariste_vadja_1948;bakro-nagy_votic_2022;grunberg_vadja_2013;heinsoo_ma_2010;norvik_finnic_2023,heinsooheinike saareva,heinsooheinike saareva runklamihkel,Finnic
3,Võro_South_Estonian,,57.85,27,voro1241,vro,faster_eesti-voro_2014;grunthal_finnic_2023;iva_voru_2007;keem_voru_2002;noauthor_edc_nodate;pilvik_murded_2021;plado_voro_2023,ivasulev pajusalukarl saareva,ivasulev saareva vaabjanek,Finnic
4,Livvi_Karelian,,61.75,32.59,livv1243,olo,bakro-nagy_karelian_2022;markianova_karjalan_2002;pyoli_livvinkarjalan_2021;torikka_karjalan_2009;zaikov_2000,moshnikovilja,norvikmiina,Finnic
5,Courland_Livonian,,57.57,22.03,west1760,liv,aedkl_archives_2021;bakro-nagy_livonian_2022;damberg_jemakilugdobrantoz_1935;hirvonen_nullsubjekte_2022;jantunen2025livonian;jantunen_order_2014;kehayov_finnic_2025;kettunen_livisches_1938;kettunen_untersuchung_1925;kurpniece_livonian_2023;lehiste_livonian_2008;magiste_liivilaisia_1964;markus_three-way_2012;norvik_finnic_2023;norvik_future_2015;norvik_livonian_2022;pajusalu_phonological_2012;runkla_labiilsus_2025;setala_naytteita_1953;stalte_jelzi_2011;tomingas_pro-forms_2023;tuisk_main_2016;tuisk_observations_2018;ut_uz_1942;vihman_livonian_1971;viitso_concerning_2012;viitso_liivi_2008;viitso_livoki-estiki-tkisonarontoz_2012;viitso_livonian_2007;wiemer_livonian_2025,norvikmiina pajusalukarl tuisktuuli,norvikmiina tomingasmarili,Finnic
6,Ludian,,61.81,33.94,ludi1246,lud,kujola_lyydilaismurteiden_1944;ojansuu_lyydilaisia_1934;pls_priazlyydilaizet_2012,rodionovaalexandra,norvikmiina saareva,Finnic
7,Central_Veps,,60.34,34.79,cent1812,vep,bakro-nagy_veps_2022;grunthal_vepsan_2015;kettunen_naytteita_1935;pajusalu_prosody_2022;zajceva_grammatika_1981b,saareva zaicevanina,saareva vaabjanek,Finnic
8,North_Karelian,,65.17,30.87,nort2673,krl,bakro-nagy_karelian_2022;noauthor_vepkar_nodate;pajusalu_prosody_2022;torikka_karjalan_2009;zaikov_2002;zaikov_vienankarjalan_2013,saareva huhtalaatte melentjevaolga,huhtalaatte norvikmiina,Finnic
9,Tver_Karelian,,57.06,35.86,tver1240,krl,,novakirina,norvikmiina saareva,Finnic
10,Estonian,,58.95,25.51,esto1258,ekk,asu-garcia_eesti_2016;asu_estonian_2009;erelt_eesti_1993;erelt_eesti_1995;erelt_eesti_2017;kasik_sonamoodustus_2015;kehayov_lure_2014;langemets_eesti_2009;metslang_eesti_2023;prillop_eesti_2020;ratsep_arvsonade_2003;ratsep_mul_2009;viht_eesti_2019,metslanghelle norvikmiina pajusalukarl saareva teraspire,norvikmiina saareva merilomaria runklamihkel,Finnic
