ID,Name,Description,ColumnSpec,Area,Contribution_ID,Feature_Description,Source
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,,,Morphology,UT,"
Dual is a grammatical number category that refers to two entities. This question asks whether there is agreement, i.e., that in addition to being märked on the subject, dual is also marked on the verb, as in the South Saami example (1).

(1) South Saami<br/>
>*Månnoeh luhkien*<br/>
>we.1DU read.1DU<br/>
>‘We two read'

Agreement may be consistent for various kinds of nouns (e.g., animate and inanimate nouns) and pronouns. In South Saami, there is dual agreement only for pronouns. In other instances, the plural form is used (cf. examples 2-3).<br/>

(2) South Saami<br/>
>*Maanah låhkijägan*<br/>
>child.PL read.3DU<br/>
>‘Children (= two) read'

(3) South Saami<br/>
>*Göökte  gaahtoeh  byöpmedieh*<br/> 
>two      cat.PL    eat.3PL<br/>
>‘Two cats eat'

## Coding

The value is ‘1’ if there is verbal agreement with a dual subject in at least one of the possibilities mentioned above. The answer is ‘0’ if dual is marked only on the verb or only on the noun.</p>",
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,,,Syntax,UT,"
In addition to instances of agreement between the nominal subject and verbal predicate, there may also be examples of non-agreement, as in example (1).

(1) Finnish<br/>
>*Lumeen jäi tasaiset jäljet*<br/>
>lume-en jä-i tasaise-t jälje-t<br/>
>snow-ILL remain-PST.3SG even-PL step-PL<br/>
>‘In the snow, there remained even steps’

It should be noted that this question only targets instances of formal agreement. When answering this question we did not consider instances where the subject is a quantity expression (2) or consists of coordinated items (3).

(2) Estonian<br/>
>*Viis last läks ~ läksid poodi*<br/> 
>five child.PRT go.PST.3SG ~ go.PST.3PL shop.ILL<br/>
>‘Five children went to the shop’

(3) Mari ([Alhoniemi 1985](sources.bib?label=Alhoniemi+1985#cldf:alhoniemi_marin_1985):73)<br/>
>*Otǝ̑štǝ̑ tumo, piste, pükšerme kuškǝ̑t*<br/>
>grove.INE oak linden nut.tree grow.3PL<br/>
>‘In the grove, there grow oak, linden, and nut trees’<br/>


## Coding

The value is '1' if formal non-agreement can be attested. In other cases, incl. instances of semantic non-agreement, the value is '0'.
",alhoniemi_marin_1985
UT003,Can finite verbs agree in number with a nominal object?,,,Syntax,UT,"
In addition to marking the P argument on the verb, a language may also encode the number of the object, as in Tundra Nenets (1a-b). This question maps languages, where such agreement is possible.

(1) Tundra Nenets<br/>
>a. *xadaəda*<br/>
>xadaə-da<br/>
>kill-3SG>SG.OBJ<br/>
>‘He killed him/her’<br/>

>b. *xadaŋaxəyuda*<br/>
>xadaŋa-xəyu-da<br/>
>kill-DU.OBJ-3SG<br/>
>‘He killed them two’<br/>
([Nikolaeva 2014](sources.bib?label=Nikolaeva+2014#cldf:nikolaeva_grammar_2014):80)

By comparison, in Hungarian, irrespective of the number of the object, the 1Sg personal ending in the definite conjugation is *-m* (2). Thus, Hungarian is coded as '0'.
 
>(2) Hungarian<br/>
> *Elolvastam a könyvet / a könyveket*<br/>
> el-olvas-t-am a könyv-et / a könyv-ek-et*<br/>
>PFX-read-PST-1SG.DEF DEF.ART book-ACC / DEF.ART book-PL-ACC<br/>
>'I read the book / the books'

## Coding

The value is ‘1’ if there is a way to mark the number of the object on the main verb (as in Tundra Nenets). If no such distinction can be made, the value is '0' (as in Hungarian).
",nikolaeva_grammar_2014
UT004,Can an adnominal property word agree with the noun in case?,,,Syntax,UT,"
This question asks whether the adnominal property word can take the same case form as the head noun (see example 1). Property words roughly correspond to adjectives.

(1) Estonian<br/>
>*vanas majas*<br/>
>vana-s maja-s<br/>
>old-INE  house-INE<br/> 
>‘in an old house’

## Coding

The value is '1' if agreement is possible in at least some parts of the case paradigm, if not, the value is '0' (see also UT005). Adjectivized participial forms were not considered when answering this question.",
UT005,Is there non-agreement between an adnominal property word and the head noun? ,,,Syntax,UT,"
Adjectives used as adnominal modifiers may share some but not necessarily all categories with their head nouns. For instance, in Veps, a comitative head noun is preceded by an adnominal property word in its genitive form (example 1). While Veps shows non-agreement only in some parts of the paradigm, there are languages like Mari (see example 2) that do not show any agreement between a modifier and the head noun at all.

(1) Veps<br/>
>*penen mužikanke*<br/>
>pene-n mužika-nke<br/>
>short-GEN man-COM<br/> 
>‘with a short man’<br/> 
([Grünthal 2015](sources.bib?label=Gr%C3%BCnthal+2015#cldf:grunthal_vepsan_2015):16)

(2) Meadow Mari<br/>
>*сылне сӱретлан*<br/>
>сылне сӱрет-лан<br/>
>beautiful picture-DAT<br/>
>'to the beautiful picture'<br/>
([Riese et al. 2019](sources.bib?label=Riese+et+al.+2019#cldf:riese_mari_2019))

## Coding

The value is '1' in both cases, i.e., when non-agreement is attested only in some parts of the paradigm as well as when there is no agreement within noun phrases at all. The value is '0' if agreement across the paradigm is obligatory.
",grunthal_vepsan_2015;riese_mari_2019
UT006,Can adpositions be used to mark core verbal arguments?,,,Syntax,UT,"
Subjects and objects are usually necessary to complete the meaning of a verb, which is why they are called *core arguments*. In languages that have cases, the distinction between subject and object is typically expressed by case marking. The aim of this question is to determine whether adpositions can also be used to mark them. For example, in the Mordvin languages there are four cases used for object marking: the nominative, genitive, inessive, and partitive (less common). As regards the inessive object, in Erzya, both the synthetic case suffix and an analytic postpositional construction can be used, while in Moksha, only the postpositional case form is available ([Hamari and Ajanki 2022](sources.bib?label=Hamari+and+Ajanki+2022#cldf:bakro-nagy_mordvin_2022):426-428; [Alhoniemi 1991](sources.bib?label=Alhoniemi+1991#cldf:alhoniemi_zur_1991):27).

(1) Moksha<br/>
>*Лоткама васттнень эса ломаттне учихть **троллейбусть эса***<br/>
>lotkɑ-mɑ vɑst-tnǝn e-sɑ lomɑttnæ u͡tɕ-iȷ̊tj troljljejbus-tj e-sɑ<br/>
>stop-PTCP place-GEN.DEF.PL POSTP-INE person.NOM.DEF.PL wait-PRS.3PL trolleybus-GEN.DEF POSTP-INE<br/>
>‘At the stops, people are waiting for the trolleybus’<br/>
([Hamari and Ajanki 2022](sources.bib?label=Hamari+and+Ajanki+2022#cldf:bakro-nagy_mordvin_2022):427)

## Coding

The value is '1' if it is possible to use an adpositional construction to mark at least one of the core arguments (S, A, and/or P) and the corresponding usage is not an instance of government, i.e., where a particular verb requires a certain adpositonal construction. When answering the question, passive clauses are not considered.
",alhoniemi_zur_1991;bakro-nagy_mordvin_2022
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,,,Syntax,UT,"
Non-finite clauses can differ from finite clauses in terms of core argument marking. For instance, in Meadow Mari, the genitive case can be used to mark S/A in non-finite clauses:

(1) Meadow Mari<br/>
>***унавлакын** кайымекышт, ме малаш возынна*<br/>
>unɑ-vlɑk-ən kɑjə-mekə-ʃt, me mɑl-ɑʃ voz-ən-nɑ<br/>
>guest-PL-GEN go-CVB.PRI-PX3PL 1PL sleep-INF lie.down-PST2-1PL<br/>
>'After the guests left, we went to sleep'<br/>
([Riese et al. 2022](sources.bib?label=Riese+et+al.+2022#cldf:riese_mari_2022):269)

## Coding

The value is '1' if the S/A argument of the non-finite clause is encoded with a case that is not commonly used to encode the corresponding argument in the finite clause. For instance, in Mari, while the S/A argument of the non-finite clause may be encoded with the genitive case, in finite clauses the nominative case is typically used.
",riese_mari_2022
UT009,Can non-finite clauses use a special means for core argument (P) marking?,,,Syntax,UT,"
Non-finite clauses can differ from finite clauses in terms of core argument marking. This question asks whether P in non-finite clauses can be marked in a way that is not typical for finite clauses. For instance, in Hill Mari, the nominative can encode objects in non-finite clauses (1-2), while this is not common for finite clauses ([Saarinen 2022](sources.bib?label=Saarinen+2022#cldf:bakro-nagy_mari_2022):438-439).

(1) Hill Mari<br/>
>*Салтак йӓрӹшкӹ **кол** кычаш ашкедӹм*<br/>
>Sɑltɑk jær-ə̈ʃkə̈ kol kət͡ʃ-ɑʃ ɑʃked-ə̈m<br/>
>Saltak lake-ILL fish.NOM catch-INF go-PST1.1SG<br/>
>'I walked to Lake Saltak to go fishing'<br/>
([Krasnova et al. 2017](sources.bib?label=Krasnova+et+al.+2017#cldf:krasnova_reading_2017):292)

(2) Meadow Mari<br/>
>***паша** ыштышыла*<br/>
>pɑʃɑ əʃtə-ʃəlɑ<br/>
>work.NOM do-CVB<br/>
>‘while working’<br/>
([Saarinen 2022](sources.bib?label=Saarinen+2022#cldf:bakro-nagy_mari_2022):438)

For a special means of S/A marking in non-finite clauses, see UT008.

## Coding

The value is '1' if the P argument of the non-finite clause is encoded in a way that is not commonly used to encode the corresponding argument in the finite clause.
",bakro-nagy_mari_2022;krasnova_reading_2017
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",,,Syntax,UT,"
In languages with overt case-marking of direct objects, the marking may depend on semantic and pragmatic features; a phenomenon known as differential object marking (DOM) ([Aissen 2003](sources.bib?label=Aissen+2003#cldf:Aissen2003)). This question asks whether differences in object marking are conditioned by certain characteristics of an object, such as topicality, animacy, or definiteness. For example, in Komi, definite inanimate objects can be either marked or unmarked (1a), whereas animate objects obligatorily take the accusative case (1b). 

(1) Komi Zyrian<br/>
>a. *Ме любита **Сыктывкарöс ~ Сыктывкар***<br/>
>me ʎubit-ɑ Sɨktɨvkɑr-ɘs ~ Sɨktɨvkɑr<br/>
>1SG love-PRS.1SG Syktyvkar-ACC ~ Syktyvkar[ACC]<br/>
>‘I like Syktyvkar’

>b. *Ме любита **Бобикöс***<br/>
>me ʎubit-ɑ Bobik-ɘs<br/>
>1SG love-PRS.1SG Bobik-ACC<br/>
>‘I like Bobik'<br/>
([Klumpp 2012](sources.bib?label=Klumpp+2012#cldf:Klumpp_2012):345)

Cf. the prominecy scale ([Aissen 2003](sources.bib?label=Aissen+2003#cldf:Aissen2003)): 
 - Animacy scale: HUMAN > ANIMATE > INANIMATE
 - Definiteness scale: PERSONAL PRONOUN > PROPER NAME > DEFINITE NP > INDEFINITE SPECIFIC NP > NON-SPECIFIC NP
 
## Coding

The value is '1' if at least one of the above mentioned characteristics of an object referent causes differences in direct object marking. When answering the question, only finite clauses are considered.
",Aissen2003;Klumpp_2012
UT011,Does object marking correlate with aspectuality?,,,Syntax,UT,"
Although differential object marking (DOM) is generally based on hierarchies reflecting certain characteristics of an object (such as animacy, topicality, definiteness; see UT010), there are also languages that use DOM to convey aspectual nuances, e.g., perfectivity vs. imperfectivity ([Malchukov and de Hoop 2011](sources.bib?label=Malchukov+and+de+Hoop+2011#cldf:Malchukov2011)). In Estonian, the genitive object tends to receive a perfective/bounded interpretation (1a), whereas the partitive object gets an imperfcetive/unbounded interpretation (1b). 

(1) Estonian<br/>
>a. *Anne ostis **jalgratta***<br/>
>Anne ost-is jalgratta<br/>
>Anne buy-PST.3SG  bicycle.GEN<br/>
>‘Anne bought a bicycle’

>b. *Anne ostis **jalgratast***<br/>
>Anne ost-is jalgratas-t<br/>
>Anne buy-PST.3SG  bicycle-PRT<br/>
>‘Anne was buying a bicycle’<br/>

## Coding

The value is '1' if differences in direct object marking are based on differences in conveying aspectual information. The answer is '1' even if there are some restrictions, e.g., in Erzya, the definite conjugation can be associated with perfectivity/future and the indefinite conjugation with imperfectivity/present, although this does not apply to verbs expressing state and perception. When answering the question, only finite clauses were considered.
",Malchukov2011
