ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_ID
Akkala_Saami-UT001,38,UT001,0,,,,
Akkala_Saami-UT002,38,UT002,0,,,,
Akkala_Saami-UT003,38,UT003,0,,,,
Akkala_Saami-UT004,38,UT004,0,,,,
Akkala_Saami-UT005,38,UT005,1,,,,
Akkala_Saami-UT006,38,UT006,0,,,,
Akkala_Saami-UT008,38,UT008,1,,,,
Akkala_Saami-UT009,38,UT009,0,,,,
Akkala_Saami-UT010,38,UT010,0,,,,
Akkala_Saami-UT011,38,UT011,0,,,,
Akkala_Saami-UT012,38,UT012,0,,,,
Akkala_Saami-UT013,38,UT013,0,,,,
Akkala_Saami-UT014,38,UT014,1,,,,
Akkala_Saami-UT015,38,UT015,0,,,,
Akkala_Saami-UT016,38,UT016,1,,,,
Akkala_Saami-UT017,38,UT017,1,,,,
Akkala_Saami-UT018,38,UT018,1,,,,
Akkala_Saami-UT019,38,UT019,1,,,,
Akkala_Saami-UT020,38,UT020,0,,,,
Akkala_Saami-UT021,38,UT021,1,,,,
Akkala_Saami-UT022,38,UT022,0,,,,
Akkala_Saami-UT023,38,UT023,0,,,,
Akkala_Saami-UT024,38,UT024,0,,,,
Akkala_Saami-UT025,38,UT025,0,,,,
Akkala_Saami-UT026,38,UT026,1,,,,
Akkala_Saami-UT027,38,UT027,1,,,,
Akkala_Saami-UT028,38,UT028,0,,,,
Akkala_Saami-UT029,38,UT029,0,,,,
Akkala_Saami-UT030,38,UT030,0,,,,
Akkala_Saami-UT031,38,UT031,0,,,,
Akkala_Saami-UT032,38,UT032,0,,,,
Akkala_Saami-UT033,38,UT033,0,,,,
Akkala_Saami-UT034,38,UT034,0,,,,
Akkala_Saami-UT035,38,UT035,0,,,,
Akkala_Saami-UT037,38,UT037,0,,,,
Akkala_Saami-UT200,38,UT200,1,,,,
Akkala_Saami-UT040,38,UT040,1,,,,
Akkala_Saami-UT201,38,UT201,?,,,,
Akkala_Saami-UT043,38,UT043,1,,,,
Akkala_Saami-UT044,38,UT044,0,,,,
Akkala_Saami-UT045,38,UT045,0,,,,
Akkala_Saami-UT202,38,UT202,1,,,,
Akkala_Saami-UT047,38,UT047,1,,,,
Akkala_Saami-UT048,38,UT048,1,,,,
Akkala_Saami-UT049,38,UT049,0,,,,
Akkala_Saami-UT050,38,UT050,1,,,,
Akkala_Saami-UT051,38,UT051,0,,,,
Akkala_Saami-UT052,38,UT052,0,,,,
Akkala_Saami-UT053,38,UT053,1,,,,
Akkala_Saami-UT054,38,UT054,1,,,,
Akkala_Saami-UT055,38,UT055,1,,,,
Akkala_Saami-UT056,38,UT056,1,,,,
Akkala_Saami-UT057,38,UT057,0,,,,
Akkala_Saami-UT058,38,UT058,1,,,,
Akkala_Saami-UT059,38,UT059,0,,,,
Akkala_Saami-UT060,38,UT060,0,,,,
Akkala_Saami-UT062,38,UT062,0,,,,
Akkala_Saami-UT063,38,UT063,1,,,,
Akkala_Saami-UT064,38,UT064,1,,,,
Akkala_Saami-UT065,38,UT065,0,,,,
Akkala_Saami-UT066,38,UT066,0,,,,
Akkala_Saami-UT067,38,UT067,0,,,,
Akkala_Saami-UT070,38,UT070,0,,,,
Akkala_Saami-UT071,38,UT071,1,,,,
Akkala_Saami-UT072,38,UT072,1,,,,
Akkala_Saami-UT073,38,UT073,1,,,,
Akkala_Saami-UT074,38,UT074,1,,,,
Akkala_Saami-UT075,38,UT075,0,,,,
Akkala_Saami-UT076,38,UT076,0,,,,
Akkala_Saami-UT077,38,UT077,0,,,,
Akkala_Saami-UT078,38,UT078,0,,,,
Akkala_Saami-UT079,38,UT079,1,,,,
Akkala_Saami-UT080,38,UT080,1,,,,
Akkala_Saami-UT082,38,UT082,0,,,,
Akkala_Saami-UT083,38,UT083,0,,,,
Akkala_Saami-UT084,38,UT084,1,,,,
Akkala_Saami-UT085,38,UT085,0,,,,
Akkala_Saami-UT086,38,UT086,1,,,,
Akkala_Saami-UT087,38,UT087,0,,,,
Akkala_Saami-UT088,38,UT088,0,,,,
Akkala_Saami-UT089,38,UT089,0,,,,
Akkala_Saami-UT090,38,UT090,1,,,,
Akkala_Saami-UT091,38,UT091,0,,,,
Akkala_Saami-UT092,38,UT092,0,,,,
Akkala_Saami-UT093,38,UT093,1,,,,
Akkala_Saami-UT203,38,UT203,0,,,,
Akkala_Saami-UT095,38,UT095,1,,,,
Akkala_Saami-UT096,38,UT096,0,,,,
Akkala_Saami-UT097,38,UT097,0,,,,
Akkala_Saami-UT098,38,UT098,0,,,,
Akkala_Saami-UT099,38,UT099,0,,,,
Akkala_Saami-UT100,38,UT100,0,,,,
Akkala_Saami-UT101,38,UT101,1,,,,
Akkala_Saami-UT102,38,UT102,0,,,,
Akkala_Saami-UT204,38,UT204,0,,,,
Akkala_Saami-UT104,38,UT104,0,,,,
Akkala_Saami-UT105,38,UT105,0,,,,
Akkala_Saami-UT106,38,UT106,1,,,,
Akkala_Saami-UT107,38,UT107,0,,,,
Akkala_Saami-UT108,38,UT108,0,,,,
Akkala_Saami-UT109,38,UT109,1,,,,
Akkala_Saami-UT110,38,UT110,1,,,,
Akkala_Saami-UT205,38,UT205,1,,,,
Akkala_Saami-UT112,38,UT112,1,,,,
Akkala_Saami-UT113,38,UT113,?,,,,
Akkala_Saami-UT114,38,UT114,0,,,,
Akkala_Saami-UT115,38,UT115,0,,,,
Akkala_Saami-UT116,38,UT116,1,,,,
Akkala_Saami-UT117,38,UT117,1,,,,
Akkala_Saami-UT118,38,UT118,1,,,,
Akkala_Saami-UT119,38,UT119,1,,,,
Akkala_Saami-UT120,38,UT120,1,,,,
Akkala_Saami-UT121,38,UT121,1,,,,
Akkala_Saami-UT122,38,UT122,1,,,,
Akkala_Saami-UT123,38,UT123,0,,,,
Akkala_Saami-UT124,38,UT124,?,,,,
Akkala_Saami-UT125,38,UT125,1,,,,
Akkala_Saami-UT126,38,UT126,0,,,,
Akkala_Saami-UT127,38,UT127,0,,,,
Akkala_Saami-UT128,38,UT128,0,,,,
Akkala_Saami-UT129,38,UT129,0,,,,
Akkala_Saami-UT130,38,UT130,0,,,,
Akkala_Saami-UT131,38,UT131,0,,,,
Akkala_Saami-UT132,38,UT132,1,,,,
Akkala_Saami-UT133,38,UT133,0,,,,
Akkala_Saami-UT134,38,UT134,0,,,,
Akkala_Saami-UT135,38,UT135,0,,,,
Akkala_Saami-UT136,38,UT136,0,,,,
Akkala_Saami-UT137,38,UT137,0,,,,
Akkala_Saami-UT138,38,UT138,0,,,,
Akkala_Saami-UT139,38,UT139,1,,,,
Akkala_Saami-UT140,38,UT140,1,,,,
Akkala_Saami-UT141,38,UT141,1,,,,
Akkala_Saami-UT142,38,UT142,1,,,,
Akkala_Saami-UT143,38,UT143,1,,,,
Akkala_Saami-UT144,38,UT144,1,,,,
Akkala_Saami-UT145,38,UT145,0,,,,
Akkala_Saami-UT146,38,UT146,1,,,,
Akkala_Saami-UT147,38,UT147,1,,,,
Akkala_Saami-UT148,38,UT148,1,,,,
Akkala_Saami-UT149,38,UT149,1,,,,
Akkala_Saami-UT150,38,UT150,0,,,,
Akkala_Saami-UT151,38,UT151,1,,,,
Akkala_Saami-UT152,38,UT152,1,,,,
Akkala_Saami-UT153,38,UT153,1,,,,
Akkala_Saami-UT154,38,UT154,1,,,,
Akkala_Saami-UT155,38,UT155,1,,,,
Akkala_Saami-UT156,38,UT156,0,,,,
Akkala_Saami-UT157,38,UT157,0,,,,
Akkala_Saami-UT158,38,UT158,0,,,,
Akkala_Saami-UT159,38,UT159,1,,,,
Akkala_Saami-UT160,38,UT160,1,,,,
Akkala_Saami-UT161,38,UT161,1,,,,
Akkala_Saami-UT162,38,UT162,0,,,,
Akkala_Saami-UT163,38,UT163,1,,,,
Akkala_Saami-UT164,38,UT164,1,,,,
Akkala_Saami-UT165,38,UT165,1,,,,
Akkala_Saami-UT166,38,UT166,1,,,,
Akkala_Saami-GB020,38,GB020,0,,,,
Akkala_Saami-GB021,38,GB021,0,,,,
Akkala_Saami-GB022,38,GB022,0,,,,
Akkala_Saami-GB023,38,GB023,0,,,,
Akkala_Saami-GB024,38,GB024,1,,,,
Akkala_Saami-GB025,38,GB025,1,,,,
Akkala_Saami-GB026,38,GB026,0,,,,
Akkala_Saami-GB027,38,GB027,1,,,,
Akkala_Saami-GB028,38,GB028,0,,,,
Akkala_Saami-GB030,38,GB030,0,,,,
Akkala_Saami-GB031,38,GB031,0,,,,
Akkala_Saami-GB035,38,GB035,1,,,,
Akkala_Saami-GB036,38,GB036,0,,,,
Akkala_Saami-GB037,38,GB037,0,,,,
Akkala_Saami-GB038,38,GB038,0,,,,
Akkala_Saami-GB039,38,GB039,0,,,,
Akkala_Saami-GB041,38,GB041,0,,,,
Akkala_Saami-GB042,38,GB042,0,,,,
Akkala_Saami-GB043,38,GB043,0,,,,
Akkala_Saami-GB044,38,GB044,0,,,,
Akkala_Saami-GB046,38,GB046,0,,,,
Akkala_Saami-GB047,38,GB047,1,,,,
Akkala_Saami-GB048,38,GB048,1,,,,
Akkala_Saami-GB049,38,GB049,0,,,,
Akkala_Saami-GB051,38,GB051,0,,,,
Akkala_Saami-GB052,38,GB052,0,,,,
Akkala_Saami-GB053,38,GB053,0,,,,
Akkala_Saami-GB054,38,GB054,0,,,,
Akkala_Saami-GB057,38,GB057,0,,,,
Akkala_Saami-GB058,38,GB058,0,,,,
Akkala_Saami-GB059,38,GB059,0,,,,
Akkala_Saami-GB065,38,GB065,1,,,,
Akkala_Saami-GB068,38,GB068,0,,,,
Akkala_Saami-GB069,38,GB069,0,,,,
Akkala_Saami-GB070,38,GB070,1,,,,
Akkala_Saami-GB071,38,GB071,1,,,,
Akkala_Saami-GB072,38,GB072,1,,,,
Akkala_Saami-GB073,38,GB073,1,,,,
Akkala_Saami-GB074,38,GB074,1,,,,
Akkala_Saami-GB075,38,GB075,1,,,,
Akkala_Saami-GB079,38,GB079,0,,,,
Akkala_Saami-GB080,38,GB080,1,,,,
Akkala_Saami-GB081,38,GB081,0,,,,
Akkala_Saami-GB082,38,GB082,1,,,,
Akkala_Saami-GB083,38,GB083,1,,,,
Akkala_Saami-GB084,38,GB084,0,,,,
Akkala_Saami-GB086,38,GB086,0,,,,
Akkala_Saami-GB089,38,GB089,1,,,,
Akkala_Saami-GB090,38,GB090,0,,,,
Akkala_Saami-GB091,38,GB091,1,,,,
Akkala_Saami-GB092,38,GB092,0,,,,
Akkala_Saami-GB093,38,GB093,0,,,,
Akkala_Saami-GB094,38,GB094,0,,,,
Akkala_Saami-GB095,38,GB095,0,,,,
Akkala_Saami-GB096,38,GB096,0,,,,
Akkala_Saami-GB098,38,GB098,0,,,,
Akkala_Saami-GB099,38,GB099,0,,,,
Akkala_Saami-GB103,38,GB103,0,,,,
Akkala_Saami-GB104,38,GB104,0,,,,
Akkala_Saami-GB105,38,GB105,0,,,,
Akkala_Saami-GB107,38,GB107,0,,,,
Akkala_Saami-GB108,38,GB108,0,,,,
Akkala_Saami-GB109,38,GB109,0,,,,
Akkala_Saami-GB110,38,GB110,0,,,,
Akkala_Saami-GB111,38,GB111,1,,,,
Akkala_Saami-GB113,38,GB113,1,,,,
Akkala_Saami-GB114,38,GB114,1,,,,
Akkala_Saami-GB115,38,GB115,1,,,,
Akkala_Saami-GB116,38,GB116,0,,,,
Akkala_Saami-GB117,38,GB117,1,,,,
Akkala_Saami-GB118,38,GB118,0,,,,
Akkala_Saami-GB119,38,GB119,0,,,,
Akkala_Saami-GB120,38,GB120,1,,,,
Akkala_Saami-GB121,38,GB121,1,,,,
