"ID","Name","Area"
"GB020","Are there definite or specific articles?","Syntax"
"GB021","Are there indefinite or non-specific articles?","Syntax"
"GB022","Are there prenominal articles?","Syntax"
"GB023","Are there postnominal articles?","Syntax"
"GB024","What is the order of numeral and noun in the NP?","Syntax"
"GB025","What is the order of adnominal demonstrative and noun?","Syntax"
"GB026","Can adnominal property words occur discontinuously?","Syntax"
"GB027","Are nominal conjunction and comitative expressed by different elements?","Syntax"
"GB028","Is there a distinction between inclusive and exclusive?","Lexicon"
"GB030","Is there a gender distinction in phonologically independent third person pronouns?","Lexicon"
"GB031","Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?","Lexicon"
"GB035","Are there three or more distance contrasts in adnominal demonstratives?","Lexicon"
"GB036","Do adnominal demonstratives show an elevation distinction?","Lexicon"
"GB037","Do adnominal demonstratives show a visible-nonvisible distinction?","Lexicon"
"GB038","Are there demonstrative classifiers?","Morphology"
"GB039","Is there nonphonological allomorphy of noun number markers?","Morphology"
"GB041","Are there several nouns (more than three) which are suppletive for number?","Lexicon"
"GB042","Is there a productive overt morphological singular marker on nouns?","Morphology"
"GB043","Is there a productive morphological dual marker on nouns?","Morphology"
"GB044","Is there a productive morphological plural marker on nouns?","Morphology"
"GB046","Is there an associative plural marker for nouns?","Morphology"
"GB047","Is there a productive morphological pattern for deriving an action/state noun from a verb?","Morphology"
"GB048","Is there a productive morphological pattern for deriving an agent noun from a verb?","Morphology"
"GB049","Is there a productive morphological pattern for deriving an object noun from a verb?","Morphology"
"GB051","Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?","Lexicon"
"GB052","Is there a noun class/gender system where shape is a factor in class assignment?","Lexicon"
"GB053","Is there a noun class/gender system where animacy is a factor in class assignment?","Lexicon"
"GB054","Is there a noun class/gender system where plant status is a factor in class assignment?","Lexicon"
"GB057","Are there numeral classifiers?","Morphology"
"GB058","Are there possessive classifiers?","Morphology"
"GB059","Is the adnominal possessive construction different for alienable and inalienable nouns?","Syntax"
"GB065","What is the pragmatically unmarked order of adnominal possessor and possessed noun?","Syntax"
"GB068","Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?","Morphology"
"GB069","Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?","Morphology"
"GB070","Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?","Morphology"
"GB071","Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?","Morphology"
"GB072","Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?","Morphology"
"GB073","Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?","Morphology"
"GB074","Are there prepositions?","Syntax"
"GB075","Are there postpositions?","Syntax"
"GB079","Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?","Morphology"
"GB080","Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?","Morphology"
"GB081","Is there productive infixation in verbs?","Morphology"
"GB082","Is there overt morphological marking of present tense on verbs?","Morphology"
"GB083","Is there overt morphological marking on the verb dedicated to past tense?","Morphology"
"GB084","Is there overt morphological marking on the verb dedicated to future tense?","Morphology"
"GB086","Is a morphological distinction between perfective and imperfective aspect available on verbs?","Morphology"
"GB089","Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?","Syntax"
"GB090","Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?","Syntax"
"GB091","Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?","Syntax"
"GB092","Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?","Syntax"
"GB093","Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?","Syntax"
"GB094","Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?","Syntax"
"GB095","Are variations in marking strategies of core participants based on TAM distinctions?","Syntax"
"GB096","Are variations in marking strategies of core participants based on verb classes?","Syntax"
"GB098","Are variations in marking strategies of core participants based on person distinctions?","Syntax"
"GB099","Is there verb suppletion for participant person?","Lexicon"
"GB103","Can a verb have a benefactive marker (applicative marker or index)?","Morphology"
"GB104","Can a verb have an instrumental marker (applicative marker or index)?","Morphology"
"GB105","Can the recipient in a ditransitive construction be marked like the transitive patient?","Syntax"
"GB107","Can standard negation be marked by an affix, clitic or modification of the verb?","Morphology"
"GB108","Is there directional or locative morphological marking on verbs?","Morphology"
"GB109","Is there verb suppletion for participant number?","Lexicon"
"GB110","Is there verb suppletion for tense or aspect?","Lexicon"
"GB111","Are there conjugation classes?","Morphology"
"GB113","Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?","Morphology"
"GB114","Is there a phonologically bound reflexive marker on the verb?","Morphology"
"GB115","Is there a phonologically bound reciprocal marker on the verb?","Morphology"
"GB116","Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?","Syntax"
"GB117","Is there a copula for predicate nominals?","Syntax"
"GB118","Are there serial verb constructions?","Syntax"
"GB119","Can mood be marked by an inflecting word (‘auxiliary verb’)?","Morphology"
"GB120","Can aspect be marked by an inflecting word (‘auxiliary verb’)?","Morphology"
"GB121","Can tense be marked by an inflecting word (‘auxiliary verb’)?","Morphology"
"GB122","Is verb compounding a regular process?","Morphology"
"GB123","Are there verb-adjunct (aka light-verb) constructions?","Syntax"
"GB124","Is incorporation of nouns into verbs a productive intransitivizing process?","Morphology"
"GB126","Is there an existential verb?","Syntax"
"GB127","Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. ‘to lie’ vs. ‘to stand’)?","Syntax"
"GB129","Is there a notably small number of verb roots in the language?","Lexicon"
"GB130","What is the pragmatically unmarked order of S and V in intransitive clauses?","Syntax"
"GB131","Is a pragmatically unmarked constituent order verb-initial for transitive clauses?","Syntax"
"GB132","Is a pragmatically unmarked constituent order verb-medial for transitive clauses?","Syntax"
"GB133","Is a pragmatically unmarked constituent order verb-final for transitive clauses?","Syntax"
"GB134","Is the order of constituents the same in main and subordinate clauses?","Syntax"
"GB135","Do clausal objects usually occur in the same position as nominal objects?","Syntax"
"GB136","Is the order of core argument (i.e. S, A, and P) constituents fixed?","Syntax"
"GB137","Can standard negation be marked clause-finally?","Syntax"
"GB138","Can standard negation be marked clause-initially?","Syntax"
"GB139","Is there a difference between imperative (prohibitive) and declarative negation constructions?","Syntax"
"GB140","Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?","Syntax"
"GB146","Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?","Syntax"
"GB147","Is there a morphological passive marked on the lexical verb?","Morphology"
"GB148","Is there a morphological antipassive marked on the lexical verb?","Morphology"
"GB149","Is there a morphologically marked inverse on verbs?","Morphology"
"GB150","Is there clause chaining?","Syntax"
"GB151","Is there an overt verb marker dedicated to signaling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (‘switch reference’)?","Syntax"
"GB152","Is there a morphologically marked distinction between simultaneous and sequential clauses?","Morphology"
"GB155","Are causatives formed by affixes or clitics on verbs?","Morphology"
"GB156","Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for ‘to say’?","Syntax"
"GB158","Are verbs reduplicated?","Morphology"
"GB159","Are nouns reduplicated?","Morphology"
"GB160","Are elements apart from verbs or nouns reduplicated?","Morphology"
"GB165","Is there a productive morphological trial marker on nouns?","Morphology"
"GB166","Is there a productive morphological paucal marker on nouns?","Morphology"
"GB167","Is there a logophoric pronoun?","Syntax"
"GB170","Can an adnominal property word agree with the noun in noun class/gender?","Syntax"
"GB171","Can an adnominal demonstrative agree with the noun in noun class/gender?","Syntax"
"GB172","Can an article agree with the noun in noun class/gender?","Syntax"
"GB177","Can the verb carry a marker of animacy of argument, unrelated to any noun class/gender of the argument visible in the NP domain?","Morphology"
"GB184","Can an adnominal property word agree with the noun in number?","Syntax"
"GB185","Can an adnominal demonstrative agree with the noun in number?","Syntax"
"GB186","Can an article agree with the noun in number?","Syntax"
"GB187","Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?","Morphology"
"GB188","Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?","Morphology"
"GB192","Is there a noun class/gender system where a noun’s phonological properties are a factor in class assignment?","Morphology"
"GB193","What is the order of adnominal property word and noun?","Syntax"
"GB196","Is there a masculine/feminine distinction in phonologically independent second person pronouns?","Morphology"
"GB197","Is there a masculine/feminine distinction in phonologically independent first person pronouns?","Morphology"
"GB198","Can an adnominal numeral agree with the noun in noun class/gender?","Syntax"
"GB203","What is the order of the adnominal collective universal quantifier (‘all’) and the noun?","Syntax"
"GB204","Do collective (‘all’) and distributive (‘every’) universal quantifiers differ in their forms or their syntactic positions?","Syntax"
"GB250","Can predicative possession be expressed with a transitive ‘habeo’ verb?","Syntax"
"GB252","Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?","Syntax"
"GB253","Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?","Syntax"
"GB254","Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?","Syntax"
"GB256","Can predicative possession be expressed with a comitative/conjunctional construction?","Syntax"
"GB257","Can polar interrogation be marked by intonation only?","Syntax"
"GB260","Can polar interrogation be indicated by a special word order?","Syntax"
"GB262","Is there a clause-initial polar interrogative particle?","Syntax"
"GB263","Is there a clause-final polar interrogative particle?","Syntax"
"GB264","Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?","Syntax"
"GB265","Is there a comparative construction that includes a form that elsewhere means ‘surpass, exceed’?","Syntax"
"GB266","Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?","Syntax"
"GB270","Can comparatives be expressed using two conjoined clauses?","Syntax"
"GB273","Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a ‘surpass/exceed’ meaning?","Syntax"
"GB275","Is there a bound comparative degree marker on the property word in a comparative construction?","Morphology"
"GB276","Is there a non-bound comparative degree marker modifying the property word in a comparative construction?","Syntax"
"GB285","Can polar interrogation be marked by a question particle and verbal morphology?","Syntax"
"GB286","Can polar interrogation be indicated by overt verbal morphology only?","Syntax"
"GB291","Can polar interrogation be marked by tone?","Syntax"
"GB296","Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?","Morphology"
"GB297","Can polar interrogation be indicated by a V-not-V construction?","Syntax"
"GB298","Can standard negation be marked by an inflecting word (‘auxiliary verb’)?","Morphology"
"GB299","Can standard negation be marked by a non-inflecting word (‘auxiliary particle’)?","Syntax"
"GB300","Does the verb for ‘give’ have suppletive verb forms?","Lexicon"
"GB301","Is there an inclusory construction?","Syntax"
"GB302","Is there a phonologically free passive marker (‘particle’ or ‘auxiliary’)?","Syntax"
"GB303","Is there a phonologically free antipassive marker (‘particle’ or ‘auxiliary’)?","Syntax"
"GB304","Can the agent be expressed overtly in a passive clause?","Syntax"
"GB305","Is there a phonologically independent reflexive marker?","Syntax"
"GB306","Is there a phonologically independent reciprocal marker that does not consist of two quantifiers (e.g. each + other; two + two)?","Syntax"
"GB309","Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?","Morphology"
"GB312","Is there overt morphological marking on the verb dedicated to mood?","Morphology"
"GB313","Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?","Syntax"
