ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024-1,kŭŏht aĺǵ,,kŭŏht aĺǵ,two son.GEN.SG,two sons,Zaikov 1987:118
GB024-2,koum kuɛĺ,,koum kuɛĺ,three fish.GEN.SG,three fishes,Zaikov 1987:118
GB025-1,ti̮n nijdžɛ,,ti̮n nijd-ž-ɛ,that.ACC/GEN girl-DIM-DAT.SG,to that girl,Zaikov 1987:121
GB025-2,taĺi jōɯ̯rist,,taĺi jōɯ̯r-ist,that.over.thereACC/GEN.SG lake-LOC.SG,in that lake,Kert and Zaikov 1988:37
GB027-1,sonn a͕h́ḱiniś vuoĺji kŭŏssɛ,,sonn a͕h́ḱ-in-iś vuoĺj-i kŭŏss-ɛ,3SG.NOM wife-COM.SG-POSS.3 go-PST.3SG guest-DAT.SG,S/he went to visit with his wife,Zaikov 1987:123
GB027-2,hiśśi i vŭăm̄́ṕ,,hiśśi i vŭăm̄́ṕ,robber.NOM.PL and sister.NOM.SG,robbers and sister,Zaikov 1987:176
GB035,t˙a͕t : ti̮t : t˙a͕ĺat˙,,,,this : that : that over there,Zaikov 1987:126
GB047,jiĺĺe > jeлmuš,,jiĺĺ-e > jeл-muš,live-INF > live-NMLZ,to live > life,Zaikov 1987:35
GB048,jukkɵ- > jukki,,jukkɵ- > jukk-i,drink- > drinc-ACT,to drink > drunkard,Zaikov 1987:164-165
GB065,mū jen˙n˙ ta͕ĺak ĺī,,mū jen˙n˙ ta͕ĺak ĺī,1SG.GEN mother-NOM.SG over.there be.PRS.3SG,My mother is over there,Zaikov 1987:183
GB070-1,a͕h́ḱ vuĺji kŭŏĺĺikki,,a͕h́ḱ vuĺj-i kŭŏĺĺikk-i,wife.NOM.SG go-PST.3SG Kola-DAT.SG,The wife went to Kola,Zaikov 1987:117
GB070-2,sī̮ri͔ di͔ jōni͔ ussi͔š,,sī̮r-i͔ di͔ jōn-i͔ uss-i͔š,blueberry-ACC/GEN.PL and cranberry-ACC/GEN.PL pick-PST.3PL,[They] picked blueberries and cranberries,Zaikov 1987:118
