ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,kakš rištīngtõ,,kakš rištīng-tõ,two person-PRT,two people,Viitso & Ernštreits 2012: eitõ
GB025,se ouk,,se ouk,DEM hole,this hole,Viitso & Ernštreits 2012: dǭr
GB027-1,sõzār ja ve’ļ,,sõzār ja ve’ļ,sister and brother,sister and brother,Viitso & Ernštreits 2012: le'žgli
GB027-2,kaš īrõks,,kaš īr-õks,cat mouse-INS,cat with a mouse (cat and mouse),Kettunen 1925: 35
GB044,kīeld,,kīel-d,language-PL,languages,Viitso 2008: 329-330
GB047-1,āndami,,ānda-mi,give-AN,giving,Viitso 2008: 323
GB047-2,ka'ddõm,,ka'ddõ-m,lose-DN,loss,Viitso & Ernštreits 2012: ka'ddõm
GB048,āndaji,,ānda-ji,give-AG,giver,Viitso 2008: 324
GB049,ja’gdõks,,ja’gdõks,share.NMLZ,quotient,Viitso & Ernštreits 2012: ja’gdõks
GB065,tä’m i’bbi,,tä’m i’bbi,3SG.GEN horse,his/her horse,Viitso & Ernštreits 2012: nȭŗka
GB070,ta võtāb vazārt,,ta võtā-b vazār-t,3SG take-3SG hammer-PRT,S/he takes a hammer,Viitso & Ernštreits 2012: vazār
GB071,ta pietāb mīnda,,ta pietā-b mīn-da,3SG cheat-3SG 1SG-PRT,S/he cheats on me,Viitso & Ernštreits 2012: piettõ
GB072,Mä’d rāndas i’z ūo kievām jelāmi,,mä’d rānda-s i’z ūo kievām jelāmi,1PL.GEN coast-INE NEG.PST.3SG be.CNG easy life,On our coast life was not easy,Viitso & Ernštreits 2012: jelāmi
GB073,Ma strīḑõb si’nkõks,,ma strīḑõ-b si’n-kõks,1SG scold-1SG 2SG-INS,I am scolding you,Viitso & Ernštreits 2012: strīḑõ
GB074,i’ļ bort,,i’ļ bort,over board.GEN,over the board,Viitso & Ernštreits 2012: bort
GB075,ūomõgt sǭņõ,,ūomõg-t sǭņõ,morning-PRT until,until the morning,Viitso 2008: 336
GB079,sa samūoštad,,sa sa-mūošta-d,2SG PFX-understand-2SG,you understand,AEDKL: SUHK0520-01
GB080,ki’zlõ,,ki’z-l-õ,ask-FRQ-INF,"to ask repeatedly, to interrogate",Viitso & Ernštreits 2012: ki’zlõ
GB083,Ma võtīz eņtš rǭ’ bankstõ ulzõ,,ma võt-īz eņtš rǭ’ bank-stõ ulzõ,1SG take-PST.1SG REFL.GEN money.GEN bank-ELA out,I took my money out from the bank,Viitso & Ernštreits 2012: bank
GB089,Ta jeksliz mõtsā kouți,,ta jeks-l-iz mõtsā kouți,3SG wander-FRQ-PST.3SG forest.GEN along,S/he was wandering along the forest,Viitso & Ernštreits 2012: jekslõ
GB091,Ne sūdlõbõd,,ne sūd-lõ-bõd,3PL kiss-FRQ-3PL,They are kissing,Viitso & Ernštreits 2012: sūdlõ
GB113,Ta sīetõb a’mmõ aimõ,,ta sīe-tõ-b a’mmõ aimõ,3SG eat-CAUS-3SG all.PRT family.PRT,S/he feeds the whole family ,Viitso & Ernštreits 2012: sīetõ
GB117,Ma u’m ne’i švakkõ,,ma u’m ne’i švakkõ,1SG be.1SG so weak,I am so weak,Viitso & Ernštreits 2012: je’dstõ
GB121,Je’dmõl at vȯnd rǭz i’ļ pūola bikšõd,,je’dmõl at vȯ-nd rǭz i’ļ pūola bikš-õd,before be.3PL be-ACT.PST.PTCP little over knee.GEN trousers-PL,Before there used to be trousers a little over the knee,Viitso & Ernštreits 2012: bikšõd
GB130,Ta u’m kuo’nnõ,,ta u’m kuo’nnõ,3SG be.3SG at.home,S/he is at home,Viitso & Ernštreits 2012: kuo’d
GB132,Siedā tī’eb mingi mū,,sie-dā tī’e-b mingi mū,DEM-PRT do-3SG some other,Someone else does it,Viitso & Ernštreits 2012: mingi
GB134,"Sa maņūd, kui ta u’m si’n jūsõ",,sa maņū-d kui ta u’m si’n jūsõ,2SG feel-2SG when 3SG be.3SG 2SG.GEN at,You feel when s/he is near you,Viitso & Ernštreits 2012: ma’ņņõ
GB135,"Ma tīedab, ku ro’vzt tǟnda nutīzt ka Dēvit jǭraks",,"ma tīeda-b, ku ro’vzt tǟn-da nut-īz-t ka Dēvit jǭra-ks",1SG know-1SG that people 3SG-PRT call-PST-3PL also Dēvit lake-TRA,I know that people also called it Devīt lake,Viitso & Ernštreits 2012: kītõ
GB136,Ma tī’eb eņtš tubā vaļmõks,,ma tī’e-b eņtš tubā vaļmõ-ks,1SG make-1SG REFL.GEN house.GEN ready-TRA,I finish building my house,Viitso & Ernštreits 2012: ī’ž
GB138,Ä’b ūo tǟ’dzi,,ä’b ūo tǟ’dzi,NEG.3SG be.CNG important,It is not important,Viitso & Ernštreits 2012: ä’b
GB139-1,Alā tu’l ne’i le’žgõlõ!,,alā tu’l ne’i le’žgõlõ,IMP.2SG come.IMP.CNG.2SG so close,Don't come so close!,Viitso & Ernštreits 2012: le’žgõlõ
GB139-2,Ä’b ūo riktig,,ä’b ūo riktig,NEG.3SG be.CNG right,It is not right,Viitso & Ernštreits 2012: mēļ
GB140-1,Ma mūpõ ä’b lī kuo’nnõ,,ma mūpõ ä’b lī kuo’nnõ,1SG tomorrow NEG.1SG be.FUT.CNG at.home,Tomorrow I won't be home,Viitso & Ernštreits 2012: ažā
GB140-2,Vī’mõ ä’b ūo,,vī’mõ ä’b ūo,rain.PRT NEG.3SG be.CNG,There is no rain,Viitso & Ernštreits 2012: drä’ggõn
GB140-3,Ta ä’b ūo mingi jõvā,,ta ä’b ūo mingi jõvā,3SG NEG.3SG be.CNG some good,It is not any good,Viitso & Ernštreits 2012: ädāl
GB155,kīlmatõ,,kīlma-t-õ,cold-CAUS-INF,freeze,Viitso & Ernštreits 2012: kīlmatõ
GB184,sūrd kūorad ne’i ku piņņõn,,sūr-d kūora-d ne’i ku piņņ-õn,big-PL ear-PL like as dog-DAT,Big ears just like dog's,Viitso & Ernštreits 2012: kūora
GB185-1,sīes tubās,,sīe-s tubā-s,DEM-INE household-INE,in this household,Viitso & Ernštreits 2012: ja’gnikā
GB185-2,nēši papīeris,,nē-ši papīer-is,DEM.PL-INE.PL paper-INE.PL,in these papers,Viitso & Ernštreits 2012: tīera
GB193,knaš neitst,,knaš neitst,beautiful girl,beautiful girl,Viitso & Ernštreits 2012: knaš
GB203,amā mǭīlma,,amā mǭīlma,all world,the whole world,Viitso & Ernstreits 2012: amā
GB204-1,amā āiga,,amā āiga,all time,all the time,Viitso & Ernstreits 2012: amā
GB204-2,jegā pǟva,,jegā pǟva,every day,every day,Viitso & Ernstreits 2012: jegā
GB253,Mi’nnõn u’m irm,,mi’nn-õn u’m irm,1SG-DAT be.3SG fear,I have fear.,Viitso & Ernstreits 2012: irm
GB257,Le’b u’m?,,le’b u’m,over be.3SG,Is it over?,AEDKL: F1089-05
GB260,Lutār sa ūod?,,lutār sa ūo-d,Lutheran 2SG be-2SG,Are you Lutheran?,AEDKL: F1035-01
GB262,Või tēg tīedat?,,või tēg tīeda-t,Q 2PL know-2PL,Do you know?,Viitso & Ernstreits 2012: või
GB266,Ta vȯ’ļ mi’nstõ vaņīmi,,ta vȯ’ļ mi’n-stõ vaņ-īmi,3SG be.PST.3SG 1SG-ELA old-COMP,He was older than me,AEDKL: DS0117-05
GB273,Ī’d pǟ jo kuordõ ku sinā,,ī’d pǟ jo kuordõ ku sinā,one.GEN head.GEN PTCL high than 2SG,One head length taller than you,Viitso & Ernstreits 2012: kuordõ
GB275,kuordimi,,kuord-imi,high-CMPR,higher,Viitso 2008: 330
GB276,Kurv u’m jo knaš krežīļ,,kurv u’m jo knaš krežīl,basket be.3SG PTCL beautiful frail,A basket is more beautiful than a frail,Viitso & Ernstreits 2012: kurv
GB298,Sa ä’d ūo tīera,,sa ä’-d ūo tīera,2SG NEG-2SG be.CNG healthy,You are not healthy,Viitso & Ernstreits 2012: ä’d
GB302,Līvližist i’ļļõ je’ltõd teritorij,,līvliž-i-st i’ļļõ je’l-tõd teritorij,Livonian-PL-ELA up live-PASS.PST.PTCP territory,Land inhabitated by Livonians,Viitso & Ernstreits 2012: je’llõ
