ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,1,Balogh et al 2000: 282–288,,GB020
GB021,Are there indefinite or non-specific articles?,1,Balogh et al 2000: 282–288,,GB021
GB022,Are there prenominal articles?,1,Balogh et al 2000: 282–288,,GB022
GB023,Are there postnominal articles?,0,,,
GB024,What is the order of numeral and noun in the NP?,1,Korchmáros 2009: 79,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,Korchmáros 2009: 129–131,,GB025
GB026,Can adnominal property words occur discontinuously?,0,,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Korchmáros 2009: 71–72, 162–163",,"GB027-1, GB027-2 "
GB028,Is there a distinction between inclusive and exclusive?,0,,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,,,
GB038,Are there demonstrative classifiers?,0,,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,,,
GB043,Is there a productive morphological dual marker on nouns?,0,,,
GB044,Is there a productive morphological plural marker on nouns?,1,Korchmáros 2009: 79–84,,GB044
GB046,Is there an associative plural marker for nouns?,1,Korchmáros 2009: 82–84,,GB046 
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Korchmáros 2009: 226,,GB047 
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Korchmáros 2009: 229,,GB048 
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Korchmáros 2009: 228,,GB049 
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,,,
