ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,taah muu kulmâ ilolii nieidâ,,taa-h muu kulmâ iloliii nieidâ,this-NOM.PL 1SG.GEN three.NOM.SG cheerful.GEN/ACC.SG daughter.GEN/ACC.SG,these three cheerful daughters of mine,Valtonen and Ylikoski and Aikio 2022: 192
GB025,taah muu kulmâ ilolii nieidâ,,taa-h muu kulmâ iloliii nieidâ,this-NOM.PL 1SG.GEN three.NOM.SG cheerful.GEN/ACC.SG daughter.GEN/ACC.SG,‘these three cheerful daughters of mine,Valtonen and Ylikoski and Aikio 2022: 192
GB027,Mun já Ánná láim meecist,,mun já Ánná lá-im meeci-st,1SG.NOM and Anna.NOM.SG be-PST.1DU forest-LOC.SG,Anna and I were in the forest,Morottaja and Singh and Toivonen 2017: 1
GB031,"muoi, tuoi, suoi",,"muoi, tuoi, suoi","1DU, 2DU, 3DU","we (two), you (two), they (two)",Valtonen and Ylikoski and Aikio 2022: 187
GB035,"tiet, taat, tuot, tovt",,"tiet, taat, tuot, tovt","DEM.ADR.NOM.SG, DEM.SPKR.NOM.SG, DEM.DIST1.NOM.SG, DEM.DIST2.NOM.SG","that (near addresse), this (near speaker), that (far away), that (further away)",Ylikoski 2020: 408
GB044,juuhâ > juuvah,,juuhâ > juuva-h,river.NOM.SG > river-NOM.PL,river > rivers,Valtonen and Ylikoski and Aikio 2022: 186
GB047-1,pivdeđ > pivdem,,pivde-đ > pivde-m,hunt/fish-INF > hunt/fish-AN,to hunt; to fish > hunting; fishing,Valtonen and Ylikoski and Aikio 2022: 191
GB047-2,normâdiđ > normâdem,,normâdi-đ > normâde-m,standardize-INF > standardize/-AN,to standardize > standardization,Valtonen and Ylikoski and Aikio 2022: 191
GB048-1,pivdeđ > pivdee,,pivde-đ > pivd-ee,hunt/fish-INF > hunt/fish-AG,to hunt; to fish > hunter; fisher,Valtonen and Ylikoski and Aikio 2022: 191
GB048-2,uástiđ > uástee,,uásti-đ > uást-ee,buy-INF > buy-AG,to buy > buyer,Valtonen and Ylikoski and Aikio 2022: 191
GB049-1,mušteđ > mušto,,mušte-đ > mušt-o,remember-INF > remember-NMLZ,to remember > memory,Valtonen and Ylikoski and Aikio 2022: 191
GB049-2,ostâđ > asto,,ostâ-đ > ast-o,have_time-INF > have_time-NMLZ,to have time > (spare) time,Valtonen and Ylikoski and Aikio 2022: 191
GB065,taah muu kulmâ ilolii nieidâ,,taa-h muu kulmâ iloliii nieidâ,this-NOM.PL 1SG.GEN three.NOM.SG cheerful.GEN/ACC.SG daughter.GEN/ACC.SG,these three cheerful daughters of mine,Valtonen and Ylikoski and Aikio 2022: 192
GB070,Pooliseh kavnii autosulolluid,,poolise-h kavn-ii autosuollu-id,police-NOM.PL find-PST.3PL car.thief-ACC.PL,The police found the car thieves,Valtonen and Ylikoski and Aikio 2022: 193
GB071,Mun hettiim tunnuu,,mun hettii-m tunnuu,1SG.NOM disturb.PRS.1SG 2DU.GEN/ACC,I disturb the two of you,SIKOR
GB072,Kuobâr šadda meeccist,,kuobâr šadda meecci-st,mushroom.NOM.SG grow.PRS.3SG forest-LOC.SG,The mushroom grows in the forest,SIKOR
