ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Klumpp 2016:68,"There are no definite articles, differential object marking and possessive marked nouns can express definiteness.",
GB021,Are there indefinite or non-specific articles?,0,Klumpp 2016:78–79,"There are no indefinite articles, indefinitess is marked only within indefinite pronouns with a derivational suffix =də.",
GB022,Are there prenominal articles?,0,Gerson Klumpp (p.c. 2022),There are no articles.,
GB023,Are there postnominal articles?,0,Gerson Klumpp (p.c. 2022),There are no articles.,
GB024,What is the order of numeral and noun in the NP?,1,Klumpp 2016:63,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,Klumpp 2016:63,,GB025
GB026,Can adnominal property words occur discontinuously?,0,Gerson Klumpp (p.c. 2022),,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Klumpp 2016:78,,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Gerson Klumpp (p.c. 2022),,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Klumpp 2016:48,There is no grammatical gender in Kamas.,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,1,Klumpp 2016:49,,GB031
GB035,Are there three or more distance contrasts in adnominal demonstratives?,1,Klumpp 2016:48,"There are in total four demonstratives: neutral dĭ ‘this’, proximal dü ‘this here’, and the distal pronouns šö ‘that’ and idǝ ‘that’ (the difference
between the latter two is not clear).",GB035
GB036,Do adnominal demonstratives show an elevation distinction?,0,Klumpp 2016:48,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,?,Klumpp 2016:48,There is no information/no examples showing if Kamas demonstratives have visible-nonvisible distinction.,
GB038,Are there demonstrative classifiers?,0,Klumpp 2016:48,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Gerson Klumpp (p.c. 2022),,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Gerson Klumpp (p.c. 2022),,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Klumpp 2016:44,Singular is unmarked.,
GB043,Is there a productive morphological dual marker on nouns?,1,Klumpp 2016:46,"The dual marker is -Gǝj, Kamas distinguishes dual possessive and personal suffixes, but there is no dual in absolute
declension.",GB043
GB044,Is there a productive morphological plural marker on nouns?,1,Klumpp 2016:44-45,"Kamas has two different nominal
plural markers: 1) -jǝʔ (or -iʔ) in oblique case forms, and 2) SAŋ (-zaŋ ~ -zeŋ ~ -saŋ ~ -seŋ), which is the
exclusive plural marker in the possessive declension and in the declension of demonstrative
pronouns.","GB044-1, GB044-2"
GB046,Is there an associative plural marker for nouns?,0,Klumpp 2016:44,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,?,Gerson Klumpp (p.c. 2022),No information.,
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,?,Gerson Klumpp (p.c. 2022),No information.,
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,?,Gerson Klumpp (p.c. 2022),No information.,
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Gerson Klumpp (p.c. 2022),There is no grammatical gender in Kamas.,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Gerson Klumpp (p.c. 2022),There is no grammatical gender in Kamas.,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Gerson Klumpp (p.c. 2022),There is no grammatical gender in Kamas.,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Gerson Klumpp (p.c. 2022),There is no grammatical gender in Kamas.,
GB057,Are there numeral classifiers?,0,Gerson Klumpp (p.c. 2022),,
GB058,Are there possessive classifiers?,0,Gerson Klumpp (p.c. 2022),,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Gerson Klumpp (p.c. 2022),,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Klumpp 2016:64,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Gerson Klumpp (p.c. 2022),,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Gerson Klumpp (p.c. 2022),,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Klumpp 2016:45,,GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Klumpp 2016:45,,GB071
