ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB021,Are there indefinite or non-specific articles?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB022,Are there prenominal articles?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB023,Are there postnominal articles?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB024,What is the order of numeral and noun in the NP?,1,Rießler 2022:231,,"GB024-1, GB024-2"
GB025,What is the order of adnominal demonstrative and noun?,1,Rießler 2022:231,,"GB025-1, GB025-2"
GB026,Can adnominal property words occur discontinuously?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Kert 1971:164-165,,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Kert 1971:173; Rießler 2022:226,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Kert 1971:173; Rießler 2022:226,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,Rießler 2022:225-227,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,Rießler 2022:227,"Kert (1971: 173) describes a more complicated system, but it is completely lost in modern Kildin Saami.",
GB036,Do adnominal demonstratives show an elevation distinction?,0,Kert 1971:173-174; Rießler 2022:227,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Kert 1971:173-174; Rießler 2022:227,,
GB038,Are there demonstrative classifiers?,0,Kert 1971:173-174; Rießler 2022:227,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Kert 1971:136-141; Rießler 2022:225-226,"The distribution of -ə and zero markers (+ weak grade) is almost entirely phonological, there is only some small deviations.",
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Kert 1971:143-156; Rießler 2022:225-226,,
GB043,Is there a productive morphological dual marker on nouns?,0,Kert 1971:143-156; Rießler 2022:225-226,,
GB044,Is there a productive morphological plural marker on nouns?,0,Kert 1971:136-141; Rießler 2022:225-226,"There is no productive morpheme for plural marking. Most nouns mark plural with a weak grade. However, in a relatively small class of nouns, the plural is marked with -ə.",
GB046,Is there an associative plural marker for nouns?,0,Kert 1971:143-156; Rießler 2022:225-226,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Szabó 1985,,"GB047-1, GB047-2"
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Szabó 1985,,"GB048-1, GB048-2"
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,0,Kert 1971:in passim; Rießler 2022:in passim,"No arguments can be presented to define the direction of derivation (verb > noun or noun > verb) in the modern Kildin Saami, e.g. ɫaːwːɫ 'song' : ɫaːwːɫ-ə 'sing-INF'.",
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB057,Are there numeral classifiers?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB058,Are there possessive classifiers?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Kert 1971:245,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Kert 1971:165-168; Rießler 2022:227,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Kert 1971:165-168; Rießler 2022:227,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Szabó 1984a; Rießler 2022:225,,GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Szabó 1984a; Rießler 2022:226,,GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,Szabó 1984b; Szabó 1984c; Rießler 2022:225,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,Szabó 1984b; Szabó 1984c; Rießler 2022:226,,GB073
GB074,Are there prepositions?,1,Kert 1971:215,,"GB074-1, GB074-2"
GB075,Are there postpositions?,1,Kert 1971:213-217,,"GB075-1, GB075-2"
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Kert 1971:178-209; Rießler 2022:227-231,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Kert 1971:199-203; Rießler 2022:229,,"GB080-1, GB080-2"
GB081,Is there productive infixation in verbs?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB082,Is there overt morphological marking of present tense on verbs?,1,Kert 1971:179-181; Rießler 2022:227-230,Present tense is marked cumulatively with person and number.,"GB082-1, GB082-2"
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Kert 1971:179-181; Rießler 2022:227-230,Past tense is marked cumulatively with person and number.,"GB083-1, GB083-2"
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,Kert 1971:178-209; Rießler 2022:227-231,"Only the verb 'to be' allows the morphological marking of the future tense, other verbs use different periphrastic constructions.",
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Kert 1971:178-209; Rießler 2022:227-231,,GB089
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Kert 1971:178-209; Rießler 2022:227-231,,GB091
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB099,Is there verb suppletion for participant person?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB103,Can a verb have a benefactive marker (applicative marker or index)?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB104,Can a verb have an instrumental marker (applicative marker or index)?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB105,Can the recipient in a ditransitive construction be marked like the transitive patient?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",0,Potseluev 2024,,
GB108,Is there directional or locative morphological marking on verbs?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB109,Is there verb suppletion for participant number?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB110,Is there verb suppletion for tense or aspect?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB111,Are there conjugation classes?,1,Kert 1971:181-194; Rießler 2022:229,,GB111
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,Kert 1987,,"GB113-1, GB113-2"
