ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,кык морт,kɨk mort,kɨk mort,two person.NOM.SG,two people,Lytkin 1955:180
GB025,тайӧ мортыс,tajɘ mortɨs,tajɘ mort-ɨs,DEM.PROX person-DEF.NOM.SG,this person,Lytkin 1955:199
GB027-1,Ваня Петякӧд уджалӧны,vaɲa pecakɘd ud͡ʒalɘnɨ,vaɲa peca-kɘd ud͡ʒal-ɘnɨ,Vanya Petya-COM work-PRES.3PL,Vanya and Petya are working,Lytkin 1955:146
GB027-2,кылыс да делӧыс лэбын моз вожалӧ,kɨlɨs da ɟelɘɨs lebɨn moz voʒalɘ,kɨl-ɨs da ɟelɘ-ɨs lebɨn moz voʒal-ɘ,word-DEF.NOM and act-DEF.NOM pitchfork like split-PRES.3SG,words and deeds split like [the teeth on] a pitchfork,Lytkin 1955:272
GB044,пуртъяс,purtjas,purt-jas,knife-PL,knives,Lytkin 1955:135
GB046,батьӧяс,bacɘjas,bac-ɘ-jas,father-PX.1SG-PL,my father and the other members of the family,Lytkin 1955:134
GB047,узьӧм,uʑɘm,uʑ-ɘm,sleep-AN,sleep; sleeping,Lytkin 1955:154
GB048,гижысь,giʒɨɕ,giʒ-ɨɕ,write-AG,writer,Lytkin 1955:154
GB049,сёян,ɕojan,ɕoj-an,eat-ONMLZ,food,Lytkin 1955:155
GB065,дядьлӧн пиыс,ɟaɟlɘn piɨs,ɟaɟ-lɘn pi-ɨs,uncle-GEN son-PX.3SG,uncle's son,Lytkin 1955:141
GB070-1,гӧрд мӧс сьӧд мӧскӧс нюлӧ,gɘrd mɘs ɕɘd mɘskɘs ɲulɘ,gɘrd mɘs ɕɘd mɘsk-ɘs ɲul-ɘ,red cow black cow-ACC lick-PRES.3SG,the red cow licks the black cow,Lytkin 1955:142
GB070-2,мӧслы сет турун,mɘslɨ ɕet turun,mɘs-lɨ ɕet turun,cow-DAT give.IMP.2SG grass/hay,give hay to the cow!,Lytkin 1955:141
GB071-1,ми тӧдам сійӧс,mi tɘdam sijɘs,mi tɘd-a-m sijɘs,1PL.NOM know-PRES/FUT-1PL 3SG.ACC,we know him,Lytkin 1955:192
GB071-2,мукӧдъяс сылы отсалісны,mukɘdjas sɨlɨ otsalisnɨ,mukɘd-jas sɨ-lɨ otsal-i-snɨ,other-PL 3SG-DAT help-PST1-3PL,the others helped him,Lytkin 1955:207
GB072,керкаын,kerkaɨn,kerka-ɨn,house-LOC,in a house,Lytkin 1955:147
GB073,миянкӧд,mijankɘd,mijan-kɘd,1PL-COM,with us,Lytkin 1955:194
GB075,тэ понда,te ponda,te ponda,2SG because.of,because of you,Lytkin 1955:262
GB082-1,гижан,giʒan,giʒ-a-n,write-PRES/FUT-2SG,you write/you will write,Lytkin 1955:218
GB082-2,гижӧны,giʒɘnɨ,giʒ-ɘ-nɨ,write-PRES-3PL,they write,Lytkin 1955:218
GB082-3,ог гиж,og giʒ,o-g giʒ,NEG.PRES/FUT-1SG write.CNG,I do not write/I will not write,Lytkin 1955:218
GB083-1,гижин,giʒin,giʒ-i-n,write-PST1-2SG,you wrote,Lytkin 1955:214
GB083-2,мунӧмыд,munɘmɨd,mun-ɘm-ɨd,go-PST2-2SG,you have gone,Lytkin 1955:214
GB086-1,гижис,giʒis,giʒ-i-s,write-PST1-2SG,you wrote/you were writing,Lytkin 1955:215
GB086-2,мунӧма,munəma,mun-əm-a,go-PST2-3SG,he has gone,Lytkin 1955:215
GB089,регыд ми лоам век кежлӧ ӧтлаынӧсь,regɨd mi loam vek keʒlɘ ɘtlaɨnɘɕ,regɨd mi lo-a-m vek keʒlɘ ɘtlaɨn-ɘɕ,soon 1PL be-PRES/FUT-1PL always for together-PL,soon we will be together forever,Lytkin 1955:214
GB091,урожай идралӧм бӧрын вӧчам свадьба,uroʒaj idralɘm bɘrɨn vɘt͡ɕam svaɟba,uroʒaj idral-ɘm bɘrɨn vɘt͡ɕ-a-m svaɟba,crops harvest-AN after do-PRES/FUT-1PL wedding,when the harvesting of crops is over we will organise a wedding,Lytkin 1955:214
GB113-1,сёрнитӧдны,ɕorɲitɘdnɨ,ɕorɲi-t-ɘd-nɨ,talk-V-TR-INF,to make someone talk,Lytkin 1955:231
GB113-2,пыртны,pɨrtnɨ,pɨr-t-nɨ,enter-TR-INF,to lead in,Lytkin 1955:235
GB114,мыссьыны,mɨɕɕɨnɨ,mɨɕ-ɕ-ɨnɨ,wash-REFL-INF,to wash oneself,Lytkin 1955:236
GB115,тышкасьны,tɨʃkaɕnɨ,tɨʃka-ɕ-nɨ,strike-RECP-INF,to fight one another,Lytkin 1955:237
GB117,Бать вӧлі партийнӧй мортӧн,bac vɘli parcijnɘj mortɘn,bac vɘli parcijnɘj mort-ɘn,father COP.PST1 partisan person-INST,The father was a party member.,"Komi mu, 2016.05.10 (Komi-Zyrian corpus)"
GB121,найӧ кутасны бурӧн казьтыны миянлысь ним,najɘ kutasnɨ burɘn kaʑtɨnɨ mijanlɨɕ ɲim,najɘ kut-asnɨ bur-ɘn kaʑt-ɨnɨ mijan-lɨɕ ɲim,3PL hold-FUT.3PL good-INST remember-INF 1PL-ABL name,they will recall our name(s) with appreciation,Lytkin 1955:214
GB122,сёйны-юны,ɕojnɨ-junɨ,ɕoj-nɨ-ju-nɨ,eat-INF-drink-INF,"to eat, to feed oneself",Beznosikova et al. 2000:сёйны-юны
GB126,"Москваясад, дерт, быдторджык эм","moskvajasad, ɟert, bɨdtord͡ʒɨk em","moskva-jas-ad, ɟert, bɨdtor-d͡ʒɨk em",Moscow-PL-PX.2SG.LOC/ILL of.course everything-COMP EX.COP,In Moscow and alike cities there is almost everything.,Lytkin 1955:135
GB134-1,Том морт помаліс Москваса государственнӧй юридическӧй университет,tom mort pomalis moskvasa gosudarstvenːɘj juriɟit͡ɕeskɘj uɲiverɕicet,tom mort pomal-is moskva-sa gosudarstvenːɘj juriɟit͡ɕeskɘj uɲiverɕicet,young man.NOM finish-PST1.3SG Moscow-ADJ state.ADJ law.ADJ university.NOM,The young man graduated from the Moscow State University of Law.,Parma gor 2019.04.04 (Komi-Zyrian corpus)
GB134-2,"том фельдшер, коді помаліс Сыктывкарса медколледж","tom feʎdʃer, kodi pomalis sɨktɨvkarsa medkoʎːed͡ʒ","tom feʎdʃer, kodi pomal-is sɨktɨvkar-sa medkoʎːed͡ʒ",young feldsher.NOM REL finish-PST1.3SG Syktyvkar-ADJ medical.college.NOM,a young feldsher who graduated from the Syktyvkar college,Parma Gor 2012.10.11 (Komi-Zyrian corpus)
GB135,"Челядь шензьӧмӧн видзӧдӧны, кыдзи уджалӧ комбайн","t͡ɕeʎaɟ ʃenʑɘmɘn vid͡ʑɘdɘnɨ, kɨd͡ʑi ud͡ʒalɘ kombajn","t͡ɕeʎaɟ ʃenʑ-ɘm-ɘn vid͡ʑɘd-ɘnɨ, kɨd͡ʑi ud͡ʒal-ɘ kombajn",child.PL be.surprised-AN-INS look-PRES.3PL how work-PRES.3SG combine.harvester,The children watched the combine work with amazement.,Lytkin 1955:271
