ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,,Sometimes possessive suffixes can be used to indicate discourse-relevance.,
GB021,Are there indefinite or non-specific articles?,0,,,
GB022,Are there prenominal articles?,0,,,
GB023,Are there postnominal articles?,0,,Sometimes possessive suffixes can be used to indicate discourse-relevance.,
GB024,What is the order of numeral and noun in the NP?,1,,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,,,GB025
GB026,Can adnominal property words occur discontinuously?,0,,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,,"The conjunctions 'да' and 'ден' can both be translated as 'and'. The former is universal and can be used for clause combining, the latter is reserved for nouns. When 'ден' is used, unlike with 'да', only the last (latter) element bears a case marker.","GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,,There is only proximal vs. distal distinction: тиде 'this (here)' vs. distal тудо 'that (there)'.,
GB036,Do adnominal demonstratives show an elevation distinction?,0,,There is only proximal vs. distal distinction: тиде 'this (here)' vs. distal тудо 'that (there)'.,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,,There is only proximal vs. distal distinction: тиде 'this (here)' vs. distal тудо 'that (there)'.,
GB038,Are there demonstrative classifiers?,0,,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,,"The plural markers are -влак, -шамыч, and -ла. They are not mutually exclusive and the choice is not lexically conditioned. The variation between -влак, -шамыч, historically dialectal, is a matter of stylistic choice in the literary language. The suffix -ла is mostly reserved for usage with temporal or spatial semantics. ",
GB041,Are there several nouns (more than three) which are suppletive for number?,0,,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,,,
GB043,Is there a productive morphological dual marker on nouns?,0,,,
GB044,Is there a productive morphological plural marker on nouns?,1,,,GB044
GB046,Is there an associative plural marker for nouns?,1,,,GB046
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,,"The canonical nominaliser suffix is -маш, though forms with the passive participle suffix -м(е/о/ӧ) are very often converted to action nouns, in the process becoming neutral with regard to voice.",GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,,,"GB048-1, GB048-2"
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,0,Riese et al. 2022:373,"Suffixes -ыш and -тыш can be used for this purpose; at least the former is, though common, not very productive.",
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,,,
GB057,Are there numeral classifiers?,0,,,
GB058,Are there possessive classifiers?,0,,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,,,
