ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Zaikov 2013:in passim,,
GB021,Are there indefinite or non-specific articles?,0,Zaikov 2013:in passim,,
GB022,Are there prenominal articles?,0,Zaikov 2013:in passim,,
GB023,Are there postnominal articles?,0,Zaikov 2013:in passim,,
GB024,What is the order of numeral and noun in the NP?,1,Zaikov 2013:141,Numeral comes before a noun.,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,Zaikov 2013:127,Adnominal demonstrative comes before a noun.,GB025
GB026,Can adnominal property words occur discontinuously?,0,Zaikov 2013:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Zaikov 2013:101, 223",,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Zaikov 2013:121-123,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Zaikov 2013:in passim,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,Sarhimaa 2022:280,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,Zaikov 2013126-127,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,Zaikov 2013:126-127,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Zaikov 2013:126-127,,
GB038,Are there demonstrative classifiers?,0,Zaikov 2013:in passim,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Sarhimaa 2022:277,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Zaikov 2013:in passim,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Sarhimaa 2022:277-279,,
GB043,Is there a productive morphological dual marker on nouns?,0,Sarhimaa 2022:277,,
GB044,Is there a productive morphological plural marker on nouns?,1,"Zaikov 2013:71, 74; Sarhimaa 2022:277-279",,GB044
GB046,Is there an associative plural marker for nouns?,0,Zaikov 2013:71-75,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Zaikov 2013:106,,GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Zaikov 2013:107; Sarhimaa 2022:283,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Zaikov 2013:106,,GB049
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Zaikov 2013:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Zaikov 2013:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Zaikov 2013:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Zaikov 2013:in passim,,
GB057,Are there numeral classifiers?,0,Zaikov 2013:in passim,,
GB058,Are there possessive classifiers?,0,Zaikov 2013:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Zaikov 2013:124-125,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,"Zaikov 2013:78,124",,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Zaikov 2013:in passim,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Zaikov 2013:in passim,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,"Zaikov 2013:75, 85",,GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,"Zaikov 2013:75,123",,GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,"Zaikov 2013:75-76, 99",,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,Zaikov 2013:121-123,,GB073
GB074,Are there prepositions?,1,Zaikov 2013:222; Sarhimaa 2022:286,,GB074
GB075,Are there postpositions?,1,Zaikov 2013:220-222; Sarhimaa 2022:286,,GB075
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Zaikov 2013:in passim,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Zaikov 2013:211-214; Sarhimaa 2022:279-283,,GB080
GB081,Is there productive infixation in verbs?,0,Sarhimaa 2022:279-283,,
GB082,Is there overt morphological marking of present tense on verbs?,0,Sarhimaa 2022:280,,
