ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,mån vaddav gålbmå buhtsujda biebmov,,mån vadda-v gålbmå buhtsu-jda biebmo-v,1SG.NOM give-1SG.PRS three reindeer-ILL.PL food-ACC.SG,I give food to three reindeer,Wilbur 2014:147
GB025,dajd gulijd giesijmä tjielkajn dik,,d-a-jd guli-jd giesi-jmä tjielka-jn dik,DEM-DIST-ACC.PL fish-ACC.PL pull-1PL.PST sled-COM.SG to.here,we pulled those fish here with a sled,Wilbur 2014:143
GB027-1,dájste åtjojmä mielkev vuojav vuostav ja biergov,,d-á-jste åtjo-jmä mielke-v vuoja-v vuosta-v ja biergo-v,DEM-PROX-ELA.PL get-1PL.PST milk-ACC.SG butter-ACC.SG cheese-ACC.SG and meat-ACC.SG,"we got milk, butter, cheese and meat from these",Wilbur 2014:191
GB027-2,válda káfav suhkorijn jala suhkorahta,,válda káfa-v suhkor-ijn jala suhkor-ahta,take\2SG.PRS coffee-ACC.SG sugar-COM.SG or sugar-ABE.SG,do you take coffee with or without sugar?,Wilbur 2014:191 
GB031-1,måj~måjå  ,,måj~måjå  ,1DU.NOM,we two,Wilbur 2014:114
GB031-2,dåj~dåjå,,dåj~dåjå,2DU.NOM,you two,Wilbur 2014:114
GB031-3,såj~såjå,,såj~såjå,3DU.NOM,they two,Wilbur 2014:114
GB035-1 ,dajd gulijd giesijmä tjielkajn dik,,d-a-jd guli-jd giesi-jmä tjielka-jn dik,DEM-DIST-ACC.PL fish-ACC.PL pull-1PL.PST sled-COM.SG to.here,we pulled those fish here with a sled ,Wilbur 2014:143 
GB035-2,men dut biehtse men ånekatj ja gassak,,men d-u-t biehtse men åneka-tj ja gassa-k,but DEM-RMT-NOM.SG pine\NOM.SG but short-DIM and thick-NMLZ,"but that pine tree over there, how short and thick!",Wilbur 2014:143  
GB035-3,men dá buhtsu ij lä mierkeduvvum,,men d-á buhtsu ij lä mierke-duvvu-m,but DEM-PROX\NOM.PL reindeer\NOM.PL NEG\3PL.PRS be\CNG mark-PASS-PRF,but these reindeer have not been marked,Wilbur 2014:159
