ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,kuuz meest,,kuuz mees-t,six  man-PRT,six men,Nirvi 1971:227
GB025,se taloi,,se taloi,this house,this house,Nirvi 1971:330
GB027-1,kezä ja talvi tappeloot ku vihmaa ja lunda sattaa,,kezä ja talvi tappeloo-t ku vihma-a ja lun-da sattaa,summer and winter fight-PL when rain-PRT and snow-PRT fall.3SG,summer and winter fight when it snows and rains,Nirvi 1971:160
GB027-2,koiran kera läks metsää,,koira-n kera läks metsää,dog-GEN with go.PST.3SG forest.ILL,(s/he) went to the forest with the dog,Nirvi 1971:155
GB044,koirad haukkuud,,koira-d haukkuu-d,dog-PL bark-3PL,dogs are barking,Nirvi 1971:50
GB047,piinada : piinamiin,,piina-da : piina-miin,torture-INF : torture-NMLZ,to torture : torture ,Nirvi 1971:414
GB048,laulaa : laulaja,,laula-a : laula-ja,sing-INF : sing-AG.NMLZ,to sing : singer,Nirvi 1971:253
GB049,kattaa : katto,,katta-a : katt-o,cover-INF : cover-NMLZ,to cover : roof,Nirvi 1971:145
GB065,rikkaham mehen tüdöil om paljo pridanaa,,rikkaha-n mehe-n tüdöi-l on paljo pridana-a,rich-GEN man-GEN daughter-ADE be.3SG much dowry-PRT,a rich man's daughter has a lot of dowry,Nirvi 1971:430
GB070,miä toon sägin jauhoa,,miä too-n sägi-n jauho-a,1SG bring-1SG bag-GEN flour-PRT,I'll bring a bag of flour,Nirvi 1971:596
GB071,kats ku sinnua om moridettu,,kats ku sinnu-a on moride-ttu,look.IMP.2SG how 2SG-PRT be.3SG starve-IPS.PST.PTCP,look how you have been starved,Nirvi 1971:314
GB072,soomalaizeel olim piikaan,,soomalaizee-l ol-i-n piikaa-n,Finn-ADE be-PST-1SG maid-ESS,I was a maid for a Finn,Nirvi 1971:413
GB073,tolguidih hänelle mist kottii männä,,tolguid-i-n häne-lle mi-st kottii männ-ä,explain-PST-1SG 3SG-ALL  what-ELA home.ILL go-INF,I explained to him how to go home,Nirvi 1971:591
GB074,hää ellää ligi rantaa,,hää ellää ligi ranta-a,3SG live.3SG near beach-PRT,he lives near the beach,Nirvi 1971:265
