ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB020,"akte baernie aktem niejtem vööjni, men dihte niejte dam baerniem idtji vuejnieh",,"akte baernie akte-m niejte-m vööjn-i, men dihte niejte da-m baernie-m idtji vuejnie-h",one(=INDF) boy one(=INDF)-ACC girl-ACC see-PST.3SG but it(=DEF) girl it(=DEF)-ACC boy-ACC NEG.PST.3SG see-CNG,"A boy saw a girl, but the girl didn’t see the boy",Ylikoski_South 2022:126
GB024,golme baernieh lin gierestalleminie,,golme baernie-h lin gierestalle-minie,three boy-PL be.PST.3PL downhill.ski-PROG,Three boys were skiing,Kowalik 2023:182
GB025,duennie gåetesne,,duennie gåete-sne,DEM.DIST.LOC house-LOC,In this house over there,Kowalik 2023:110
GB027-1,manne edtjeb staarese minnedh mov aethjine,,manne edtje-b staare-se minnedh mov aethj-ine,1SG shall-1SG town-ILL visit.INF 1SG.GEN father-COM,I am going into town with my father,Kowalik 2023:169
GB027-2,rijhkeraadijovesne jih maajehvååjnesisnie,,rijhkeraadijove-sne jih maajehvååjnesi-snie,national_radio-INE and television_broadcast-INE,on the national radio and television broadcasts,Ylikoski_South 2022:128
GB031,"monnah, dotnah",,"monnah, dotnah","1DU, 2DU","we (two), you (two)",Kowalik 2023:100
GB035,"dihte, daate, doete, dohte",,"dihte, daate, doete, dohte","DEM, DEM.PROX, DEM.DIST1, DEM.DIST2","this, that, this (here), that (there), that (over there)",Kowalik 2023:107
GB044,gärja- > gärjah,,gärja- > gärja-h,book > book-PL,book > books,Kowalik 2023:133
GB046,Edvinen doh,,Edvin-en doh,Edwin-SG DEM.DIST.PL,Edwin and his family (lit. Edwin and they),Kowalik 2023:179
GB047-1,bihkedi- > bihkedasse,,bihkedi- > bihke-dasse,explain > explain-AN,explain > explanation,Kowalik 2023:375
GB047-2,rohkeli- > rohkelasse,,rohkeli- > rohke-lasse,pray > pray-AN,pray > prayer,Kowalik 2023:375
GB047-3,seedte- > saadtege,,seedte- > saadte-ge,send > send-AN,send > broadcast,Kowalik 2023:375
GB048,ööhpehti- > ööhpetäjja ,,ööhpehti- > ööhpe-täjja ,teach > teach-AG,teach > teacher,Kowalik 2023:375
GB049-1,tjaele- > tjaalege,,tjaele- > tjaale-ge,write > write-NMLZ,write > letter,Kowalik 2023:375
GB049-2,gåate- > gåateme,,gåate- > gåate-me,graze > graze-NMLZ,graze > pasturage,Kowalik 2023:375
GB049-3,jarre- > jarredahke,,jarre- > jarre-dahke,spin > spin-NMLZ,"spin, turn > car",Kowalik 2023:375
GB065,"mov maadtarajja, mov aahkan aehtjie",,"mov maadtarajja, mov aahka-n aehtjie",1SG.GEN great-grandfather 1SG.GEN grandmother-GEN father,"my great-grandfather, my grandmother’s father",Kowalik 2023:182
GB070,åtnah datne bœjhpam?,,åtna-h datne bœjhpa-m?,have.2SG 2SG pipe-ACC,Have you got a pipe?,Magga 1984:42
GB071,guk’ dah soptestin dej tyskeri bijre jah jijnjh dejtie laejhtin jah dejstie hävvi billin aaj,,guk’ dah soptest-i-n dej tysker-i bijre jah jijnj-h dejtie laejht-i-n jah dejstie hävvi bill-i-n aaj,how 3PL talk-PST-3PL DEM.GEN.PL German-GEN.PL about and many-PL DEM.ACC.PL criticize-PST-3PL and DEM.ELA.PL certainly be.afraid-PST-3PL also,how they talked about the Germans and many criticized them and they were also afraid of them,Kowalik 2023:402
GB072,manne maanese tjastem vadtam,,manne maane-se tjaste-m vadta-m,1SG child-ILL ice_cream-ACC give-1SG,I give ice cream to the child,Kowalik 2023:161
GB073,mov vielle göökte jaepieh båarasobpoe manneste,,mov vielle göökte jaepie-h båaras-obpoe manneste,1SG.GEN brother two year-PL old-COMP 1SG.ELA,My brother is two years older than me,Kowalik 2023:168
GB074,båata namhtah tjohpem,,båata namhtah tjohpe-m,come.3SG without hat-ACC,He comes without a hat,Kowalik 2023:285
GB075,dihte beetnegen namhtan,,dihte beetnege-n namhtan,3SG money-GEN without,He has no money (lit. He is without money),Kowalik 2023:285
GB080,vaestiedim,,vaestied-i-m,answer-PST-1SG,I answered,Kowalik 2023:205
GB089,vaestedem,,vaestede-m,answer-1SG,I answer,Kowalik 2023:204
GB099,arredh: leam,,arred-h: lea-m,be-INF: be-1SG,to be: I am,Kowalik 2023:215
GB113,gajhkedh > gajhkedidh,,gajhke-dh > gajhke-di-dh,dry-INF > dry-TR-INF,to dry (intransitive & transitive) > to dry (transitive),Kowalik 2023:381
GB117,dah leah tjeehpes lårhvoehbienjh,,dah leah tjeehpes lårhvoeh-bienj-h,DEM.PL be.3PL black shaggy-dog-PL,These are black shaggy dogs,Kowalik 2023:319
GB121-1,Manne leam orre bijlem åasteme,,Manne leam orre bijle-m åaste-me.,1SG be.1SG new car-ACC buy-PST.PTCP,I have bought a new car,Ylikoski_South 2022:123
GB121-2,Manne lim orre bijlem åasteme,,Manne lim orre bijle-m åaste-me.,1SG be.PST.1SG new car-ACC buy-PST.PTCP,I had bought a new car,Ylikoski_South 2022:123
GB126-1,jueskiedahkesne mielhkie gååvnese,,jueskiedahke-sne mielhkie gååvnese,fridge-LOC milk exist.3SG,There is milk in the fridge,Kowalik 2023:322
GB126-2,Sveerjesne vaejsieh gååvnesh,,Sveerje-sne vaejsie-h gååvnes-h,Sweden-LOC moose-PL exist-3PL,There are moose in Sweden,Kowalik 2023:322
GB130,aehtjie skååjjesne barka,,aehtjie skååjje-sne barka,father forest-LOC work.3SG,Father works in the forest,Kowalik 2023:306
GB132,mijjieh de utnibh bovtsh,,mijjieh de utn-i-bh bovts-h,1PL.NOM PTCL have-PST-1PL reindeer-NOM.PL,We had reindeer,Kowalik 2023:310
GB133,aahka aajja hov spidtjetjem utnieh,,aahka aajja hov spidtjetje-m utnie-h,grandma grandpa PTCL small_farm-ACC have-3PL,Grandmother and grandfather have a little farm,Kowalik 2023:310
GB134,dihte viehkiehti gosse maana reakasovvi Käringjöesne,,dihte viehkieht-i gosse maana reakasovv-i Käringjöe-sne,3SG help-PST.3SG when child be_born-PST.3SG Käringsjö-LOC,S/he helped when a child was born in Käringsjön,Kowalik 2023:335
GB135-1,de dihte saemie vööjni aktem ståapoem,,de dihte saemie vööjn-i akte-m ståapoe-m,then DEM Saami see-PST.3SG one-ACC house-ACC,Then the Saami saw a house,SIKOR
