"ID","Name","Subfamily","Glottocode","ISO.639.3","Latitude","Longitude","citations"
1,"Soikkola_Ingrian","Finnic","ingr1248","izh",59.78,28.53,"nirvi_inkeroismurteiden_1971,virtaranta_lahisukukielten_1967"
2,"West_Votic","Finnic","voti1245","vot",59.6,28.68,"ariste_vadja_1948,grunberg_vadja_2013"
3,"Voro_South_Estonian","Finnic","sout2679","vro",57.85,27,""
4,"Livvi_Karelian","Finnic","livv1243","olo",61.75,32.59,"markianova_karjalan_2002,torikka_karjalan_2009"
5,"Courland_Livonian","Finnic","livv1244","liv",57.57,22.03,"magiste_liivilaisia_1964,stalte_jelzi_2011,kettunen_livisches_1938,viitso_livoki-estiki-tkisonarontoz_2012,ut_uz_1942,setala_naytteita_1953,viitso_liivi_2008,damberg_jemakilugdobrantoz_1935,jantunen_order_2014,aedkl_archives_2021"
6,"Ludian","Finnic","ludi1246","lud",61.81,33.94,"kujola_lyydilaismurteiden_1944,ojansuu_lyydilaisia_1934,pls_priazlyydilaizet_2012"
7,"Central_Veps","Finnic","veps1250","vep",60.34,34.79,"grunthal_vepsan_2015,zajceva_grammatika_1981b"
8,"North_Karelian","Finnic","nort2673","krl",65.17,30.87,"zaikov_vienankarjalan_2013,torikka_karjalan_2009"
9,"Tver_Karelian","Finnic","tver1240","krl",57.06,35.86,""
10,"Estonian","Finnic","esto1258","myv",58.95,25.51,""
11,"Finnish","Finnic","finn1318","fin",62.52,25.75,"ylikoski_prolatiivi_2018,hakulinen_iso_2004"
12,"Pite_Saami","Saami","pite1240","sje",66.4,17.43,"lehtiranta_arjeploginsaamen_1992"
13,"Inari_Saami","Saami","inar1241","smn",69.42,27.87,"turk_consonantal_2019,markus_three-way_2012"
14,"Lule_Saami","Saami","lule1254","smj",67.28,17.81,"wiklund_larobok_1915,grundstrom_lulelapsk_1946,spiik_lulesamisk_1989,pirak_jahtte_1993,sikor_sikor_2018"
15,"South_Saami","Saami","sout2674","sma",62.88,13.7,"magga_sorsamisk_2012,bergsland_roros-lappisk_1946,vinka_sydsamisk_2012"
16,"North_Saami","Saami","nort2671","sme",68.72,22.11,""
17,"Skolt_Saami","Saami","skol1241","sms",68.83,29.72,"feist_grammar_2010"
18,"Meadow_Mari","Mari","east2328","mhr",56.72,48.49,"riese__2017,krasnova_reading_2017,riese_mari_2019,riese_mari-english_2014"
19,"Hill_Mari","Mari","kozy1238","mrj",56.41,46.47,"alhoniemi_marin_1985,riese__2017,krasnova_reading_2017,riese_mari_2019,savatkova_marijskoje_1981a"
20,"Erzya","Mordvin","erzy1239","myv",54.74,45.88,""
21,"Moksha","Mordvin","moks1248","mdf",54.15,43.87,""
22,"Komi_Zyrian","Permic","komi1268","kpv",64.05,54.95,"lytkin_sovremennyj_1955,okk_okk_1998"
23,"Udmurt","Permic","udmu1245","udm",57.11,52.89,"kelmakov_udmurtin_2008,arkhangelskiy_case_2018,winkler_udmurt_2001,__1983b,noauthor__1962,edygarova_kategorija_2010"
24,"Hungarian","Ugric","hung1274","hun",46.91,19.66,"havas_typological_2015"
25,"East_Mansi","Ugric","?","?",60.2,65.49,"virtanen_transitivity_2015,kulonen_itamansin_2007"
26,"North_Mansi","Ugric","mans1258","mns",63.64,61.75,"riese_vogul_2001,noauthor_ob-ugric_nodate,skribnik_complex_2005,riese__2020,__1995,rombandeeva_wogulische_1984,__2007,noauthor_-_2012,kalman_wogulisches_1986,nikolaeva_semantics_1999"
27,"Kazym_Khanty","Ugric","khan1273","kca",62.43,66.12,""
28,"Surgut_Khanty","Ugric","surg1248","?",61.25,73.35,"csepregi_new_1999"
29,"Forest_Enets","Samoyed","fore1265","enf",68.55,85.83,""
30,"Tundra_Nenets","Samoyed","nene1249","yrk",66.18,71.02,"nikolaeva_grammar_2014,janhunen_glottal_1986"
31,"South_Selkup","Samoyed","sout3262","sel",58.4,82.52,""
32,"Kamas","Samoyed","kama1351","xas",55.07,94.83,""
33,"Nganasan","Samoyed","ngan1291","nio",72.12,102.83,"wagner-nagy_grammar_2018,pajusalu_towards_2018,klumpp_typology_2018,janhunen_nganasan_2020"
34,"Komi_Permyak","Permic","komi1269","koi",59.96,54.51,""
35,"Ume_Saami","Saami","umes1235","sju",65.3,17.97,""
