Feature_ID,Value,Source,Comment
GB020,0,"Miina Norvik & Eva Saar, p.c.",
GB021,0,"Miina Norvik & Eva Saar, p.c.",
GB022,0,"Miina Norvik & Eva Saar, p.c.",
GB023,0,"Miina Norvik & Eva Saar, p.c.",
GB024,1,"Miina Norvik & Eva Saar, p.c.",
GB025,1,"Miina Norvik & Eva Saar, p.c.",
GB026,0,"Miina Norvik & Eva Saar, p.c.",
GB027,1,"Miina Norvik & Eva Saar, p.c.",
GB028,0,"Miina Norvik & Eva Saar, p.c.",
GB030,0,"Miina Norvik & Eva Saar, p.c.",
GB031,0,"Miina Norvik & Eva Saar, p.c.",
GB035,0,"Miina Norvik & Eva Saar, p.c.",
GB036,0,"Miina Norvik & Eva Saar, p.c.",
GB037,0,"Miina Norvik & Eva Saar, p.c.",
GB038,0,"Miina Norvik & Eva Saar, p.c.",
GB039,0,"Miina Norvik & Eva Saar, p.c.",
GB041,0,"Miina Norvik & Eva Saar, p.c.",
GB042,0,"Miina Norvik & Eva Saar, p.c.",
GB043,0,"Miina Norvik & Eva Saar, p.c.",
GB044,1,"Miina Norvik & Eva Saar, p.c.",
GB046,0,"Miina Norvik & Eva Saar, p.c.",
GB047,1,"Miina Norvik & Eva Saar, p.c.",
GB048,1,"Miina Norvik & Eva Saar, p.c.",
GB049,1,"Miina Norvik & Eva Saar, p.c.",
GB051,0,"Miina Norvik & Eva Saar, p.c.",
GB052,0,"Miina Norvik & Eva Saar, p.c.",
GB053,0,"Miina Norvik & Eva Saar, p.c.",
GB054,0,"Miina Norvik & Eva Saar, p.c.",
GB057,0,"Miina Norvik & Eva Saar, p.c.",
GB058,0,"Miina Norvik & Eva Saar, p.c.",
GB059,0,"Miina Norvik & Eva Saar, p.c.",
GB065,1,"Miina Norvik & Eva Saar, p.c.",
GB068,0,"Miina Norvik & Eva Saar, p.c.",
GB069,0,"Miina Norvik & Eva Saar, p.c.",
GB070,1,"Miina Norvik & Eva Saar, p.c.",
GB071,1,"Miina Norvik & Eva Saar, p.c.",
GB072,1,"Miina Norvik & Eva Saar, p.c.",
GB073,1,"Miina Norvik & Eva Saar, p.c.",
GB074,1,"Miina Norvik & Eva Saar, p.c.",
GB075,1,"Miina Norvik & Eva Saar, p.c.",
GB079,0,"Miina Norvik & Eva Saar, p.c.",
GB080,1,"Miina Norvik & Eva Saar, p.c.",
GB081,0,"Miina Norvik & Eva Saar, p.c.",
GB082,0,"Miina Norvik & Eva Saar, p.c.",
GB083,1,"Miina Norvik & Eva Saar, p.c.",
GB084,0,"Miina Norvik & Eva Saar, p.c.",
GB086,0,"Miina Norvik & Eva Saar, p.c.",
GB089,1,"Miina Norvik & Eva Saar, p.c.",
GB090,0,"Miina Norvik & Eva Saar, p.c.",
GB091,1,"Miina Norvik & Eva Saar, p.c.",
GB092,0,"Miina Norvik & Eva Saar, p.c.",
GB093,0,"Miina Norvik & Eva Saar, p.c.",
GB094,0,"Miina Norvik & Eva Saar, p.c.",
GB095,0,"Miina Norvik & Eva Saar, p.c.",
GB096,0,"Miina Norvik & Eva Saar, p.c.",
GB098,0,"Miina Norvik & Eva Saar, p.c.",
GB099,0,"Miina Norvik & Eva Saar, p.c.",
GB103,0,"Miina Norvik & Eva Saar, p.c.",
GB104,0,"Miina Norvik & Eva Saar, p.c.",
GB105,0,"Miina Norvik & Eva Saar, p.c.",
GB107,0,"Miina Norvik & Eva Saar, p.c.",
GB108,0,"Miina Norvik & Eva Saar, p.c.",
GB109,0,"Miina Norvik & Eva Saar, p.c.",
GB110,0,"Miina Norvik & Eva Saar, p.c.",
GB111,1,"Miina Norvik & Eva Saar, p.c.",
GB113,1,"Miina Norvik & Eva Saar, p.c.",
GB114,1,"Miina Norvik & Eva Saar, p.c.",
GB115,0,"Miina Norvik & Eva Saar, p.c.",
GB116,0,"Miina Norvik & Eva Saar, p.c.",
GB117,1,"Miina Norvik & Eva Saar, p.c.",
GB118,0,"Miina Norvik & Eva Saar, p.c.",
GB119,0,"Miina Norvik & Eva Saar, p.c.",
