Feature_ID,Value,Source,Comment
GB020,0,Ulla Maija Forsberg (p.c.),
GB021,0,Ulla Maija Forsberg (p.c.),
GB022,0,Ulla Maija Forsberg (p.c.),
GB023,0,Ulla Maija Forsberg (p.c.),
GB024,1,Ulla Maija Forsberg (p.c.),
GB025,1,Forsberg 2007:77,
GB026,0,Ulla Maija Forsberg (p.c.),
GB027,0,Ulla Maija Forsberg (p.c.),instrumental does not express comitative
GB028,0,Ulla Maija Forsberg (p.c.),
GB030,0,Forsberg 2007:55,
GB031,1,Forsberg 2007:55,
GB035,0,Ulla Maija Forsberg (p.c.),
GB036,0,Ulla Maija Forsberg (p.c.),
GB037,0,Ulla Maija Forsberg (p.c.),
GB038,0,Ulla Maija Forsberg (p.c.),
GB039,0,Ulla Maija Forsberg (p.c.),
GB041,0,Ulla Maija Forsberg (p.c.),
GB042,0,Ulla Maija Forsberg (p.c.),
GB043,1,Ulla Maija Forsberg (p.c.),
GB044,1,Ulla Maija Forsberg (p.c.),
GB046,0,Ulla Maija Forsberg (p.c.),
GB047,1,Ulla Maija Forsberg (p.c.),"Action noun, suffix"
GB048,0,Ulla Maija Forsberg (p.c.),"There is a suffix, but it is not productive"
GB049,1,Ulla Maija Forsberg (p.c.),
GB051,0,Forsberg 2007:17,
GB052,0,Forsberg 2007:17,
GB053,0,Forsberg 2007:17,
GB054,0,Forsberg 2007:17,
GB057,0,Ulla Maija Forsberg (p.c.),
GB058,0,Forsberg 2007:17,
GB059,0,Ulla Maija Forsberg (p.c.),
GB065,1,Ulla Maija Forsberg (p.c.),
GB068,0,Ulla Maija Forsberg (p.c.),
GB069,0,Ulla Maija Forsberg (p.c.),
GB070,1,Forsberg 2007:27,
GB071,1,Forsberg 2007:55,
GB072,1,Forsberg 2007:27,
GB073,1,Forsberg 2007:55,
GB074,0,Ulla Maija Forsberg (p.c.),
GB075,1,Forsberg 2007:129,
GB079,0,Forsberg 2007:58ff,
GB080,1,Forsberg 2007:58ff,
GB081,0,Ulla Maija Forsberg (p.c.),
GB082,0,Forsberg 2007:63,
GB083,1,Forsberg 2007:58,
GB084,0,Ulla Maija Forsberg (p.c.),
GB086,0,Ulla Maija Forsberg (p.c.),
GB089,1,Forsberg 2007:58,
GB090,0,Forsberg 2007:58,
GB091,1,Forsberg 2007:58,
GB092,0,Forsberg 2007:58,
GB093,1,Forsberg 2007:73,"In the ""object conjugation"""
GB094,0,Forsberg 2007:73,
GB095,0,Ulla Maija Forsberg (p.c.),
GB096,0,Ulla Maija Forsberg (p.c.),
GB098,0,Ulla Maija Forsberg (p.c.),
GB099,0,Ulla Maija Forsberg (p.c.),
GB103,0,Ulla Maija Forsberg (p.c.),
GB104,0,Ulla Maija Forsberg (p.c.),
GB105,0,Forsberg 2007:32,
GB107,0,Forsberg 2007:129,
GB108,0,Ulla Maija Forsberg (p.c.),
GB109,0,Ulla Maija Forsberg (p.c.),
GB110,0,Forsberg 2007:58,
GB111,0,Ulla Maija Forsberg (p.c.),"There is a subject and object conjugation, but these can be used with the same verb; they are not classes."
GB113,1,Ulla Maija Forsberg (p.c.),
GB114,1,Ulla Maija Forsberg (p.c.),same as reciprocal
GB115,1,Ulla Maija Forsberg (p.c.),same as reflexive
GB116,0,Ulla Maija Forsberg (p.c.),
GB117,0,Ulla Maija Forsberg (p.c.),"there is a verb meaning ""is"", but it is not used as a copula"
GB118,0,Ulla Maija Forsberg (p.c.),
GB119,0,Ulla Maija Forsberg (p.c.),
GB120,0,Ulla Maija Forsberg (p.c.),
GB121,1,Ulla Maija Forsberg (p.c.),"Only in the conditional mood. Typical for Eastern Mansi, not Northern"
GB122,0,Ulla Maija Forsberg (p.c.),
GB123,0,Ulla Maija Forsberg (p.c.),
GB124,,,
GB126,1,Ulla Maija Forsberg (p.c.),
GB127,1,Ulla Maija Forsberg (p.c.),
GB129,0,Forsberg 2007,
GB130,1,Ulla Maija Forsberg (p.c.),
GB131,0,Forsberg 2007:129,
GB132,0,Forsberg 2007:129,
GB133,1,Forsberg 2007:129,
GB134,1,Ulla Maija Forsberg (p.c.),
GB135,1,Ulla Maija Forsberg (p.c.),
GB136,1,Ulla Maija Forsberg (p.c.),
GB137,0,Forsberg 2007:130,
GB138,0,Forsberg 2007:130,
GB139,1,Ulla Maija Forsberg (p.c.),
GB140,0,Forsberg 2007: 130,A negative existential negates existential clauses. 
GB146,0,Ulla Maija Forsberg (p.c.),
GB147,1,Ulla Maija Forsberg (p.c.),
GB148,0,Ulla Maija Forsberg (p.c.),
GB149,0,Ulla Maija Forsberg (p.c.),
GB150,0,Ulla Maija Forsberg (p.c.),
GB151,0,Ulla Maija Forsberg (p.c.),
GB152,0,Ulla Maija Forsberg (p.c.),
GB155,1,Ulla Maija Forsberg (p.c.),
GB156,0,Ulla Maija Forsberg (p.c.),
GB158,0,Ulla Maija Forsberg (p.c.),
GB159,0,Ulla Maija Forsberg (p.c.),
GB160,0,Ulla Maija Forsberg (p.c.),
GB165,0,Forsberg 2007:17,
GB166,0,Forsberg 2007:17,
GB167,0,Ulla Maija Forsberg (p.c.),
GB170,0,Forsberg 2007:17,
GB171,0,Forsberg 2007:17,
GB172,0,Forsberg 2007:17,
GB177,0,Forsberg 2007:17,
GB184,0,Ulla Maija Forsberg (p.c.),
GB185,0,Ulla Maija Forsberg (p.c.),
GB186,0,Ulla Maija Forsberg (p.c.),
GB187,?,Ulla Maija Forsberg (p.c.),north mansi has
GB188,0,Ulla Maija Forsberg (p.c.),
GB192,0,Forsberg 2007:17,
GB193,1,Forsberg 2007:129,
GB196,0,Forsberg 2007:55,
GB197,0,Forsberg 2007:55,
GB198,0,Forsberg 2007:17,
GB203,1,Ulla Maija Forsberg (p.c.),
GB204,?,Ulla Maija Forsberg (p.c.),
GB250,1,Forsberg 2007:131,
GB252,0,Forsberg 2007:131,
GB253,0,Forsberg 2007:131,
GB254,0,Ulla Maija Forsberg (p.c.),
GB256,0,Forsberg 2007:131,
GB257,0,Ulla Maija Forsberg (p.c.),
GB260,0,Ulla Maija Forsberg (p.c.),
GB262,0,Ulla Maija Forsberg (p.c.),
GB263,0,Ulla Maija Forsberg (p.c.),
GB264,0,Ulla Maija Forsberg (p.c.),
GB265,0,Forsberg 2007:53,
GB266,?,Ulla Maija Forsberg (p.c.),
GB270,?,Ulla Maija Forsberg (p.c.),
GB273,?,Ulla Maija Forsberg (p.c.),
GB275,1,Forsberg 2007:53,
GB276,0,Forsberg 2007:53,
GB285,0,Forsberg 2007:91,
GB286,0,Ulla Maija Forsberg (p.c.),
GB291,0,Forsberg 2007:91,
GB296,0,Forsberg 2007,
GB297,0,Ulla Maija Forsberg (p.c.),
GB298,0,Forsberg 2007:93,
GB299,1,Forsberg 2007:129,
GB300,0,Ulla Maija Forsberg (p.c.),
GB301,1,Ulla Maija Forsberg (p.c.),dual pronoun
GB302,0,Ulla Maija Forsberg (p.c.),
GB303,0,Ulla Maija Forsberg (p.c.),
GB304,1,Ulla Maija Forsberg (p.c.),
GB305,0,Ulla Maija Forsberg (p.c.),
GB306,0,Ulla Maija Forsberg (p.c.),
GB309,0,Forsberg 2007:58,
GB312,1,Ulla Maija Forsberg (p.c.),
GB313,0,Ulla Maija Forsberg (p.c.),
GB314,0,Forsberg 2007:17,
GB315,0,Forsberg 2007:17,
GB316,0,Forsberg 2007:17,
GB317,0,Forsberg 2007:17,
GB318,0,Forsberg 2007:17,
GB319,0,Forsberg 2007:17,
GB320,0,Forsberg 2007:17,
GB321,0,Forsberg 2007:17,
GB322,0,Ulla Maija Forsberg (p.c.),
GB323,0,Ulla Maija Forsberg (p.c.),
GB324,0,Ulla Maija Forsberg (p.c.),
GB325,,,
GB326,1,Ulla Maija Forsberg (p.c.),
GB327,0,Ulla Maija Forsberg (p.c.),
GB328,0,Ulla Maija Forsberg (p.c.),
GB329,0,Ulla Maija Forsberg (p.c.),
GB330,0,Ulla Maija Forsberg (p.c.),
GB331,0,Ulla Maija Forsberg (p.c.),
GB333,1,Forsberg 2007:56,
GB334,0,Forsberg 2007:56,
GB335,0,Forsberg 2007:56,
GB336,0,Forsberg 2007:56,
GB400,0,Ulla Maija Forsberg (p.c.),
GB401,0,Ulla Maija Forsberg (p.c.),
GB402,0,Ulla Maija Forsberg (p.c.),
GB403,0,Ulla Maija Forsberg (p.c.),
GB408,1,Forsberg 2007:32,
GB409,0,Forsberg 2007:32,
GB410,0,Forsberg 2007:32,
GB415,0,Ulla Maija Forsberg (p.c.),
GB421,?,Ulla Maija Forsberg (p.c.),
GB422,?,Ulla Maija Forsberg (p.c.),
GB430,0,Forsberg 2007:17,
GB431,0,Forsberg 2007:17,
GB432,0,Ulla Maija Forsberg (p.c.),
GB433,1,Forsberg 2007:17,
GB519,0,Ulla Maija Forsberg (p.c.),
GB520,,,
GB521,0,Ulla Maija Forsberg (p.c.),
GB522,0,Ulla Maija Forsberg (p.c.),
