Feature_ID,Value,Source,Comment
GB020,0,"Niina Aasmäe, p.c.","No, but different declination that express indefinite/definite/possessiv"
GB021,0,"Niina Aasmäe, p.c.",
GB022,0,"Niina Aasmäe, p.c.",
GB023,?,"Niina Aasmäe, p.c.",Suffixed
GB024,1,"Niina Aasmäe, p.c.",
GB025,1,"Niina Aasmäe, p.c.",
GB026,0,"Niina Aasmäe, p.c.",
GB027,?,"Niina Aasmäe, p.c.",
GB028,0,"Niina Aasmäe, p.c.",There is a possessive declination
GB030,0,"Niina Aasmäe, p.c.",
GB031,0,"Niina Aasmäe, p.c.",
GB035,0,"Niina Aasmäe, p.c.",
GB036,0,"Niina Aasmäe, p.c.",
GB037,0,"Niina Aasmäe, p.c.",
GB038,0,"Niina Aasmäe, p.c.",
GB039,0,"Niina Aasmäe, p.c.",
GB041,0,"Niina Aasmäe, p.c.",
GB042,0,"Niina Aasmäe, p.c.",
GB043,0,"Niina Aasmäe, p.c.",
GB044,1,"Niina Aasmäe, p.c.",
GB046,?,"Niina Aasmäe, p.c.",njek'
GB047,1,"Niina Aasmäe, p.c.",
GB048,1,"Niina Aasmäe, p.c.",
GB049,1,"Niina Aasmäe, p.c.",
GB051,0,"Niina Aasmäe, p.c.",
GB052,0,"Niina Aasmäe, p.c.",
GB053,0,"Niina Aasmäe, p.c.",
GB054,0,"Niina Aasmäe, p.c.",
GB057,0,"Niina Aasmäe, p.c.",
GB058,0,"Niina Aasmäe, p.c.",
GB059,0,"Niina Aasmäe, p.c.",
GB065,1,"Niina Aasmäe, p.c.",
GB068,0,"Niina Aasmäe, p.c.",
GB069,0,"Niina Aasmäe, p.c.",
GB070,1,"Niina Aasmäe, p.c.",
GB071,1,"Niina Aasmäe, p.c.",
GB072,1,"Niina Aasmäe, p.c.",
GB073,1,"Niina Aasmäe, p.c.",
GB074,0,"Niina Aasmäe, p.c.",
GB075,1,"Niina Aasmäe, p.c.",
GB079,0,"Niina Aasmäe, p.c.",
GB080,1,"Niina Aasmäe, p.c.",
GB081,0,"Niina Aasmäe, p.c.",
GB082,0,"Niina Aasmäe, p.c.",a in present tense 1 and 2 SG
GB083,1,"Niina Aasmäe, p.c.",
GB084,0,"Niina Aasmäe, p.c.",
GB086,0,"Niina Aasmäe, p.c.",
GB089,1,"Niina Aasmäe, p.c.",
GB090,0,"Niina Aasmäe, p.c.",
GB091,1,"Niina Aasmäe, p.c.",
GB092,0,"Niina Aasmäe, p.c.",
GB093,1,"Niina Aasmäe, p.c.",
GB094,0,"Niina Aasmäe, p.c.",
GB095,0,"Niina Aasmäe, p.c.",
GB096,0,"Niina Aasmäe, p.c.",
GB098,1,"Niina Aasmäe, p.c.",
