Feature_ID,Value,Source,Comment
GB020,0,"Mervi de Heer, p.c.","However, in spoken language, the demonstrative ""se"" 'this' can be used as a definite article."
GB021,0,"Mervi de Heer, p.c.","However, in spoken language, the numeral ""yksi"" 'one' can be used."
GB022,0,"Mervi de Heer, p.c.","However, if the articles (see GB20 & GB21) are used, they are prenominal."
GB023,0,"Mervi de Heer, p.c.",
GB024,1,"Mervi de Heer, p.c.",
GB025,1,"Mervi de Heer, p.c.",
GB026,0,"Mervi de Heer, p.c.",
GB027,1,"Mervi de Heer, p.c.","However, there is a restriction to the comitative construction (in standard written language, *""Mary-COM"" does not work but ""child-COM"", ""dog-COM"" works.) Spoken language is more liberal though."
GB028,0,"Mervi de Heer, p.c.",
GB030,0,"Mervi de Heer, p.c.",
GB031,0,"Mervi de Heer, p.c.",
GB035,0,"Mervi de Heer, p.c.",
GB036,0,"Mervi de Heer, p.c.",
GB037,0,"Mervi de Heer, p.c.",
GB038,0,"Mervi de Heer, p.c.",
GB039,0,"Mervi de Heer, p.c.",
GB041,0,"Mervi de Heer, p.c.",
GB042,0,"Mervi de Heer, p.c.",
GB043,0,"Mervi de Heer, p.c.",
GB044,1,"Mervi de Heer, p.c.",
GB046,0,"Mervi de Heer, p.c.",
GB047,1,"Mervi de Heer, p.c.",Amongst others the suffix -minen.
GB048,1,"Mervi de Heer, p.c.",Amongst others the suffix -ja.
GB049,1,"Mervi de Heer, p.c.",Amongst others the suffix -s. No dedicated marker.
GB051,0,"Mervi de Heer, p.c.",
GB052,0,"Mervi de Heer, p.c.",
GB053,0,"Mervi de Heer, p.c.",
GB054,0,"Mervi de Heer, p.c.",
GB057,0,"Mervi de Heer, p.c.",
GB058,0,"Mervi de Heer, p.c.",
GB059,0,"Mervi de Heer, p.c.",
GB065,1,"Mervi de Heer, p.c.",
GB068,0,"Mervi de Heer, p.c.",
GB069,0,"Mervi de Heer, p.c.",
GB070,1,"Mervi de Heer, p.c.",
GB071,1,"Mervi de Heer, p.c.",
GB072,1,"Mervi de Heer, p.c.",
GB073,1,"Mervi de Heer, p.c.",
GB074,1,"Mervi de Heer, p.c.",
GB075,1,"Mervi de Heer, p.c.",
GB079,0,"Mervi de Heer, p.c.",
GB080,1,"Mervi de Heer, p.c.",
GB081,0,"Mervi de Heer, p.c.",
GB082,0,"Mervi de Heer, p.c.",
GB083,1,"Mervi de Heer, p.c.",
GB084,0,"Mervi de Heer, p.c.",
GB086,0,"Mervi de Heer, p.c.",
GB089,1,"Mervi de Heer, p.c.",
GB090,0,"Mervi de Heer, p.c.",
GB091,1,"Mervi de Heer, p.c.",
GB092,0,"Mervi de Heer, p.c.",
GB093,0,"Mervi de Heer, p.c.",
GB094,0,"Mervi de Heer, p.c.",
GB095,0,"Mervi de Heer, p.c.",
GB096,0,"Mervi de Heer, p.c.",
GB098,0,"Mervi de Heer, p.c.",
GB099,0,"Mervi de Heer, p.c.",
GB103,0,"Mervi de Heer, p.c.",
GB104,0,"Mervi de Heer, p.c.",
GB105,0,"Mervi de Heer, p.c.",
GB107,0,"Mervi de Heer, p.c.",
GB108,0,"Mervi de Heer, p.c.",
GB109,0,"Mervi de Heer, p.c.",
GB110,0,"Mervi de Heer, p.c.",
GB111,1,"Mervi de Heer, p.c.",
GB113,1,"Mervi de Heer, p.c.",E.g. causative suffix.
GB114,1,"Mervi de Heer, p.c.",suffix -utu/-yty
GB115,0,"Mervi de Heer, p.c.",reciprocal pronoun
GB116,0,"Mervi de Heer, p.c.",
GB117,1,"Mervi de Heer, p.c.",
GB118,0,"Mervi de Heer, p.c.",
GB119,0,"Mervi de Heer, p.c.",
GB120,0,"Mervi de Heer, p.c.",
GB121,1,"Mervi de Heer, p.c.",
GB122,0,"Mervi de Heer, p.c.",
GB123,0,"Mervi de Heer, p.c.",
GB124,0,"Mervi de Heer, p.c.",
GB126,0,"Mervi de Heer, p.c.",
GB127,0,"Mervi de Heer, p.c.",
GB129,0,"Mervi de Heer, p.c.",
GB130,1,"Mervi de Heer, p.c.",
GB131,0,"Mervi de Heer, p.c.",
GB132,1,"Mervi de Heer, p.c.",
GB133,0,"Mervi de Heer, p.c.",
GB134,1,"Mervi de Heer, p.c.",
GB135,1,"Mervi de Heer, p.c.",
GB136,1,"Mervi de Heer, p.c.",There is variation due to topicalisation and focus
