Feature_ID,Value,Source,Comment
GB020,0,"Jeremy Bradley, p.c.",
GB021,0,"Jeremy Bradley, p.c.",
GB022,0,"Jeremy Bradley, p.c.",
GB023,0,"Jeremy Bradley, p.c.",
GB024,1,"Jeremy Bradley, p.c.",
GB025,1,"Jeremy Bradley, p.c.",
GB026,0,"Jeremy Bradley, p.c.",
GB027,0,"Jeremy Bradley, p.c.",
GB028,0,"Jeremy Bradley, p.c.",
GB030,0,"Jeremy Bradley, p.c.",
GB031,0,"Jeremy Bradley, p.c.",
GB035,0,"Jeremy Bradley, p.c.",
GB036,0,"Jeremy Bradley, p.c.",
GB037,0,"Jeremy Bradley, p.c.",
GB038,0,"Jeremy Bradley, p.c.",
GB039,0,"Jeremy Bradley, p.c.",
GB041,0,"Jeremy Bradley, p.c.",
GB042,0,"Jeremy Bradley, p.c.",
GB043,0,"Jeremy Bradley, p.c.",
GB044,1,"Jeremy Bradley, p.c.",
GB046,1,"Jeremy Bradley, p.c.",
GB047,1,"Jeremy Bradley, p.c.",
GB048,1,"Jeremy Bradley, p.c.",
GB049,0,"Jeremy Bradley, p.c.",Not entirely productive.
GB051,0,"Jeremy Bradley, p.c.",
GB052,0,"Jeremy Bradley, p.c.",
GB053,0,"Jeremy Bradley, p.c.",
GB054,0,"Jeremy Bradley, p.c.",
GB057,0,"Jeremy Bradley, p.c.",
GB058,0,"Jeremy Bradley, p.c.",
GB059,0,"Jeremy Bradley, p.c.",Some kinship terms have special Px suffixes.
GB065,1,"Jeremy Bradley, p.c.",
GB068,0,"Jeremy Bradley, p.c.",
GB069,0,"Jeremy Bradley, p.c.",
GB070,1,"Jeremy Bradley, p.c.",
GB071,1,"Jeremy Bradley, p.c.",
GB072,1,"Jeremy Bradley, p.c.",
GB073,1,"Jeremy Bradley, p.c.",
GB074,0,"Jeremy Bradley, p.c.",
GB075,1,"Jeremy Bradley, p.c.",
GB079,0,"Jeremy Bradley, p.c.",
GB080,0,"Jeremy Bradley, p.c.",
GB081,0,"Jeremy Bradley, p.c.",
GB082,0,"Jeremy Bradley, p.c.",
GB083,1,"Jeremy Bradley, p.c.",
GB084,0,"Jeremy Bradley, p.c.",
GB086,0,"Jeremy Bradley, p.c.",
GB089,1,"Jeremy Bradley, p.c.",
GB090,0,"Jeremy Bradley, p.c.",
GB091,1,"Jeremy Bradley, p.c.",
GB092,0,"Jeremy Bradley, p.c.",
GB093,0,"Jeremy Bradley, p.c.",
GB094,0,"Jeremy Bradley, p.c.",
GB095,0,"Jeremy Bradley, p.c.",
GB096,0,"Jeremy Bradley, p.c.",
GB098,0,"Jeremy Bradley, p.c.",
GB099,0,"Jeremy Bradley, p.c.",
GB103,0,"Jeremy Bradley, p.c.","There is an auxiliary, but no bound marker."
GB104,0,"Jeremy Bradley, p.c.",
GB105,0,"Jeremy Bradley, p.c.",
GB107,0,"Jeremy Bradley, p.c.",
GB108,0,"Jeremy Bradley, p.c.",
GB109,0,"Jeremy Bradley, p.c.",
GB110,0,"Jeremy Bradley, p.c.",COP has weak suppletion in past tense.
GB111,1,"Jeremy Bradley, p.c.",
GB113,1,"Jeremy Bradley, p.c.",
GB114,1,"Jeremy Bradley, p.c.",
GB115,?,"Jeremy Bradley, p.c.",
GB116,0,"Jeremy Bradley, p.c.",
GB117,1,"Jeremy Bradley, p.c.",
GB118,0,"Jeremy Bradley, p.c.",
GB119,?,"Jeremy Bradley, p.c.",
GB120,1,"Jeremy Bradley, p.c.",
GB121,1,"Jeremy Bradley, p.c.",Future of atelic verbs.
GB122,0,"Jeremy Bradley, p.c.",
GB123,0,"Jeremy Bradley, p.c.",
