Feature_ID,Value,Source,Comment
GB020,0,Spiik 1989:31,
GB021,0,Spiik 1989:31,
GB022,0,Spiik 1989:31,
GB023,0,Spiik 1989:31,
GB024,1,Spiik 1989:49,
GB025,1,Spiik 1989:57,
GB026,0,Spiik 1989:11-117;Kintel1991:7-71,
GB027,1,Kintel 1991:25,
GB028,0,Kintel 1991:52,
GB030,0,Kintel 1991:52,
GB031,1,Kintel 1991:52,
GB035,1,Spiik 1989:57,
GB036,0,Spiik 1989:57,
GB037,0,Spiik 1989:57,
GB038,0,Spiik 1989:57,
GB039,0,Spiik 1989:34ff.,
GB041,0,Spiik 1989:31-40,
GB042,0,Spiik 1989:35,
GB043,0,Spiik 1989:35,
GB044,0,Spiik 1989:35,
GB046,0,Spiik 1989:11-117;Kintel1991:7-71,
GB047,1,Kintel 1991:56,
GB048,1,Kintel 1991:56,
GB049,1,Kintel 1991:56-59,
GB051,0,Spiik 1989:52,
GB052,0,Spiik 1989:52,
GB053,0,Spiik 1989:52,
GB054,0,Spiik 1989:52,
GB057,0,Spiik 1989:31-61,
GB058,0,Spiik 1989:31-61,
GB059,0,Spiik 1989:53-55; Kintel 1991:7-71,
GB065,1,Spiik 1989:53;Kintel 1991:9,
GB068,0,Spiik 1989:40ff,
GB069,0,Spiik 1989:40ff,
GB070,1,Kintel 1991:7;12,
GB071,1,Spiik 1989:52,
GB072,1,Kintel 1991:31-26,
GB073,1,Spiik 1989:52,
GB074,1,Spiik 1989:91-93,
GB075,1,Spiik 1989:91-93,
GB079,0,"Olle Kejonen, Torgny Hedström, p.c.",
GB080,1,Kintel 1991:33ff,
GB081,0,Kintel 1991:33ff,
GB082,0,Spiik 1989:103,
GB083,0,Spiik 1989:103,
GB084,0,Spiik 1989:103,
GB086,0,Spiik 1989:103,
GB089,1,Spiik 1989:102-103,
GB090,0,Spiik 1989:102-103,
GB091,1,Spiik 1989:102-103,
GB092,0,Spiik 1989:102-103,
GB093,0,Spiik 1989:102-103,
GB094,0,Spiik 1989:102-103,
GB095,0,Kintel 1991:7-71; Spiik 1989:11-117,
GB096,0,Spiik 1989:76-87,
GB098,0,Spiik 1989:76-87,
GB099,1,Spiik 1989:76-87,"Yes, there is stem alternation (consonant gradation) in e.g. 1Sg and 2Sg present tense"
GB103,0,Spiik 1989:76-87,
GB104,0,Spiik 1989:76-87,
GB105,0,Kintel 1991:9ff,
GB107,0,Spiik 1989:71,
GB108,0,Spiik 1989:65ff,
GB109,0,Spiik 1989:65ff,
GB110,0,Spiik 1989:65ff,
