Feature_ID,Value,Source,Comment
GB020,1,Arja Hamari (p.c.),
GB021,0,Arja Hamari (p.c.),
GB022,0,Arja Hamari (p.c.),cliticised demonstrative
GB023,1,Arja Hamari (p.c.),
GB024,1,Arja Hamari (p.c.),
GB025,1,Arja Hamari (p.c.),
GB026,0,Arja Hamari (p.c.),
GB027,1,Arja Hamari (p.c.),COM and conjunction
GB028,0,Arja Hamari (p.c.),
GB030,0,Arja Hamari (p.c.),
GB031,0,Arja Hamari (p.c.),
GB035,0,Arja Hamari (p.c.),
GB036,0,Arja Hamari (p.c.),
GB037,0,Arja Hamari (p.c.),
GB038,0,Arja Hamari (p.c.),
GB039,0,Arja Hamari (p.c.),
GB041,0,Arja Hamari (p.c.),
GB042,0,Arja Hamari (p.c.),
GB043,0,Arja Hamari (p.c.),
GB044,1,Arja Hamari (p.c.),
GB046,0,Arja Hamari (p.c.),
GB047,1,Arja Hamari (p.c.),
GB048,1,Arja Hamari (p.c.),Participle
GB049,1,Arja Hamari (p.c.),Participle
GB051,0,Arja Hamari (p.c.),
GB052,0,Arja Hamari (p.c.),
GB053,0,Arja Hamari (p.c.),
GB054,0,Arja Hamari (p.c.),
GB057,0,Arja Hamari (p.c.),
GB058,0,Arja Hamari (p.c.),
GB059,0,Arja Hamari (p.c.),
GB065,1,Arja Hamari (p.c.),
GB068,1,Arja Hamari (p.c.),Agreement in both number and person. 
GB069,0,Arja Hamari (p.c.),
GB070,1,Arja Hamari (p.c.),
GB071,1,Arja Hamari (p.c.),
GB072,1,Arja Hamari (p.c.),
GB073,1,Arja Hamari (p.c.),
GB074,0,Arja Hamari (p.c.),
GB075,1,Arja Hamari (p.c.),
GB079,0,Arja Hamari (p.c.),
GB080,1,Arja Hamari (p.c.),
GB081,0,Arja Hamari (p.c.),
GB082,0,Arja Hamari (p.c.),
GB083,1,Arja Hamari (p.c.),palatalization in the 1st past; dedicated marker in the 2nd past
GB084,0,Arja Hamari (p.c.),
