Feature_ID,Value,Source,Comment
GB020,0,Feist 2010:1-356,Not mentioned. 
GB021,0,Feist 2010:1-356,Not mentioned. 
GB022,0,Feist 2010:1-356,Not mentioned. 
GB023,0,Feist 2010:1-356,Not mentioned. 
GB024,1,Feist 2010:223,
GB025,1,Feist 2010:220,
GB026,0,Feist 2010:211,
GB027,1,Feist 2010:246,
GB028,1,Feist 2010:246,
GB030,0,Feist 2010:251,
GB031,1,Feist 2010:251,
GB035,0,Feist 2010:255,
GB036,0,Feist 2010:255,
GB037,0,Feist 2010:255,
GB038,0,Feist 2010:255,
GB039,0,Feist 2010:139,
GB041,0,Feist 2010:139,
GB042,0,Feist 2010:139,
GB043,0,Feist 2010:139,
GB044,1,Feist 2010:139,There is a dedicated PL marker that appears in all cases except the NOM.PL.
GB046,?,Feist 2010:1-478,Not mentioned. 
GB047,1,Feist 2010:195,
GB048,1,Feist 2010:195,
GB049,1,Feist 2010:193,
GB051,0,Feist 2010:137,
GB052,0,Feist 2010:137,
GB053,0,Feist 2010:137,
GB054,0,Feist 2010:137,
GB057,0,Feist 2010:1-478,
GB058,0,Feist 2010:1-478,
GB059,0,Feist 2010:169,
GB065,1,Feist 2010:232,
GB068,0,Feist 2010:179ff,
GB069,0,Feist 2010:179ff,
GB070,1,Feist 2010:138,
GB071,1,Feist 2010:251,
GB072,1,Feist 2010:138,
GB073,1,Feist 2010:251,
GB074,1,Feist 2010:306,
GB075,1,Feist 2010:306,
GB079,0,Feist 2010:115ff,
GB080,1,Feist 2010:120,
GB081,0,Feist 2010:115ff,
GB082,0,Feist 2010:263,
GB083,0,Feist 2010:263,
GB084,0,Feist 2010:263,
GB086,0,Feist 2010:263,
GB089,1,Feist 2010:278,
GB090,0,Feist 2010:278,
GB091,1,Feist 2010:278,
GB092,0,Feist 2010:278,
GB093,0,Feist 2010:278,
GB094,0,Feist 2010:278,
GB095,0,Feist 2010:120,
GB096,0,Feist 2010:120,
GB098,0,Feist 2010:120,
GB099,0,Feist 2010:1-478,Suppletion is not mentioned.
GB103,0,Feist 2010:115ff,
GB104,0,Feist 2010:115ff,
GB105,0,Feist 2010:237,
GB107,0,Feist 2010:272,
GB108,0,Feist 2010:115ff,
GB109,0,Feist 2010:115ff,
GB110,0,Feist 2010:115ff,
GB111,0,Feist 2010:116-120,
GB113,1,Feist 2010:184,
GB114,1,Feist 2010:185,
GB115,1,Feist 2010:185,
GB116,0,Feist 2010:115ff,
GB117,1,Feist 2010:289,
GB118,0,Feist 2010:262ff,
GB119,0,Feist 2010:268,
GB120,1,Feist 2010:265,
GB121,0,Feist 2010:264,Present perfect and past perfect are encoded with both an auxiliary and a participle.
GB122,0,Feist 2010:115ff,
GB123,0,Feist 2010:115ff,
GB124,0,Feist 2010:184ff,
GB126,0,Feist 2010:289,
GB127,0,Feist 2010,Not mentioned. 
GB129,0,Feist 2010:1-358,
GB130,1,Feist 2010:278,
GB131,0,Feist 2010:278,
GB132,0,Feist 2010:278,
GB133,1,Feist 2010:278,
GB134,1,Feist 2010:332ff,
GB135,1,Feist 2010:332ff,
GB136,0,Feist 2010:278,
GB137,0,Feist 2010:272,
GB138,0,Feist 2010:272,
GB139,1,Feist 2010:330,
GB140,1,Feist 2010:272ff,
GB146,0,Feist 2010:1-356,
GB147,0,Feist 2010:297,Auxiliary plus passive participle (non-finite)
GB148,0,Feist 2010:292,"Reciprocal and reflexive markers which decrease valency, but no antipassives."
GB149,0,Feist 2010:292ff,
GB150,0,Feist 2010:1-356,
GB151,0,Feist 2010:1-356,
GB152,0,Feist 2010:1-356,
GB155,1,Feist 2010:184,
GB156,0,Feist 2010:184,
GB158,0,Feist 2010:1-356,Not mentioned. 
GB159,0,Feist 2010:1-356,Not mentioned. 
GB160,0,Feist 2010:1-356,Not mentioned. 
GB165,0,Feist 2010:137,
GB166,0,Feist 2010:137,
GB167,0,Feist 2010:250ff,
GB170,0,Feist 2010,
GB171,0,Feist 2010,
GB172,0,Feist 2010:,
GB177,0,Feist 2010:,
GB184,0,Feist 2010:211,
GB185,1,Feist 2010:256,
GB186,0,Feist 2010:,
GB187,1,Feist 2010:193,
GB188,0,Feist 2010:,Not mentioned. 
GB192,0,Feist 2010:,
GB193,1,Feist 2010:172,
GB196,0,Feist 2010:250,
GB197,0,Feist 2010:250,
GB198,0,Feist 2010:,
GB203,1,Feist 2010:228,
GB204,0,Feist 2010:226,
GB250,0,Feist 2010:241,
GB252,1,Feist 2010:241,
GB253,0,Feist 2010:241,
GB254,0,Feist 2010:241,
GB256,0,Feist 2010:241,
GB257,0,Feist 2010:319,
GB260,0,Feist 2010:319,
GB262,0,Feist 2010:319,
GB263,0,Feist 2010:319,
GB264,0,Feist 2010:319,
GB265,0,Feist 2010:250,
GB266,1,Feist 2010:250,Partitive case.
GB270,0,Feist 2010:250,
GB273,0,Feist 2010:250,
GB275,1,Feist 2010:179,
GB276,0,Feist 2010:179,
GB285,0,Feist 2010:319,
GB286,1,Feist 2010:319,
GB291,0,Feist 2010:319,
GB296,0,Feist 2010,
GB297,0,Feist 2010:319,
GB298,1,Feist 2010:272,
GB299,0,Feist 2010:272,
GB300,0,Feist 2010,
GB301,0,Feist 2010:250ff,
GB302,0,Feist 2010,
GB303,0,Feist 2010,
GB304,?,Feist 2010:215,
GB305,1,Feist 2010:253,
GB306,0,Feist 2010:185,
GB309,0,Feist 2010:262ff,
GB312,1,Feist 2010:268,
GB313,0,Feist 2010:250ff,
GB314,0,Feist 2010:137,
GB315,0,Feist 2010:193,
GB316,0,Feist 2010:137,
GB317,0,Feist 2010:137,
GB318,0,Feist 2010:137,
GB319,0,Feist 2010:137,
GB320,0,Feist 2010:137,
GB321,0,Feist 2010,
GB322,0,Feist 2010,
GB323,0,Feist 2010,
GB324,0,Feist 2010:325,
GB325,?,Feist 2010:1-356,
GB326,0,Feist 2010:319ff,
GB327,1,Feist 2010:349,
GB328,0,Feist 2010:349,
GB329,0,Feist 2010:349ff,
GB330,0,Feist 2010:349ff,
GB331,0,Feist 2010:349ff,
GB333,1,Feist 2010:222,
GB334,0,Feist 2010:222,
GB335,0,Feist 2010:222,
GB336,0,Feist 2010:222,
GB400,0,Feist 2010:262ff,
GB401,0,Feist 2010:115ff,
GB402,0,Feist 2010,Not mentioned. 
GB403,0,Feist 2010,Not mentioned. 
GB408,1,Feist 2010:288,
GB409,0,Feist 2010:288,
GB410,0,Feist 2010:288,
GB415,0,Feist 2010:250,
GB421,1,Feist 2010:332ff,Russian loan: sto
GB422,0,Feist 2010:332ff,
GB430,0,Feist 2010:233,
GB431,0,Feist 2010:233,
GB432,1,Feist 2010:233,
GB433,0,Feist 2010:233,
GB519,0,Feist 2010:268,
GB520,0,Feist 2010:265,
GB521,0,Feist 2010:120,
GB522,1,Feist 2010:252,
