Feature_ID,Value,Source,Comment
GB020,0,"Sulev Iva, p.c.",
GB021,0,"Sulev Iva, p.c.",
GB022,0,"Sulev Iva, p.c.",
GB023,0,"Sulev Iva, p.c.",
GB024,1,"Sulev Iva, p.c.",
GB025,1,"Sulev Iva, p.c.",
GB026,0,"Sulev Iva, p.c.",
GB027,1,"Sulev Iva, p.c.",
GB028,0,"Sulev Iva, p.c.",
GB030,0,"Sulev Iva, p.c.",
GB031,0,"Sulev Iva, p.c.",
GB035,1,"Sulev Iva, p.c.",
GB036,0,"Sulev Iva, p.c.",
GB037,0,"Sulev Iva, p.c.",
GB038,0,"Sulev Iva, p.c.",
GB039,0,"Sulev Iva, p.c.",
GB041,0,"Sulev Iva, p.c.",
GB042,0,"Sulev Iva, p.c.",
GB043,0,"Sulev Iva, p.c.",
GB044,1,"Sulev Iva, p.c.",
GB046,0,"Sulev Iva, p.c.",
GB047,1,"Sulev Iva, p.c.",
GB048,1,"Sulev Iva, p.c.",
GB049,1,"Sulev Iva, p.c.",
GB051,0,"Sulev Iva, p.c.",
GB052,0,"Sulev Iva, p.c.",
GB053,0,"Sulev Iva, p.c.",
GB054,0,"Sulev Iva, p.c.",
GB057,0,"Sulev Iva, p.c.",
GB058,0,"Sulev Iva, p.c.",
GB059,0,"Sulev Iva, p.c.",
GB065,1,"Sulev Iva, p.c.",
GB068,0,"Sulev Iva, p.c.",
GB069,0,"Sulev Iva, p.c.",
GB070,1,"Sulev Iva, p.c.",
GB071,1,"Sulev Iva, p.c.",
GB072,1,"Sulev Iva, p.c.",
GB073,1,"Sulev Iva, p.c.",
GB074,1,"Sulev Iva, p.c.",
GB075,1,"Sulev Iva, p.c.",
GB079,0,"Sulev Iva, p.c.",
GB080,1,"Sulev Iva, p.c.",
GB081,0,"Sulev Iva, p.c.",
GB082,0,"Sulev Iva, p.c.",
GB083,1,"Sulev Iva, p.c.",
GB084,0,"Sulev Iva, p.c.",
GB086,0,"Sulev Iva, p.c.",
GB089,1,"Sulev Iva, p.c.",
GB090,0,"Sulev Iva, p.c.",
GB091,1,"Sulev Iva, p.c.",
GB092,0,"Sulev Iva, p.c.",
GB093,0,"Sulev Iva, p.c.",
GB094,0,"Sulev Iva, p.c.",
GB095,0,"Sulev Iva, p.c.",
GB096,0,"Sulev Iva, p.c.",
GB098,0,"Sulev Iva, p.c.",
GB099,0,"Sulev Iva, p.c.",
GB103,0,"Sulev Iva, p.c.",
GB104,0,"Sulev Iva, p.c.",
GB105,0,"Sulev Iva, p.c.",
GB107,1,"Sulev Iva, p.c.",
GB108,0,"Sulev Iva, p.c.",
GB109,0,"Sulev Iva, p.c.",
GB110,0,"Sulev Iva, p.c.",
GB111,1,"Sulev Iva, p.c.",
GB113,1,"Sulev Iva, p.c.",
GB114,1,"Sulev Iva, p.c.",
GB115,0,"Sulev Iva, p.c.",
GB116,0,"Sulev Iva, p.c.",
GB117,1,"Sulev Iva, p.c.",
GB118,0,"Sulev Iva, p.c.",
GB119,0,"Sulev Iva, p.c.",
GB120,0,"Sulev Iva, p.c.",
GB121,?,"Sulev Iva, p.c.",
GB122,0,"Sulev Iva, p.c.",
GB123,0,"Sulev Iva, p.c.",
GB124,0,"Sulev Iva, p.c.",
GB126,0,"Sulev Iva, p.c.",
GB127,0,"Sulev Iva, p.c.",
GB129,0,"Sulev Iva, p.c.",
GB130,1,"Sulev Iva, p.c.",
GB131,0,"Sulev Iva, p.c.",
GB132,1,"Sulev Iva, p.c.",
GB133,0,"Sulev Iva, p.c.",
GB134,1,"Sulev Iva, p.c.",
GB135,1,"Sulev Iva, p.c.",
GB136,1,"Sulev Iva, p.c.",
GB137,1,"Sulev Iva, p.c.",
GB138,0,"Sulev Iva, p.c.",
GB139,1,"Sulev Iva, p.c.",
GB140,1,"Sulev Iva, p.c.",
GB146,0,"Sulev Iva, p.c.",
GB147,1,"Sulev Iva, p.c.",
GB148,0,"Sulev Iva, p.c.",
GB149,0,"Sulev Iva, p.c.",
GB150,0,"Sulev Iva, p.c.",
GB151,0,"Sulev Iva, p.c.",
GB152,0,"Sulev Iva, p.c.",
GB155,1,"Sulev Iva, p.c.",
GB156,0,"Sulev Iva, p.c.",
GB158,0,"Sulev Iva, p.c.",
GB159,0,"Sulev Iva, p.c.",
GB160,0,"Sulev Iva, p.c.",
GB165,0,"Sulev Iva, p.c.",
GB166,0,"Sulev Iva, p.c.",
GB167,0,"Sulev Iva, p.c.",
GB170,0,"Sulev Iva, p.c.",
GB171,0,"Sulev Iva, p.c.",
GB172,0,"Sulev Iva, p.c.",
GB177,0,"Sulev Iva, p.c.",
GB184,1,"Sulev Iva, p.c.",
GB185,1,"Sulev Iva, p.c.",
GB186,0,"Sulev Iva, p.c.",
GB187,1,"Sulev Iva, p.c.",
GB188,0,"Sulev Iva, p.c.",
GB192,0,"Sulev Iva, p.c.",
GB193,1,"Sulev Iva, p.c.",
GB196,0,"Sulev Iva, p.c.",
GB197,0,"Sulev Iva, p.c.",
GB198,0,"Sulev Iva, p.c.",
GB203,1,"Sulev Iva, p.c.",
GB204,1,"Sulev Iva, p.c.",
GB250,0,"Sulev Iva, p.c.",
GB252,1,"Sulev Iva, p.c.",
GB253,0,"Sulev Iva, p.c.",
GB254,0,"Sulev Iva, p.c.",
GB256,0,"Sulev Iva, p.c.",
GB257,1,"Sulev Iva, p.c.",
GB260,1,"Sulev Iva, p.c.",
GB262,1,"Sulev Iva, p.c.",
GB263,1,"Sulev Iva, p.c.",
GB264,0,"Sulev Iva, p.c.",
GB265,0,"Sulev Iva, p.c.",
GB266,0,"Sulev Iva, p.c.",
GB270,0,"Sulev Iva, p.c.",
GB273,1,"Sulev Iva, p.c.",
GB275,1,"Sulev Iva, p.c.",
GB276,0,"Sulev Iva, p.c.",
GB285,0,"Sulev Iva, p.c.",
GB286,0,"Sulev Iva, p.c.",
GB291,0,"Sulev Iva, p.c.",
GB296,0,"Sulev Iva, p.c.",
GB297,1,"Sulev Iva, p.c.",
GB298,1,"Sulev Iva, p.c.",
GB299,0,"Sulev Iva, p.c.",
GB300,0,"Sulev Iva, p.c.",
GB301,0,"Sulev Iva, p.c.",
GB302,1,"Sulev Iva, p.c.",
GB303,0,"Sulev Iva, p.c.",
GB304,?,"Sulev Iva, p.c.","Possibly 1, but not clear enough."
GB305,1,"Sulev Iva, p.c.",
GB306,0,"Sulev Iva, p.c.",
GB309,0,"Sulev Iva, p.c.",
GB312,1,"Sulev Iva, p.c.",
GB313,0,"Sulev Iva, p.c.",
GB314,0,"Sulev Iva, p.c.",
GB315,0,"Sulev Iva, p.c.",
GB316,0,"Sulev Iva, p.c.",
GB317,0,"Sulev Iva, p.c.",
GB318,0,"Sulev Iva, p.c.",
GB319,0,"Sulev Iva, p.c.",
GB320,0,"Sulev Iva, p.c.",
GB321,0,"Sulev Iva, p.c.",
GB322,0,"Sulev Iva, p.c.",
GB323,1,"Sulev Iva, p.c.",
GB324,0,"Sulev Iva, p.c.",
GB325,1,"Sulev Iva, p.c.",
GB326,0,"Sulev Iva, p.c.",
GB327,1,"Sulev Iva, p.c.",
GB328,0,"Sulev Iva, p.c.",
GB329,0,"Sulev Iva, p.c.",
GB330,0,"Sulev Iva, p.c.",
GB331,0,"Sulev Iva, p.c.",
GB333,1,"Sulev Iva, p.c.",
GB334,0,"Sulev Iva, p.c.",
GB335,0,"Sulev Iva, p.c.",
GB336,0,"Sulev Iva, p.c.",
GB400,1,"Sulev Iva, p.c.",
GB401,0,"Sulev Iva, p.c.",
GB402,0,"Sulev Iva, p.c.",
GB403,0,"Sulev Iva, p.c.",
GB408,1,"Sulev Iva, p.c.",
GB409,0,"Sulev Iva, p.c.",
GB410,0,"Sulev Iva, p.c.",
GB415,1,"Sulev Iva, p.c.",
GB421,1,"Sulev Iva, p.c.",
GB422,0,"Sulev Iva, p.c.",
GB430,0,"Sulev Iva, p.c.",
