ID,Name,Central.Veps,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,"Nina Zaiceva, p.c.",,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,"Nina Zaiceva, p.c.",g´ä-i-ba ~ g´ä-i g´äl´ged;remain-PST-3PL ~ remain-PST.3SG step-PL;the steps remained;,
UT003,Can finite verbs agree in number with the nominal object?,0,"Nina Zaiceva, p.c.",,
UT004,Can an adnominal property word agree with the noun in case?,1,"Nina Zaiceva, p.c.",sure-s lidna-s;big-INE town-INE;in a big town;,
UT005,Are there cases that do not show agreement in terms of case?,1,"Nina Zaiceva, p.c.","leveda-d te-dme;wide-PRT road-PROL;along the wide road;
",
UT006,Can adpositions be used to mark core verbal arguments?,0,"Nina Zaiceva, p.c.",,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,Grünthal 2015: 217,kesked järve-d sarik om;middle lake-PRT island be.3SG;In the middle of the lake there is an island;,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,0,"Nina Zaiceva, p.c.",,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,"Nina Zaiceva, p.c.",,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,"Nina Zaiceva, p.c.",,
UT011,Does object marking correlate with aspectuality? ,1,"Nina Zaiceva, p.c.",Mina lug-i-n kirja-n;I read-PST-1SG book-GEN;I read a book;|Mina luge-n kirja-d;I read-1SG book-PRT;I am reading a book;,
UT012,Does the marking of the object depend on the verb conjugation form? ,1,"Nina Zaiceva, p.c.",To minei avadim!;bring.IMP.2SG 1SG.ALL key.NOM;Bring me the key!;|Ala to neci-da avadin-d!;NEG.IMP.2SG bring.IMP this-PRT key-PRT;Don't bring this key;,
UT013,Is there differential subject marking?,1,"Nina Zaiceva, p.c.",Leib on stola-l;bread.NOM be.3SG table-ADE;The bread is on the table;|Stola-l om leiba-d;table-ADE be.3SG bread-PRT;There is (some) bread on the table;,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,"Nina Zaiceva, p.c.",Ižand riko-i kana-n i toi kodi-he;master kill-PST.3SG chicken-GEN and bring-PST.3SG home-ILL;The master killed the chicken and brought home;,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,"Nina Zaiceva, p.c.",,
UT016,Is there a grammatical device for habituality?,0,"Nina Zaiceva, p.c.",,
UT017,Is there a grammatical device for frequentative?,1,"Nina Zaiceva, p.c.",Aje-li-moi kodi-he;drive-FRQ.PST-1PL home-ILL;We were driving home;,"The frequentative suffix expresses continuation, which makes the situation unbounded."
UT018,Is there a grammatical device for progressivity?,1,"Nina Zaiceva, p.c.","Ole-n teh-mas rado-i-d, kerada-mas babuko-i-d;be-1SG do-SUP.INE work-PL-PRT pick-SUP-INE berry-PL-PRT;I am working, picking berries;",
UT019,Is it common to use a verb in the present tense for future time reference? ,1,"Nina Zaiceva, p.c.",Mina sö-ška-n i gó-ška-n;1SG eat-INCH-1SG and drink-INCH-1SG;I'll start to eat and drink;,The present form may be used to express future time reference; the form may also contain an inchoative suffix (-ška < -škanden).
UT020,Is there a grammatical device for immediate future?,1,"Nina Zaiceva, p.c.",Hän om jo läht-mas;3SG be.3SG already leave-SUP.INE;S/he is about to leave;,
UT021,Is there a grammatical device for pluperfect?,1,"Nina Zaiceva, p.c.","ol-i-n sö-nu, konz sina tul-i-d;be-PST-1SG eat-ACT.PST.PTCP when 2SG come-PST-2SG;I had eaten when you came;",
UT022,Can aspect be expressed overtly on the negative marker?,0,"Nina Zaiceva, p.c.",,
UT023,Can tense be expressed overtly on the negative marker?,0,"Nina Zaiceva, p.c.",,Negation is formed using a negative particle. 
UT024,Is there grammatical marking of mirativity?,0,"Nina Zaiceva, p.c.",,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,"Nina Zaiceva, p.c.",,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,1,"Nina Zaiceva, p.c.",sö-iži-n;eat-COND-1SG;I would eat;,"The conditional mood is used with various time reference: sö-iži-n´, sönu-iži-n´, ol-izi-n´ sönu, olnu-iži-n´ sönu (< söda 'to eat')."
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,1,"Nina Zaiceva, p.c.","Ku mina ol-nu-iži-n kodi-š süu aigou, ka mina sanu-nu-iži-n sinei;if 1SG be-ACT.PST.PTCP-COND-1SG home-INE that time, then tell-ACT.PST.PTCP-COND-1SG 2SG.ALL;If I would have been at home, I would have told you;",
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,"Nina Zaiceva, p.c.",,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility? ,0,"Nina Zaiceva, p.c.",,"Typically, the conditional mood is used. "
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility? ,0,"Nina Zaiceva, p.c.",,
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,1,"Nina Zaiceva, p.c.",sanele-b ka sanu-ga-ha;tell-3SG then tell-JUSS-3SG;[If] s/he tells then let him/her tell;,
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,0,"Nina Zaiceva, p.c.",,
