ID,Name,Courland.Livonian,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,"Viitso 2008:320, 329-330",,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Miina Norvik (p.c. 2019),,
UT003,Can finite verbs agree in number with a nominal object?,0,Viitso 2008:319-321,,
UT004,Can an adnominal property word agree with the noun in case?,1,Blokland  2025:378-379; Viitso 2008:343,UT004,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Blokland  2025:378-379; Viitso 2008:343,UT005,"If the head is in the dative or instrumental case, the modifier is in the genitive."
UT006,Can adpositions be used to mark core verbal arguments?,0,Blokland 2025: 394-396; Viitso 2008:341-342,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,?,Miina Norvik (p.c. 2019),,No examples. It is possible that genitive could be used but nominative and genitive often overlap.
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Miina Norvik (p.c. 2019),,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Blokland 2025:395-396; Viitso 2008:341-342,,
UT011,Does object marking correlate with aspectuality?,1,Blokland 2025:395,"UT011-1, UT011-2","The genitive case can be associated with perfective/bounded situations,  whereas partitive can be used for imperfective/unbounded situations."
UT012,Does object marking depend on the verb conjugation form?,1,Blokland 2025:395-396,"UT012-1, UT012-2"," The object in the imperative clauses typically appears in the genitive form, while with negation the partitive is used (however, also genitive is possible)."
UT013,Is there differential subject marking?,1,Blokland 2025:394,"UT013-1, UT013-2",
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Miina Norvik (p.c. 2019),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Miina Norvik (p.c. 2019),,
UT016,Is there grammatical marking of habituality?,0,Viitso 2008:in passim; Blokland 2025:in passim,,
UT017,Is there grammatical marking of frequentativity?,0,Jantunen 2014:24-25,,Frequentative derivation in Livonian is marginal.
UT018,Is there grammatical marking of progressivity?,0,Norvik 2015:66,,The construction 'be' + supine  form does not tend to convey an ongoing activity.
UT019,Is it common to use a verb in the present tense for future time reference?,1,Norvik 2015:11,UT019,
UT020,Is there grammatical marking of the immediate future?,0,Norvik 2015:66,,
UT021,Is there grammatical marking of the pluperfect?,1,Blokland 2025:381-382,UT021,
