ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT004,sūrsõ knaššõs nīnõs,,sūr-sõ	knašš-õs	nīn-õs,big-INE	beautiful-INE	town-INE,in a beautiful big town,
UT005,knaš neitsõn,,knaš	neits-õn,beautiful.GEN	girl-DAT,to a beautiful girl,
UT007,Vanāǟma vȯstīz kalāmī’ed kä’dst lešti,,Vanāǟma	vȯst-īz	kalāmī’e-d	kä’dst	lešti,grandmother	buy-PST.3SG	fisherman-PL.GEN	from	flatfish.PL.PRT,Grandmother bought some flatfish from the fishermen,
UT011-1,Ta mīž eņtš laps järā,,Ta	mī-ž	eņtš	laps	järā,3SG	sell-PST.3SG	own.GEN	child.GEN	away,S/he sold his/her child,
UT011-2,mī’ed bõuvõbõd su’dmaļtõ,,mī’e-d	bõuvõ-bõd	su’dmaļ-tõ,man-PL	build-3PL	mill-PRT,Men are building a mill,
UT012,"Võtā eņtš kirrõ, li tubbõ",,"Võtā	eņtš	kirrõ,	li	tubbõ",take.IMP.2SG	own.GEN	ax.GEN	go.IMP.2SG	room.ILL,Take your ax and go inside,Stalte 2011
UT013-1,sǟ’l līb ju knašīdi ǟrgidi,,sǟ’l	lī-b	ju	knašī-di	ǟrgi-di,there	will_be-3SG	PTCL	beautiful-PL.PRT	ox-PL.PRT,There will be beautiful oxen,
UT013-2,ǟrgad attõ sǟl,,ǟrga-d	attõ	sǟl,ox-PL	be.3PL	there,The oxen are there,
UT014,Siz ne võtīzt võrgõd ja rūoikizt kuod pūol,,Siz	ne	võt-īz-t	võrgõ-d	ja	rūoik-iz-t	kuod	pūol,then	3PL	take-PST-3PL	net-PL.GEN	and	run-PST-3PL	home.GEN	towards,Then they took the nets and [they] ran towards home,Stalte 2011
UT019,Ma mūpõ matkõb je’ddõpē’ḑõn,,Ma	mūpõ	matk-õb	je’ddõpē’ḑõn,1SG	tomorrow	travel-3SG	forward,Tomorrow I'll travel forward,
UT021,"ta neiz, ku se vȯļ õbdizõks sōnd",,"ta	ne-iz,	ku	se	vȯļ	õbdizõ-ks	sō-nd",3SG	see-PST.3SG	that	it	be.PST.3SG	silvery-TRA	get-ACT.PST.PTCP.SG,S/he saw that this had turn silvery,Stalte 2011
UT023,Ta iz līeda,,Ta	iz	līeda,3SG	NEG.PST.3SG	find.CNG,S/he didn't find,
UT026,ne’i ku ma vȯlks lǭtõl,,ne’i	ku	ma	vȯl-ks	lǭtõ-l,so	as	1SG	be-COND	church_service-ADE,as though I would be at a church service,Damberg 1935
