ID,Name,Estonian,Source,Example,Comment,,,,,,
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,"Miina Norvik & Helle Metslang, p.c.",,,,,,,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,"Miina Norvik & Helle Metslang, p.c.",,,,,,,,
UT003,Can finite verbs agree in number with the nominal object?,0,"Miina Norvik & Helle Metslang, p.c.",,,,,,,,
UT004,Can an adnominal property word agree with the noun in case?,1,"Miina Norvik & Helle Metslang, p.c.",vana-s maja-s,old-INE house-INE,in old houses,,,,,
UT005,Are there cases that do not show agreement in terms of case?,1,"Miina Norvik & Helle Metslang, p.c.",toreda sõbra-ta,nice friend-ABL,without a nice friend,,,,,
UT006,Can adpositions be used to mark core verbal arguments?,0,"Miina Norvik & Helle Metslang, p.c.",,,,,,,,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,"Miina Norvik & Helle Metslang, p.c.","Ta küsi-s ema käest raha;3SG ask-PST.3SG mother.GEN from money.PRT;S/he asked money from (his/her) mother;
",,,,,,,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,"Miina Norvik & Helle Metslang, p.c.",Päikese tõus-tes sõit-si-me koju,sun.GEN rise-CVB drive-PST-1PL home.ILL,When the sun had risen we drove home,,,,,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,"Miina Norvik & Helle Metslang, p.c.",,,,,,,,
UT010,Do characteristics of object referent (topicality,0,"Miina Norvik & Helle Metslang, p.c.",,,,,,,,
UT011,Does object marking correlate with aspectuality?,1,"Miina Norvik & Helle Metslang, p.c.",Anne ost-is jalgratta,Anne buy-PST.3SG bicycle.GEN,Anne bought a bicycle,|Anne ost-is jalgratas-t,Anne buy-PST.3SG  bicycle-PRT,Anne was buying a bicycle,,"The use of the partitive case is common with imperfcetive/unbounded situations, whereas the genitive occurs with perfective/bounded situations."
