ID,Name,Finnish,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Hakulinen et al. 2004: § 1267-1289,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Hakulinen et al. 2004: § 1280-1283,UT002,
UT003,Can finite verbs agree in number with a nominal object?,0,Hakulinen et al. 2004: § 1267-1289,,
UT004,Can an adnominal property word agree with the noun in case?,1,Hakulinen et al. 2004: § 1302,UT004,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,0,Hakulinen et al. 2004: § 1302,,
UT006,Can adpositions be used to mark core verbal arguments?,0,Hakulinen et al. 2004: § 689,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,"Hakulinen et al. 2004: § 539, 546",UT008,
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Hakulinen et al. 2004:in passim,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Hakulinen et al. 2004:in passim,,
UT011,Does object marking correlate with aspectuality?,1,Hakulinen et al. 2004: § 1508-1515,"UT011-1, UT011-2",
UT012,Does object marking depend on the verb conjugation form?,1,Hakulinen et al. 2004: § 932-934,"UT012-1, UT012-2",
UT013,Is there differential subject marking?,1,Hakulinen et al. 2004: § 910,"UT013-1, UT013-2",
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Hakulinen et al. 2004: § 1180,UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Hakulinen et al. 2004:in passim,,
UT016,Is there grammatical marking of habituality?,0,Hakulinen et al. 2004:in passim,,
UT017,Is there grammatical marking of frequentativity?,1,Hakulinen et al. 2004: § 353-367,"UT017-1, UT017-2",
UT018,Is there grammatical marking of progressivity?,1,Hakulinen et al. 2004: § 1519,UT018,
UT019,Is it common to use a verb in the present tense for future time reference?,1,"Hakulinen et al. 2004: § 1527, 1544",UT019,
UT020,Is there grammatical marking of the immediate future?,1,Hakulinen et al. 2004: § 1546,UT020,
UT021,Is there grammatical marking of the pluperfect?,1,"Hakulinen et al. 2004: § 1523, 1540-1541",UT021,
UT022,Can aspect be expressed overtly in the negative marker?,0,Hakulinen et al. 2004:in passim,,
UT023,Can tense be expressed overtly in the negative marker?,0,Hakulinen et al. 2004: § 108,,
UT024,Is there grammatical marking of mirativity?,0,Hakulinen et al. 2004:in passim,,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Hakulinen et al. 2004: § 1659,,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Hakulinen et al. 2004: § 1592,UT026,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Hakulinen et al. 2004: § 1594,UT027,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Hakulinen et al. 2004: § 452,,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Hakulinen et al. 2004: § 1597,UT029,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Hakulinen et al. 2004: § 1666,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Hakulinen et al. 2004: § 1666,UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Hakulinen et al. 2004:in passim,,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Hakulinen et al. 2004:in passim,,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Hakulinen et al. 2004:in passim,,
UT035,Is there a reflexive conjugation?,0,Hakulinen et al. 2004:in passim,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Hakulinen et al. 2004:in passim,,
UT039,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Hakulinen et al. 2004: § 1330,UT039,"However, it is not very common."
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,0,Hakulinen et al. 2004:in passim,,"The 3rd person form is used; in spoken language, 2Sg may also be used."
UT042,Can an infinitival verb form be used in a directive function?,0,Hakulinen et al. 2004: § 490-491,,
UT043,Can verbs in purposive subordinate clauses be bare infinitive forms?,0,Hakulinen et al. 2004: § 492-494,UT043,
UT044,Are there sentences without overt verbal arguments?,1,"Hakulinen et al. 2004: § 864, 900-901, 913",UT044,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,1,"Hakulinen et al. 2004: § 456, 891",UT045,
UT046,Is a copula commonly used for predicate nominals in the past tense?,1,"Hakulinen et al. 2004: § 456, 891",UT046,
UT047,Can locative constructions commonly occur without a copula?,0,Hakulinen et al. 2004:in passim,,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Hakulinen et al. 2004: § 1085-1110,"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,0,Hakulinen et al. 2004:in passim,,
UT050,Can standard negation be asymmetric in the present tense?,1,Hakulinen et al. 2004: § 108-109,UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Hakulinen et al. 2004:in passim,,
UT052,Is there a special negator that combines with non-finite forms?,0,"Hakulinen et al. 2004: § 293, 1627",,
UT053,Are there special negative non-finite forms?,1,"Hakulinen et al. 2004: § 122, 293","UT053-1, UT053-2",
UT054,Is there an impersonal passive construction?,1,Hakulinen et al. 2004: § 1313-1346,UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Hakulinen et al. 2004: § 521-537,"UT055-1, UT055-2",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Hakulinen et al. 2004:in passim,,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Hakulinen et al. 2004:in passim,,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",0,Hakulinen et al. 2004:in passim,,
UT059,Is there a future participle?,0,Hakulinen et al. 2004:in passim,,
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Hakulinen et al. 2004: § 1297,UT060,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,1,Hakulinen et al. 2004: § 1302,UT062,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Hakulinen et al. 2004:in passim,,
