ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT001,ʃizexuuz te pɔnʲi.daxitʃ,,ʃize-xuu-z	te	pɔnʲi.da-xitʃ,two-DU-NOM.PL.2SG	reindeer	do(IPFV).PTCP_SIM-3DU.PST,The two of them were reindeer-herders,Khanina and Shluinsky 2023:814
UT003,pɔnʲiŋaxuuz,,pɔnʲiŋa-xuu-z,use(IPFV)-SOdu-2SG>NSG,you (sg) use them (du),Khanina and Shluinsky 2023:819
UT006-1,nɔda seŋiŋa anʲi,,nɔda	seŋiŋa	anʲi,s/he.DAT	look(IPFV).3SG	and,He looks at him,Khanina and Shluinsky 2023:837
UT006-2,tʃike kamer dʲez seŋida,,tʃike	kamer	dʲez	seŋi-da,this	deceased	to	look(IPFV)-FUT.3SG,He will look at this dead person,Khanina and Shluinsky 2023:837
UT008,"ŋada, mana, nareiʃ kanʲeb, mana, mɛtojʔ mɛnʲid",,"ŋa-da, mana, nare-iʃ kanʲe-b, mana, mɛ-to-jʔ mɛ-nʲi-d",sky-OBL.SG.3SG say(pfv).3SG.S spring-TRANSL leave(pfv)-CVB.COND say(pfv).3SG.S chum-DEST.SG-NOM.SG.1SG  make(pfv)-CONJ-2SG.S,"When the weather turns into spring, make me a tent",Olesya Khanina (p.c. 2020)
UT016,ɛsejʔ tʃi periʔ baziʔubizaʃ,,ɛse-jʔ	tʃi	periʔ	baziʔ-ubi-zaʃ,father-NOM.SG.1SG	here	always	tell(IPFV)-HAB-3SG>SG.PST,My father used to tell (us) about him,Khanina and Shluinsky 2023:837
UT017,adu- : adur-,,,sit.down.(PFV) : sit.down.repeatedly.(IPFV),,Khanina and Shluinsky 2023:828
UT021,mɔtaʃ,,mɔta-ʃ,cut(PFV)-3SG.PST,he had cut,Khanina and Shluinsky 2023:823
UT023,bu ńiš kańiʔ,,bu	ńi-š	kańi-ʔ,3SG	NEG.AUX-3SG.PST	go-CN,He did not go,Siegl 2013:76
UT026,mɔtanʲi,,mɔta-nʲi,cut(PFV)-SBJV.3SG,"he would cut, let him cut",Khanina and Shluinsky 2023:824
UT027,mɔtaj ɛbuta,,mɔta-j ɛ-bu-ta,cut(PFV)-PTCP.ANT be-CVB.COND-OBL.SG.3SG,if he had cut,Khanina and Shluinsky 2023:824
UT028,mɔtatʃu,,mɔta-tʃu,cut(PFV)-DEB.3SG,he will/should cut,Khanina and Shluinsky 2023:823
UT029-1,mɔtatauʔ,,mɔta-ta-uʔ,cut(PFV)-PROB-3SG.S.CONTR,"probably, he has cut",Khanina and Shluinsky 2023:824
UT029-2,mɔtasauʔ,,mɔta-sa-uʔ,cut(PFV)-Q.3SG.CONT,"probably, he had cut",Khanina and Shluinsky 2023:824
UT030,sɔŋed,,sɔŋ-e-d,come_back-M-3SG.M.IMP,Let him come back!,Khanina and Shluinsky 2023:822
UT031,pɔnʲiŋaj,,pɔnʲiŋa-j,use(IPFV)-3SG.IMP,Let him use!,Khanina and Shluinsky 2023:822
UT032,pɔnʲiguzʔ,,pɔnʲi-gu-zʔ,use(IPFV)-HORT-1SG,Let me use!,Khanina and Shluinsky 2023:822
UT044,iblʲɛjɡuɔn mɛuruuda manʲ,,iblʲɛjɡu-ɔn mɛuruu-da-Ø manʲ,small-PROL.SG	get_dark(pfv)-FUT	-3SG.S	say,It gets dark a bit,Olesya Khanina (p.c. 2020): NI080817_DJO_083
UT056-1,toiʔ enčiʔ,,to-iʔ	enčiʔ,come-PTCP.PFT	person,a person who has arrived,Siegl 2013:330
UT056-2,pađumiʔ pađur,,pađu-miʔ	pađur,write-PTCP.PFT letter,a written letter,Siegl 2013:330
UT057,tezaʔ tɔɔjnʲiʔ sɛxɛri meɔn kanʲenʲieʔ,,tezaʔ tɔɔj-nʲiʔ sɛxɛri me-ɔn kanʲe-nʲi-eʔ,now reach(PFV).PTCP.ANT-OBL.SG.1DU road in-PROL leave(PFV)-SUBJ-1PL,Now let’s go along the road we came by,Khanina and Shluinsky 2023:844
UT059,kadaudajʔ ɔburujʔ oka nʲi ŋaʔ,,kadauda-jʔ ɔburu-jʔ oka nʲi ŋa-ʔ,take_away(PFV).PTCP.POST-NOM.SG.1SG thing-NOM.SG.1SG many NEG.3SG exist(IPFV)-CONN,The things I will take with me are not numerous,Khanina and Shluinsky 2023:845
UT066,kɔruzonʲiʔ taʔ,,kɔru-zo-nʲiʔ	ta-ʔ,knife-PRED.SG-OBL.SG.1SG give(PFV)-2SG.IMP,Give me a knife,Khanina and Shluinsky 2023:801
UT073,bunkixuń polđiŋaxiʔ,,bunki-xuń	polđi-ŋa-xiʔ,dog-PX.DU.1SG	black-FREQ-3DU,My two dogs are black,Siegl 2013:179
UT075,irud,,iru-d,under(dir)-OBL.SG.2SG,under you,Olesya Khanina (p.c. 2020)
UT076,miʔ : min : miz,,mi-ʔ	:	mi-n	:	mi-z,in-DAT	:	in-LOC	:	in-ABL,into : in : out of,Khanina and Shluinsky 2023:835
UT080,nexuʔ nʲejʔ,,nexuʔ	nʲe-jʔ,three	child-NOM.SG.1SG,my three children,Khanina and Shluinsky 2023:814
UT084,mɛtʃuz,,mɛ-tʃuz,house-CAR,without a house,Khanina and Shluinsky 2023:805
UT085,puon,,pu-on,stone-PROL.SG,along the stone,Khanina and Shluinsky 2023:802
UT086,buused kereta batʲinkiza sɛrutabi,,buuse-d	kere-ta	batʲinki-za	sɛruta-bi,old_man-DAT.SG	self-OBL.SG.3SG	boot-NOM.PL.3SG	tie(PFV)-PRF.3SG,He put his own boots on the old man’s feet,Khanina and Shluinsky 2023:838
UT087,mɛkon,,mɛ-kon,house-LOC.SG,in the house,Khanina and Shluinsky 2023:802
UT088,baduz,,badu-z,tundra-ABL,from the tundra,Khanina and Shluinsky 2023:807
UT095-1,ɔsaaʃ,,ɔsa-aʃ,meat.NOM.SG-TRANSL,as meat,Khanina and Shluinsky 2023:805
UT095-2,entʃeuʔuʃ,,entʃeuʔ-uʃ,person.NOM.PL-TRANSL,as people,Khanina and Shluinsky 2023:805
UT098,padarkazoza tɔne?,,padarka-zo-za	tɔne?,gift-DEST.SG-NOM.SG.3SG	there_is(ipfv).3SG.S,Is there a gift for him?,Khanina and Shluinsky 2023:804
UT101-1,ɛɛda ubaj koa,,ɛɛ-da	ubaj	koa,mother-OBL.SG.3SG	thimble	find(pfv).3SG.S,She found her mother’s thimble,Ovsjannikova 2020:59
UT101-2,ɛɛza anʲ  kɔdseda         tɔniebi,,ɛɛ-za	anʲ	kɔdse-da	tɔnie-bi,mother-NOM.SG.3SG	and	place_for_sleeping-NOM.SG.3SG	there_is(ipfv)-PRF.3SG.S,"And her mother had bed-curtains, after all",Ovsjannikova 2020:59
UT102,no ter keza bɔa ɛzʔ nʲiuʔ,,no	te-r	ke-za	bɔa	ɛ-zʔ	nʲi-uʔ,well	reindeer-NOM.SG.2SG	side-NOM.SG.3SG	bad	be(ipfv)-FUT.CONN	NEG-3SG.S.CONT,"But your reindeer’s body (lit. ‘side’) will be bad, after all",Ovsjannikova 2020:58
UT204-1,mɛl,,mɛ-l,house-NOM.SG.2SG,your house,Khanina and Shluinsky 2023:804
UT204-2,mɛzuz,,mɛzu-z,house-NOM.PL.2SG,your houses (PL),Khanina and Shluinsky 2023:804
UT204-3,mɛkuuz,,mɛ-kuu-z,house-DU-NOM.PL.2SG,your houses (DU),Khanina and Shluinsky 2023:804
UT104,baʔad nʲe periʔ kɔltagooza,,baʔa-d        nʲe        periʔ        kɔlta-goo-za,bed-OBL.SG.2SG	cover	always	wash-dur-3SG.O:SG,"(About a daughter in law: she can sew, her house is in order, she cooks,...) she always washes the bed sheets",Khanina and Shluinsky 2017
UT105,bizuza dʲepi,,bizu-za        dʲepi-Ø,water-NOM.SG.3SG be_hot(ipfv)-3SG.S,The water is hot,Olesya Khanina (p.c. 2020): NI_GA100713_RYBNIZ_GA_008
UT106-1,ʃee,,ʃee,,who,Khanina and Shluinsky 2023:810
UT106-2,ɔbu,,ɔbu,,what,Khanina and Shluinsky 2023:810
UT109,"nɛkujur madʲauʔ, tɛxɛ toxon dʲiri",,"nɛku-ju-r	ma-dʲa-uʔ,	tɛxɛ	to-xon	dʲiri",this-LIM-NOM.SG.2SG	say(PFV)-Q-3SG.CONT	this	lake-LOC.SG	live(IPFV).3SG,"That one, probably, said that he lives at this lake",Khanina and Shluinsky 2023:844
