ID,Name,Inari.Saami,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,"Petter Morottaja, p.c.",Muoi lohheen;1PL.1DU read.1DU;We two read;|Párnááh luuhâv;child.PL read.3DU;Two children read;,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,"Petter Morottaja, p.c.",,"The finite verbs agrees with the nominal subject. Non-agreement is possible only between plural and dual in certain sentence types, like habitual and existential."
UT003,Can finite verbs agree in number with the nominal object?,0,"Petter Morottaja, p.c.",,
UT004,Can an adnominal property word agree with the noun in case?,1,"Petter Morottaja, p.c.",táválâš tááluin ~ táválijn tááluin;regular.ATTR house.PL.LOC ~ regular.PL.LOC house.PL.LOC;in regular houses;,"Adjectives in Inari Saami don't usually agree with the nouns, instead an attributive form is used with adjectives, e.g. puáris tááluin (old.ATTR house.PL.LOC) 'in old houses'. Pronouns and numerals agree in some cases fully and in some cases partially, e.g. tain tááluin (this.PL.LOC house.PL.LOC) 'in these houses', taan táálust (this.SG.GEN house.SG.LOC) 'in this house'. Finally, there are some adjectives that either are considered to follow the same rule as the pronouns and numerals, or as a variation have the attributive form."
UT005,Are there cases that do not show agreement in terms of case?,1,"Petter Morottaja, p.c.",taan táálust;this.SG.GEN house.SG.LOC;in this house;,"The partial agreement cases in singular are the locative, illative, and abessive, in plural there is no agreement in comitative and abessive. With these cases the adnominal property word is in genitive form (in SG or PL)."
UT006,Can adpositions be used to mark core verbal arguments?,0,"Petter Morottaja, p.c.",,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,"Petter Morottaja, p.c.",Sun kuárŋui káátu oolâ;3SG climb-PST.3SG roof.GEN to;He climbed on the roof;,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,0,"Petter Morottaja, p.c.",,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,"Petter Morottaja, p.c.",,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,"Petter Morottaja, p.c.",,
UT011,Does object marking correlate with aspectuality? ,0,"Petter Morottaja, p.c.",,
UT012,Does the marking of the object depend on the verb conjugation form? ,0,"Petter Morottaja, p.c.",,
UT013,Is there differential subject marking?,0,"Petter Morottaja, p.c.",,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,"Petter Morottaja, p.c.",Máttáátteijee čooskij uáppee já kaačâi olgos;teacher hit-PST.3SG student.ACC and run-PST:3SG outside;The teacher hit the student and ran outside;,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,"Petter Morottaja, p.c.",,
UT016,Is there a grammatical device for habituality?,0,"Petter Morottaja, p.c.",,
UT017,Is there a grammatical device for frequentative?,1,"Petter Morottaja, p.c.",kaččâđ > kačâ-diđ;;to run > to run (freq.);|puáldiđ > pold-âččiđ;to burn > to burn (freq.); sierâdiđ > sierâd-âllâđ;to play > to play (freq.);,It is possible to derive frequentative verbs from other verbs with various derivative markers.
