ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT005-1,мыйй тоа̄ййв уйнлэдтэпь тэйт ка̄нҍцэгуэйм,,mɨjː tɒːjːw ujn-ɫ-ədː-əpʲ təjd kaːnʲʦʲ-eguəjm,1PL.NOM often see-FRQ-MID-PRS.1PL this.GEN.PL friend-COM.PL,We often meet these friends,Daria Chistyakova (p.c. 2024)
UT005-2,тэнн пе̄ннха мунн чуэва,,tənː pʲeːnː-xa munː ʧuəw-a,this.GEN.SG dog-ABE.SG 1SG.NOM yearn-PRS.1SG,I miss this dog,Daria Chistyakova (p.c. 2024)
UT008-1,пыдтҍ мун/мунэнҍ вуасстма па̄йт,,pɨdʲː mun/mun-ənʲ wuasːt-ma paːjt,bring 1SG.GEN/1SG-COM buy-PTCP shirt.ACC.SG,Bring the shirt I bought,Daniil Burov (p.c. 2024)
UT008-2,мунн куллтла нӣйдае ла̄ввлмуж,,munː kuɫː-t-ɫ-a nʲiːjd-a-je ɫaːwːɫ-muʒ,1SG.NOM hear-CAUS-IPFV-PRS.1SG girl-DIM-GEN.PL sing-NMLZ.ACC,I hear girls singing,Daniil Burov (p.c. 2024)
UT014,"со̄нн пӯдтӭ моа̄ст, ме̄гк я тэнн кӯдт альк поҏт",,soːnː puːdʲ-e mɒːst mʲeːgː ja tənː kudː alʲk por̥-t,3SG.NOM come‑PST.3SG back sell.PRS.1SG and this.ACC.SG six.ACC son.GEN.SG eat‑CAUS.PRS.3SG,"He went back home, sells (material), and feeds those six sons",Burov and Egorov 2023:162
UT016-1,та̄лльва пе̄ййв ре̄ельт ыдтал,,taːlʲːw-a pʲeːjːw rʲeːjelʲtʲ ɨdː-aɫ,winter-DAT.SG sun.NOM.SG rarely appear-FRQ.PRS.3SG,"In winter, the sun rarely appears",Kuruč 1985:418
UT016-2,,,tunː ɨgʲ-esʲtʲ mun kaːnʲːʦʲ poːdː-əɫ mənʲː-e tɒːjːw,that.GEN.SG year-LOC.SG 1SG.GEN friend.NOM.SG come-FRQ.PST.3SG 1SG-DAT often,Last year my friend often came to see me,Maria Kosheleva (p.c. 2024)
UT018-1,,,ujn-ax munː lʲaː lɨhk-mənʲ,see-PRS.2SG 1SG.NOM be.PRS.1SG work-PROG,"See, I'm working?",Maria Kosheleva (p.c. 2025)
UT018-2,,,munː lʲiːjː-e lɨhk-mʲenʲ laːfʲkʲ-esʲtʲ kuesʲː jɒdː-əj abʲːrʲ,1SG.NOM be.PST.1SG work-PROG shop-LOC.SG when go-PRF.PST.3SG rain.NOM.SG,I was working in the shop when it started to rain,Maria Kosheleva (p.c. 2025)
UT019-1,еле кэ̄джев тэ ке̄ пӯдӭ е̄бпшэнҍ тонн це̄ӆьк штэ Нестер пӯдӭ,,jelʲe keːʥ-aw tə kʲeː puːdʲ-e  jiːbːʃ-ənʲ tonː ʦʲeːl̥ʲkʲ ʃtə nʲesʲtʲer puːdʲ-e,if ask‑PRS.3PL PTCL who.NOM.SG come‑PST.3SG horse‑COM.SG 2SG.NOM say.IMP.SG that Nester.NOM.SG come‑PST.3SG,"If somebody will ask you who has come with the horse, you tell them that it’s Nester who has come with the horse",Burov and Egorov 2023:167
UT019-2,ton s'orano č'ir̄m porr,,ton sʲorano ʧirːm porː,2SG.ACC anyway diable.NOM.SG eat.PRS.3SG,The diable will eat you anyway,Kert 1961:64
UT020,со̄нн кырьйхэшкуадт,,soːnː kɨrʲjx-əʃkuadː,3SG.NOM write-INCH.PRS.3SG,"He’s going to write {but in the meantime, he's gone to get a pen and paper}",Maria Kosheleva (p.c. 2024)
UT021,kues's' mɨjj ruekxem m'iinn aǯ' l'aajj ujjtma,,kuəsʲː mɨjː ruəkx-əm mʲiːnː aʥ lʲaːjː ujːt-ma,when 1PL.NOM wake.up-PST.1PL 1PL.GEN father.NOM.SG be.PST.3SG leave-PTCP,"When we woke up, our father had already left",Kosheleva 2024:14
UT026-1,"кē адтҍ гэс цōвнэч пэ Тӣрьмесь кāллса, цōвнченҍ пэ тēррмас, анҍ сōнн чāррк",,kʲeː adʲː gəs ʦoːwn-əʧ pə tʲiːrʲmʲesʲ kaːɫːs-a ʦoːwn-ʧ-enʲ pə tʲerːmas anʲ soːnː ʧaːrːk,who.NOM.SG now PTCL wake.up-COND.3PL PTCL Thunder old.man-DIM.ACC.SG wake.up-COND-3PL PTCL thunder.ACC.SG let 3SG.NOM thunder.PRS.3SG,"If only someone would wake up Tirmes, Grandfather Thunder, and let him thunder",UCKSPT:Yakimovich2015_txt5_28
UT026-2,ja monn n'učsi̮лčɛ v'eлos'ip'et ɛл ja jodi̮nč'e,,ja munː ɲuʧ-s-əɫː-ʧ-e vʲeɫosʲipʲet əːɫ ja jod-ən-ʧ-e,and 1SG.NOM jump.on-MOM-PFV-1SG bicycle.GEN.SG on and go-PUNCT-COND-1SG,I would jump on my bike and ride,Kert 1971:199
UT027,"лӣһченҍ суэй, лōӈӈнэһчек.",,lʲiː-hʧ-enʲ suəj ɫoːŋːn-əhʧ-ek,be-COND-3PL wing.NOM.PL fly-COND-2SG,"If you had wings, you would fly away",UCKSPT:Mechkina2014_txt9_31
UT200,te'll nū'tt pi̮jet vē̮ǹˌse i suggev ku'le-še'lle mudda sajja,,təlʲː nuːtʲ pɨj-et wəːnːs-ə i sugː-əw kulʲlʲe-ʃɨlʲlʲ-e mudːa sajː-a,then seine.ACC.SG put-PRS.IPS boat-DAT.SG and row-PRS.3PL fish-catch-INF other place-DAT.SG,Then the seine is put into the boat and one rows to fish in another place,Bjarnson 1976:26
UT040,mokka-mokka sugax tɛs't˙ i udлi̮n'n'e poppɛlt,,mogːamogːa sug-ax təsʲtʲ əjː udɫəɲːe pɒːbːəɫt,in.zigzags row-PRS.2SG then NEG.3SG quickly hit.CNG,"When one swims in zigzags, it's hard to hit",Kert 1961:32
UT201,цоар ланҍ муррьтэ!,,ʦɒːr ɫanʲː murʲːtʲ-e,tsar.GEN.SG city.ACC.SG ruine-INF,Ruine tsar's city!,UCKSPT:Yakimovich2015_txt10_126
UT043,,,sʲiːn-ətʲ pugː goːnː-əʃ ʃɨlʲː-e pajː jɒːwʲrʲ-etʲ,3PL-ACC all drive-PST.IPS catch-INF upper lake-DAT.PL,They were all driven to fish in the upper lakes,Ilya Egorov (p.c. 2024)
UT044,кӯдӭнҍ ля̄йй кэлмас,,kuːdʲ-enʲ lʲaːjː kəɫm-as,hut-LOC.PL be.PST.3PL cold-PRED,It was cold in the huts,UCKSPT:YuryevYuryeva2017_txt1_14
UT045-1,мун аджь лӣ кӯль шыллей,,mun aʥ lʲiː kuːlʲ ʃɨlʲː-ej,1SG.GEN father.NOM.SG be.PRS.3SG fish.GEN.SG catch-AG,My father is a fisherman,UCKSPT:Yakimovich2015_txt15_35
UT045-2,со̄нн лӣ ва̄птэгк,,soːnː lʲiː vaːptəgː,3SG.NOM be.PRS.3SG rich,He is rich,Burov and Egorov 2023:169
UT202,puarsamus al'l'k’ l'ai čeh'p' sirrɛ garmon'an˙,,puarːs-amusː alʲːkʲ lʲaːjː ʧeːhʲpʲ sʲiːrː-ə garmonʲa-nʲ,old-SUP son.NOM.SG be.PST.3SG master.NOM.SG play-INF accordion-COM.SG,The eldest son was a master of playing the accordion,Kert 1961:162
UT048-1,,,waːjwaʃ oːɫːm-əsʲtʲ lʲiːjː-enʲ koːɫːm alʲkʲ ja nʲiːjːt,poor man-LOC.SG be-PST.3PL three son.GEN.SG and daughter.NOM.SG,The poor man had three sons and a daughter,Ilya Egorov (p.c. 2024)
UT048-2,n˙uvvɛn˙ ja koošktɛn˙,,ɲuwː-ənʲ ja koːʃk-t-ənʲ,skin-PST.3PL and dry-CAUS-PST.3PL,The skin was removed and dried,Kert 1961:162
UT048-3,"cōнн воāнҍцэ, воāнҍцэ, я рыбп гӯ лōӈӈнэв, я пӯдзэ пырр сōн каррэв",,soːnː wɒːnʲʦʲ-e wɒːnʲʦʲ-e ja rɨpː kuː ɫoːŋːn-əw ja puːʣ-ə pɨrː soːn karː-əw,3SS.NOM go‑PST.3SG go‑PST.3SG and partridge.NOM.PL how take_off-PRS.3PL and reindeer‑NOM.PL around 3Sg.GEN run‑PRS.3PL,"She had been on her way for a while, and then partridges  fluttered, her reindeer started running",Burov and Egorov 2023:184
UT050-1,мунн по̄ра,,munː poːr-a,1SG.NOM eat-PRS.1SG,I eat,Ilya Egorov (p.c. 2024)
UT050-2,мунн эмм по̄р,,munː əmː poːr,1SG.NOM NEG.1SG eat-CNG,I don't eat,Ilya Egorov (p.c. 2024)
