ID,Name,Value,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,F. Gulyás Nikolett (p.c. 2020),,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Gribanov 1940:18,UT002,"In a special case, when the subject in singular is semantically in plural."
UT003,Can finite verbs agree in number with a nominal object?,0,F. Gulyás Nikolett (p.c. 2020),,
UT004,Can an adnominal property word agree with the noun in case?,1,Tsypanov 1999:84,UT004,Agreement occurs in some cases.
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Lytkin 1962:212-213,UT005,
UT006,Can adpositions be used to mark core verbal arguments?,0,F. Gulyás Nikolett (p.c. 2020),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Lytkin 1962:280-283,UT008,
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Lytkin 1962:in passim,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",1,Bartens 2000:332; Lytkin 1962:186-187,"UT010-1, UT010-2",Object marking depends on the animateness and definiteness.
UT011,Does object marking correlate with aspectuality?,0,Lytkin 1962:in passim,,
UT012,Does object marking depend on the verb conjugation form?,0,Lytkin 1962:in passim,,
UT013,Is there differential subject marking?,1,F. Gulyás Nikolett (p.c. 2020),"UT013-1, UT013-2",In addition to nominative also partitive can be used to mark the subject.
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,F. Gulyás Nikolett (p.c. 2020),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,F. Gulyás Nikolett (p.c. 2020),,
UT016,Is there grammatical marking of habituality?,1,Lytkin 1962:258,UT016,Derivative suffix -ovlyny.
UT017,Is there grammatical marking of frequentativity?,1,Lytkin 1962:258,UT017,
UT018,Is there grammatical marking of progressivity?,1,F. Gulyás Nikolett (p.c. 2020),UT018,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Lytkin 1962:251,UT019,There are future markers in the 3rd person only.
