ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT002,Челядь сьылöны,t͡ɕeʎɑɟ ɕɨlɘnɨ,t͡ɕeʎɑɟ	ɕɨl-ɘnɨ,children	sing-PRS.3PL,Children are singing,Nikolay Kuznetsov (p.c. 2020)
UT005-1,бур ёрттöг,bur jorttɘg,bur jort-tɘg,good friend-ABE,without a good friend,Nikolay Kuznetsov (p.c. 2020)
UT005-2,бур ёрткöд,bur jortkɘd,bur jort-kɘd,good friend-COM,with a good friend,Nikolay Kuznetsov (p.c. 2020)
UT008,Ольга аддзис Анналысь котöртöмсö да пыр жö мунiс бöрсяньыс,Oʎgɑ	ɑd͡d͡ʑis		Annɑlɨɕ	kotɘrtɘmsɘ 		dɑ	pɨr ʒɘ	munis			bɘrɕɑɲɨs,Oʎgɑ	ɑd͡d͡ʑ-is		Annɑ-lɨɕ	kotɘrt-ɘm-sɘ 		dɑ	pɨr ʒɘ	mun-is			bɘr-ɕɑɲ-ɨs,Olga see-PST.3SG Anna-ABL run-NMLZ-ACC.3SG and at.once also go-PST.3SG after-EGR-3SG,Olga saw that/how Anna ran off and went after her immediately,Nikolay Kuznetsov (p.c. 2020)
UT010-1,Ме аддзa кaньöс,me ɑd͡d͡ʑɑ kɑɲɘs,me	ɑd͡d͡ʑ-ɑ	kɑɲ-ɘs,1SG	see-PRS.1SG	cat-ACC,I see a cat,Nikolay Kuznetsov (p.c. 2020)
UT010-2,Ме аддза керка,me ɑd͡d͡ʑɑ kerkɑ,me	ɑd͡d͡ʑ-ɑ	kerkɑ,1SG	see-PRS.1SG	house[ACC],I see a house,Nikolay Kuznetsov (p.c. 2020)
UT013-1,пызан вылын нянь,pɨzɑn vɨlɨn ɲɑɲ,pɨzɑn	vɨlɨn	ɲɑɲ,table	on	bread,There is some bread on the table,Nikolay Kuznetsov (p.c. 2020)
UT013-2,няньыс пызан вылын,ɲɑɲɨs pɨzɑn vɨlɨn,ɲɑɲ-ɨs	pɨzɑn	vɨlɨn,bread-POSS.3SG	table	on,The bread is on the table,Nikolay Kuznetsov (p.c. 2020)
UT014,Зон окыштiс нылöc и пышйис,Zon okɨʃtis nɨlɘs i pɨʃjis,Zon	okɨʃt-is	nɨl-ɘs	i	pɨʃj-is,boy	kiss-PST.3SG	girl-ACC	and	run-PST.3SG,The boy kissed the girl and ran away,Nikolay Kuznetsov (p.c. 2020)
UT016,Сиктын олiгöн ме ветлывлi вöрö,ɕiktɨn oligɘn me vetlɨvli vɘrɘ,ɕikt-ɨn	ol-igɘn	me	vetlɨ-vl-i	vɘr-ɘ,country-INE	live-CVB	1SG	go.and.come.back-FRQ-PST.1SG	forest-ILL,When I lived in the country I used to go to the forest,Nikolay Kuznetsov (p.c. 2020)
