ID,Name,Meadow.Mari,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Riese et al. 2019:198,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Riese et al. 2019:57,UT002,"“On occasion, a grammatically singular noun that refers to a group of sorts (e.g., калык [kɑlək] ‘people’, кӱтӱ [kyty] ‘herd’, еш [jeʃ] ‘family’), or pair nouns/collective nouns [...], co-occur with plural forms of verbs. In these cases, singular verbal forms are however also possible, and recommended by prescriptive grammarians.”"
UT003,Can finite verbs agree in number with a nominal object?,0,Jeremy Bradley (p.c. 2020),,
UT004,Can an adnominal property word agree with the noun in case?,0,Riese et al. 2019:97,,There is no case agreement within noun phrases at all.
UT005,Is there non-agreement between an adnominal property word and the head noun? ,0,Riese et al. 2019:97,,There is no case agreement within noun phrases at all.
UT006,Can adpositions be used to mark core verbal arguments?,0,Jeremy Bradley (p.c. 2020),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Riese et al. 2019:254,UT008,"“The gerunds in -мек(е) [-mek(e)] and -меш(ке) [-meʃ(ke)] take possessive suffixes; their agent, which can (but does not have to) differ from the agent of the superordinate (often finite) verb, can be marked by a preceding pronoun or noun. If the agent of the gerundial action is a noun, it can be in the nominative or the genitive. Inanimate nouns generally occur in the nominative, while animate nouns occur in either the nominative or genitive. When used with a genitive form, the gerund usually has a possessive suffix third person.” (Riese et al. 2019:254) The same applies to participles (EG 261, 265, 266); the picture is more complicated with postpositions (Riese et al. 2019:160) where the government depends on the individual postposition."
UT009,Can non-finite clauses use a special means for core argument (P) marking?,1,Riese et al. 2019:70,"UT009-1, UT009-2",
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Jeremy Bradley (p.c. 2020),,Differential object marking can be attested only in non-finite clauses (Riese et al. 2019:70).
UT011,Does object marking correlate with aspectuality?,0,Riese et al. 2019:70,,
UT012,Does object marking depend on the verb conjugation form?,0,Jeremy Bradley (p.c. 2020),,
UT013,Is there differential subject marking?,0,Jeremy Bradley (p.c. 2020),,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Meadow Mari corpus,UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Jeremy Bradley (p.c. 2020),,
UT016,Is there grammatical marking of habituality?,1,"Riese et al. 2019:222-228, 286, 292","UT016-1, UT016-2","Compound past tenses I & II (formed by present-tense form followed by ‘to be’ in the third person singular, either in simple past I or II) are habitual (the distinction between them is evidential). Also, aspectual auxiliaries (light verbs) илаш ‘to live’ and шогалаш ‘to stand up’ can be coupled with a converb and give the resulting pairing a habitual value."
UT017,Is there grammatical marking of frequentativity?,1,"Riese et al. 2019:389-390, 290","UT017-1, UT017-2","Numerous defivational suffixes, descending by their productivity: v-л [-l]: лӱмдаш [lymdɑʃ] ‘to name’ → лӱмдылаш [lymdəlɑʃ] ‘to call names’, -ешт [-eʃt]: колаш [kolɑʃ] ‘to hear’ → колышташ [koləʃtɑʃ] ‘to listen’, -кал [-kɑl]: ойыраш [ojərɑʃ] ‘to separate’ → ойыркалаш [ojərkɑlɑʃ] ‘to sort’, -ед [-ed]: пуаш [puɑʃ] ‘to give’ → пуэдаш [puedɑʃ] ‘to hand out’. Also auxiliary опташ ‘to place (several items)’."
UT018,Is there grammatical marking of progressivity?,1,Riese et al. 2019:286,UT018,Aspectual auxiliary (light verb) илаш [ilɑʃ] ‘to live’ is used.
UT019,Is it common to use a verb in the present tense for future time reference?,1,Riese et al. 2019:205-208,UT019,"Especially in combination with atelic verbs or verbal pairings, the verb тӱҥалаш [tyŋɑlɑʃ] ‘to begin’ is used as a future auxiliary."
UT020,Is there grammatical marking of the immediate future?,0,Riese et al. 2019:214,,"Simple past tense 1 forms can, in a structure presumably borrowed from Russian, be used to denote something that is about to happen in the immediate future."
UT021,Is there grammatical marking of the pluperfect?,1,"Riese et al. 2019:272-273, 228-233","UT021-1, UT021-2","The usual way of expressing this is using the converb of prior action. Also simple past III & IV (distinction between them is evidential), formed by a simple past II form followed by a past-tense form (simple past I and II respectively) of the verb ‘to be’ in the third person singular, are “used to denote an action in the past that preceded another action, or was interrupted by it”."
UT022,Can aspect be expressed overtly in the negative marker?,0,Jeremy Bradley (p.c. 2020),,
UT023,Can tense be expressed overtly in the negative marker?,1,Riese et al. 2019:278-279,"UT023-1, UT023-2",
UT024,Is there grammatical marking of mirativity?,0,Riese et al. 2019:334-337,,"The particle улмаш [ulmɑʃ] (‘to be’ in simple past II, 3SG) is placed after verbs in sentences in order to “to imply an uncertainty of sorts, or an inference, and in some cases also that an event was unexpected and surprising”, e.g. паша-ште лий-м-ем годым тудо мал-а улмаш [pɑʃɑ-ʃte lij-m-em godəm tudo mɑl-ɑ ulmɑʃ] (work-INE be(come)-PTCP.PASS-PX1SG when 3SG sleep-3SG be.PST2.3SG) 'While I was at work, it turned out s/he was sleeping'. However, there is no grammatical disctinction between evidential and mirative form."
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,1,Riese et al. 2019:242-250,UT025,
UT026,Is there morphological marking on the verb dedicated to irrealis?,0,Riese et al. 2019:199,,Only periphrastic forms are used.
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,0,Riese et al. 2019:199,,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,1,"Riese et al. 2019:257-259, 263-265","UT028-1, UT028-2","There is a necessitive infinitive with the ending -мыла/-мӹлӓ [-məlɑ/-mə̈læ], and the future-necessitive participle in -шашлык/-шӓшлык [-ʃɑʃlək/-ʃæʃlək]."
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Riese et al. 2019:263-265,UT029,"The future-necessitive participle in -шаш [-ʃɑʃ], which prototypically denotes necessity, can in some cases be used in this function."
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Jeremy Bradley (p.c. 2020),,"There is, however, a suffix -ан [-ɑn] that can be attached to participles (Riese et al. 2019:253) to indicate that they denote possible states rather than real states, e.g. почмо [pot͡ɕmo] 'opened', почман [pot͡ɕmɑn] 'openable'."
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Riese et al. 2019:235-242,UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Jeremy Bradley (p.c. 2020),,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Jeremy Bradley (p.c. 2020),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Jeremy Bradley (p.c. 2020),,
UT035,Is there a reflexive conjugation?,0,Riese et al. 2019:391-392,,Realized by a highly productive derivational suffix.
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Jeremy Bradley (p.c. 2020),,
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Riese et al. 2017:53,UT200,Probably Russian influence.
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Riese et al. 2019:434,UT040,
UT201,Can an infinitival verb form be used in a directive function?,1,Krasnova et al. 2017:150-151,UT201,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Riese et al. 2019:255,UT043,
UT044,Are there sentences without overt verbal arguments?,1,Riese et al. 2014:кылмыкташ,UT044,"This typically happens in Mari (only) with causative verb forms. The verbs meaning ‘rain’, ‘snow’ , and ‘blow’ (wind) require a subject."
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Riese et al. 2019:295-296,,"Copula is not needed, e.g. тудо пиалан [tudo piɑlɑn] (3SG happy) 's/he is happy'; it is, however, possible to use  one."
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Riese et al. 2019:296-301,UT202,
UT047,Can locative constructions commonly occur without a copula?,1,Riese et al. 2019:305,UT047,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Riese et al. 2017:103,"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,1,"Riese et al. 2019:296, 303","UT049-1, UT049-2",
UT050,Can standard negation be asymmetric in the present tense?,1,Riese et al. 2019:203,"UT050-1, UT050-2",
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Jeremy Bradley (p.c. 2020),,
UT052,Is there a special negator that combines with non-finite forms?,1,"Riese et al. 2019:251, 379-381","UT052-1, UT052-2",The element -ды- [-də- ~ -tə-] is contained in numerous non-finite forms.
UT053,Are there special negative non-finite forms?,1,"Riese et al. 2019:251, 379-381","UT053-1, UT053-2, UT053-3",
UT054,Is there an impersonal passive construction?,0,Riese et al. 2019:391-392,,Realized by a highly productive derivational suffix.
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Riese et al. 2019:251,"UT055-1, UT055-2",
