ID,Name,Moksha,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT003,Can finite verbs agree in number with the nominal object?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT003-1, UT003-2",
UT004,Can an adnominal property word agree with the noun in case?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT005,Are there cases that do not show agreement in terms of case?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT005,In attributive clauses the modifyer has no case/number marker.
UT006,Can adpositions be used to mark core verbal arguments?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT006,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT007,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT008,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT009,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT011,Does object marking correlate with aspectuality?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT012,Does the marking of the object depend on the verb conjugation form?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT013,Is there differential subject marking?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT013-1, UT013-2",The subject is in the dative in necessive constructions.
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT016,Is there a grammatical device for habituality?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT016,PST2 expresses habituality.
UT017,Is there a grammatical device for frequentative?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT017,
UT018,Is there a grammatical device for progressivity?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT018,"In addition to expressing repeated events, PST2 can also express events that were continuing in the past."
UT019,Is it common to use a verb in the present tense for future time reference?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT019,The forms of present cover both present and future time reference.
UT020,Is there a grammatical device for immediate future?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT021,Is there a grammatical device for pluperfect?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT022,Can aspect be expressed overtly on the negative marker?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT022-1, UT022-2","Aspectual oppositions can be expressed with the objective vs. subjective conjugation. In the past tense, the negative marker takes person marking, and the two conjugation types are differentiated in the negative marker."
UT023,Can tense be expressed overtly on the negative marker?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT023-1, UT023-2",
UT024,Is there grammatical marking of mirativity?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT025,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT026,
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT027,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT028,The infinitive-participle -ma can mark necessity. The subject has to be in the dative case in this construction.
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT030,"The passive/reflexive marker v is used to express capability, possibility, passive voice (depending on a context)."
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT031-1, UT031-2",
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT032,
