ID,Name,North.Karelian,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Olga Melentjeva (p.c. 2019),,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Olga Melentjeva (p.c. 2019),,
UT003,Can finite verbs agree in number with a nominal object?,0,Olga Melentjeva (p.c. 2019),,
UT004,Can an adnominal property word agree with the noun in case?,1,Olga Melentjeva (p.c. 2019),UT004,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,0,Olga Melentjeva (p.c. 2019),,The adnominal property word agrees with the head noun in all cases.
UT006,Can adpositions be used to mark core verbal arguments?,0,Olga Melentjeva (p.c. 2019),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Olga Melentjeva (p.c. 2019),UT008,
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Olga Melentjeva (p.c. 2019),,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Olga Melentjeva (p.c. 2019),,
UT011,Does object marking correlate with aspectuality?,1,Olga Melentjeva (p.c. 2019),"UT011-1, UT011-2",
UT012,Does object marking depend on the verb conjugation form?,1,Olga Melentjeva (p.c. 2019),"UT012-1, UT012-2",
UT013,Is there differential subject marking?,1,Olga Melentjeva (p.c. 2019),"UT013-1, UT013-2",
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Olga Melentjeva (p.c. 2019),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Olga Melentjeva (p.c. 2019),,
UT016,Is there grammatical marking of habituality?,0,Olga Melentjeva (p.c. 2019),,
UT017,Is there grammatical marking of frequentativity?,1,Zaikov 2013:211,UT017,
UT018,Is there grammatical marking of progressivity?,1,Olga Melentjeva (p.c. 2019),"UT018-1, UT018-2",
UT019,Is it common to use a verb in the present tense for future time reference?,1,Olga Melentjeva (p.c. 2019),UT019,
UT020,Is there grammatical marking of the immediate future?,1,Olga Melentjeva (p.c. 2019),UT020,
UT021,Is there grammatical marking of the pluperfect?,1,Olga Melentjeva (p.c. 2019),UT021,
UT022,Can aspect be expressed overtly in the negative marker?,0,Olga Melentjeva (p.c. 2019),,
UT023,Can tense be expressed overtly in the negative marker?,0,Olga Melentjeva (p.c. 2019),,The negation is formed using a negative particle.
UT024,Is there grammatical marking of mirativity?,0,Olga Melentjeva (p.c. 2019),,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Olga Melentjeva (p.c. 2019),,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Olga Melentjeva (p.c. 2019),UT026,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Olga Melentjeva (p.c. 2019),UT027,
