ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT004,kaunehešša kotišša,,kaunehe-šša	koti-šša,beautiful-INE	house-INE,in a beautiful house,
UT008,Läksimä meččäh päivän nouššešša,,Läksi-mä	meččä-h	päivä-n	noušše-šša,go.PST-1PL forest-ILL sun-GEN rise-CVB,We went to the forest when the sun came up,
UT011-1,Oššan kirjan,,Ošša-n	kirja-n,buy-1SG	book-GEN,I will buy a book,
UT011-2,Oššan kirjua,,Ošša-n	kirju-a,buy-1SG	book-PRT,I am buying a book,
UT012-1,Ota kirja!,,Ota	kirja!,read.IMP.2SG	book.NOM,Take the book!,
UT012-2,Elä ota kirjua!,,Elä	ota	kirju-a!,NEG.IMP.2SG	take.IMP	book-PRT,Don't take the book!,
UT013-1,Štolalla on leipyä,,Štola-lla	on	leipy-ä,table-ADE	be.3SG	bread-PRT,There is some bread on the table,
UT013-2,Štolalla on leipä,,Štola-lla	on	leipä,table-ADE	be.3SG	bread.NOM,There is a bread on the table,
UT014,Poika näki kontien da juokši poiš,,Poika	näk-i	kontie-n	da	juokš-i	poiš,boy	see-PST.3SG	bear-GEN	and	run-PST.3SG	away,The boy saw the bear and ran away,
UT017,juokšen > juokšentelen,,juokše-n	>	juokše-ntele-n,run-1SG	>	run-FRQ-1SG,I run > I run around,
UT018-1,Mie olen nyt kirjoittamašša,,Mie	ole-n	nyt	kirjoitta-ma-šša,1SG be-1SG now write-INF2-INE,I am now writing (sth),
UT018-2,Olen ostamašša kirjua,,Ole-n	osta-ma-šša	kirju-a,be-1SG buy-INF2-INE book-PRT,I am buying a book,
UT019,Oššan kirjan,,Ošša-n	kirja-n,buy-1SG	book-GEN,I'll buy a book,
UT020,Olen lähtömäššä,,Ole-n	lähtö-mä-ššä,be-1SG go-INF2-INE,I am about to leave,
UT021,Hiän oli jo männyt muata,,Hiän	ol-i	jo	män-nyt	muata,3SG be-PST.3SG already go-ACT.PST.PTCP sleep.INF1,S/he had already now gone to bed,
UT026,Söisin leivän,,Sö-isi-n	leivä-n,eat-COND-1SG	bread-GEN,I would eat the bread,
