ID,Name,North.Mansi,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Riese 2001:63,UT001,Finite verbs agree in number and person with the subject.
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Riese 2001:64,UT002,
UT003,Can finite verbs agree in number with a nominal object?,1,Riese 2001:39,UT019,"The verb not only indicates that the object is determinate but also encodes the number of the object (SG, PL, DU)."
UT004,Can an adnominal property word agree with the noun in case?,0,Riese 2001:29,,Attributive adjectives are not inflected for case or number.
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Riese 2001:29,,Attributive adjectives are not inflected for case or number.
UT006,Can adpositions be used to mark core verbal arguments?,0,Riese 2001:33-36,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,0,Bakró-Nagy et al. 2022:542-542; Riese 2001:25-26,,
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Bakró-Nagy et al. 2022:542-542; Riese 2001:25-26,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Bakró-Nagy et al. 2022:542-542; Riese 2001:25-26,,
UT011,Does object marking correlate with aspectuality?,0,Bakró-Nagy et al. 2022:542-542; Riese 2001:25-26,,
UT012,Does object marking depend on the verb conjugation form?,0,Bakró-Nagy et al. 2022:542-542; Riese 2001:25-26,,
UT013,Is there differential subject marking?,0,Bakró-Nagy et al. 2022:542-542; Riese 2001:25-26,,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020) ",UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020) ",,
UT016,Is there grammatical marking of habituality?,1,Bakró-Nagy et al. 2022:553,UT016,See also UT017.
UT017,Is there grammatical marking of frequentativity?,1,Bakró-Nagy et al. 2022:553,UT017,See also UT016.
UT018,Is there grammatical marking of progressivity?,0,Bakró-Nagy et al. 2022:in passim,,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Riese 2001:45,UT019,"There is no separate future tense in Mansi, the present tense may also get future interpretation in a proper context."
UT020,Is there grammatical marking of the immediate future?,0,Bakró-Nagy et al. 2022:in passim,,The respective meaning is usually conveyed by the verb in the present tense form + context.
UT021,Is there grammatical marking of the pluperfect?,0,Bakró-Nagy et al. 2022:in passim,,
UT022,Can aspect be expressed overtly in the negative marker?,0,Bakró-Nagy et al. 2022:553-554,,
UT023,Can tense be expressed overtly in the negative marker?,0,Bakró-Nagy et al. 2022:553-554,,Tense is marked on the lexical verb.
UT024,Is there grammatical marking of mirativity?,1,Nikolaeva 1999; Skribnik 2005,UT024,"In Northern Mansi, mirative forms have evolved through desubordination, thus, there is reason to regard mirativity as a separate category. The category of evidentiality and, accordingly mirativity, has different origins in Khanty dialects."
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Riese and Bradley 2020:112,,"For the 1st person the particle wos ~ os with indicative present may be used. However, -nuw, conventionally labelled as a conditional marker, is also used as an optative marker, e.g., jomas jurt wēk χōnt-nuw-əm [good friend only find-COND-1SG] 'If only I found a good friend / I would want to find a good friend'."
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Riese 2001:48; Bakró-Nagy et al. 2022:549,UT026,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,0,Riese 2001:48,,"The 'if'-clause does not contain conditional marker (see Riese 2001:48), e.g., at ke jursʲ-al-as-lən manar-e al-nuw-uw [NEG if team_up-MOM-PST-SG<2SG what-SG<3SG kill-COND-1PL] ’If you wouldn't have taken me as a companion, what would have we hunted?’ (OUBD 1235:231)."
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Bakró-Nagy et al. 2022:546-549,,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Bakró-Nagy et al. 2022:546-549,,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Bakró-Nagy et al. 2022:546-549,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",0,Riese 2001:47; Bakró-Nagy et al. 2022:548,,The volitional particle wos(s) 'let' + indicative non-past form can be used.
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Riese 2001:47; Bakró-Nagy et al. 2022:548,,The volitional particle wos(s) 'let' + indicative non-past form can be used.
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Csilla Horváth (p.c. 2020),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Bakró-Nagy et al. 2022:546-549,,
UT035,Is there a reflexive conjugation?,0,Bakró-Nagy et al. 2022:in passim,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Bakró-Nagy et al. 2022:546-549,,"There is syncretism between 2SG ~ 2DU ~ 2PL possessive suffixes, e.g., śōpit-as-aγən repair-PST-DU<2SG ~ repair-PST-DU<2DU ~ repair-PST-DU<2PL."
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,0,Bakró-Nagy et al. 2022:546-560,,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,0,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020)",,
UT201,Can an infinitival verb form be used in a directive function?,?,Skribnik 1995,,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Bakró-Nagy et al. 2022:551,UT043,
UT044,Are there sentences without overt verbal arguments?,1,Rombandeeva 1984:114; Bakró-Nagy et al. 2022:556,"UT044-1, UT044-2",
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Bakró-Nagy et al. 2022:554,,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Bakró-Nagy et al. 2022:554,UT202,
UT047,Can locative constructions commonly occur without a copula?,1,Skribnik and Afanasyeva 2007:I:76,UT047,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",0,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020)",,"There are no original coordination conjunctions in Mansi; NPs have their own coordinating strategies (e.g., dual or plural forms or the particle os 'also'); VPs and clauses are connected through juxtaposition or bridging linkage (based on non-finite clause combining). Recently the Russian i 'and' is borrowed - and the functions of os 'also' are extended to clauses."
UT049,Does existential negation have a special negator?,1,Bakró-Nagy et al. 2022:553,UT049,There is a separate element for existential negation – āt'im.
UT050,Can standard negation be asymmetric in the present tense?,0,Bakró-Nagy et al. 2022:553,,Negation is symmetric.
UT051,Can non-finite dependent clauses use the standard negation construction?,1,OUDB 750:78,UT051,
UT052,Is there a special negator that combines with non-finite forms?,0,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020)",,
UT053,Are there special negative non-finite forms?,1,Riese 2001:69,UT053,The suffix -tāl ~ -tal is used to make privative adjectives from nouns and privative participles from verbs.
UT054,Is there an impersonal passive construction?,1,Bakró-Nagy et al. 2022:556; Riese 2001:50,UT054,"Intransitive verbs, including meteorological, can take passive voice marking."
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Riese and Bradley 2020:126,UT055,"The past and present participles are not specialized, but there is a past passive participle relativizing direct objects/patient only."
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,Skribnik and Kovgan 1991,,The past and present participles can relativize all core and some non-core participants.
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Bakró-Nagy et al. 2022:551,,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Riese and Bradley 2020:135,UT058,The suffix -tāl ~ -tal is not transparent from a syncronous perspective.
UT059,Is there a future participle?,0,Csilla Horváth (p.c. 2020),,"However, the present participle is actually a non-past participle, referring both to the present and the future."
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Bakró-Nagy et al. 2022:551,UT060,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020) ",,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,1,Riese and Bradley 2020:160,UT063,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,0,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020) ",,Agentive nominalizations use lexical nominalizers like xum 'person' with a participle.
UT065,Are there non-finite forms that can be used both as participles and converbs?,1,Bakró-Nagy et al. 2022:546,"UT065-1, UT065-2, UT065-3",
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Jeremy Bradley and Elena Skribnik (p.c. 2020),UT066,"Same word order as in declarative clauses - OV - unless it appears in emphatic construction, esp. in newer Russian-influenced texts (due to the focus position in Russian being in the sentence-final position)."
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Jeremy Bradley and Elena Skribnik (p.c. 2020),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,1,Riese and Bradley 2020:120,UT070,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,"Riese and Bradley 2020:90, 124",UT071-1. UT071-2,"As there is no genitive in Mansi, the nominative is used (i.e. zero marking) for both  possessors and subjects of non-finite forms; but personal marking is with possessive suffixes."
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Jeremy Bradley and Elena Skribnik (p.c. 2020) ,,"The nominative is the only option for nouns; for pronouns there are oblique forms (traditionally called accusative, though the classification is problematic)."
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Riese 2001:63,UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Riese 2001:54,,
UT075,Can adpositions have person/number marking?,1,Riese 2001:36,UT075,
UT076,Are there adpositions that show a tripartite system?,1,Riese 2001:34; Riese and Bradley 2020:69,UT076,"There are, however, also adpositions which do not make such a distinction."
UT077,Is there case compounding?,0,Bakró-Nagy et al. 2022:542-543,,
UT078,Are there morphological cases only used with pronouns?,1,Riese 2001:30; Riese and Bradley 2020:102,,"Oblique forms (traditionally called accusative, though the classification is problematic), e.g., ānəm 'me', tawe 'him/her'; originally they are pronouns with possessive  markers of the same person; they can take other case  markers, e.g., ānəm-nəl (1SG.OBL-ABL) 'from me'."
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Riese 2001:63,,The nominative case is used.
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Riese 2001:63; Riese and Bradley 2020:85,UT080,The numeral kit 'two' can be followed by singular or dual. Plural is not used with numerals.
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Riese 2001:24-26; Bakró-Nagy et al. 2022:542-543,,See UT086.
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Riese 2001:24-26; Bakró-Nagy et al. 2022:542-543,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,0,Riese 2001:24-26; Bakró-Nagy et al. 2022:542-543,,"However, there is a suffix -tal ~ -tāl traditionally classified as a privative derivational suffix (when used denominally) and the negative participle when used deverbally. But!
Denominal forms can also be used as indirect objects, e.g. neː-taːl χos oːl-əs (woman-PRIV long live-PST.3SG)
'(he) lived without a wife for a long time' (OUDB > northern mansi > 1239: 4). Thus one could in theory call this a case suffix too."
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Riese 2001:24-26; Bakró-Nagy et al. 2022:542-543,,
UT086,Is there a locative case that expresses goal?,1,Bakró-Nagy et al. 2022:542-543,UT086,"The dative (traditionally called lative) has two basic functions: 1) indirect object, 2) goal of a movement."
UT087,Is there a locative case that expresses location?,1,Riese 2001:24-26; Bakró-Nagy et al. 2022:542-543,UT087,
UT088,Is there a locative case that expresses source?,1,Riese 2001:24-26; Bakró-Nagy et al. 2022:542-543,UT088,
UT089,Is there case syncretism for goal and location marking?,0,Riese 2001:24-26; Bakró-Nagy et al. 2022:542,,
UT090,Is there case syncretism for location and source marking?,0,Riese 2001:24-26; Bakró-Nagy et al. 2022:542,,
UT091,Are there two sets of local cases?,0,Riese 2001:24-27,,
UT092,Are there three or more sets of local cases?,0,Riese 2001:24-26,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,"Riese 2001:24-26; Riese and Bradley 2020:59, 67","UT093-1, UT093-2",Additionally there is a comitative postposition used both with animate nouns and personal pronouns.
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Riese 2001:26; Bakró-Nagy et al. 2022:542-543,,A postpositional construction is used.
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Riese 2001:26; Bakró-Nagy et al. 2022:542-543,"UT095-1, UT095-2",The respective case (called the translative) has both functions.
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Riese 2001:26; Bakró-Nagy et al. 2022:542-543,,
UT097,Is there a dedicated case that expresses equativity?,0,Riese 2001:24-26,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Riese 2001:24-26; Bakró-Nagy et al. 2022:543,,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Riese 2001:22,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,1,Riese 2001:23; Bakró-Nagy et al. 2022:542,UT100,Cf. sam-pal 'one eye' (lit. half an eye). With possessive marking the dual appears: sam-aγ-e 'his (two) eyes'.
UT101,Can the marking of the possessor in the attributive construction vary?,0,Riese 2001:64-65,,The possessor is always unmarked.
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Riese 2001:25; Bakró-Nagy et al. 2022:543,UT102,
UT204,Are singular and plural possessee distinguished in the possessive declension? ,1,Riese 2001:26-28; Bakró-Nagy et al. 2022:543-544,"UT204-1, UT204-2, UT204-3",Possessive suffixes mark number of the possessee and for the number and person of the possessor; in some suffix variants these markers are fused.
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,"Riese and Bradley 2020:90, 124",,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,Riese 2001:64,UT105,"Whether the possessive suffix indicates possession or definiteness, becomes clear from the context."
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Bakró-Nagy et al. 2022:545,,"The distinction is humans vs. non-humans, xoːŋxɑ/χotjut 'who' is used with people and manər 'what' with animals or inanimate objects."
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Jeremy Bradley and Elena Skribnik (p.c. 2020),,"There are no relative pronouns, only in very modern texts as obvious Russian influence."
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Jeremy Bradley and Elena Skribnik (p.c. 2020),,"There are no relative pronouns, only in very modern texts as obvious Russian influence."
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,0,Bakró-Nagy et al. 2022:in passim; Riese 2001:in passim,,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Riese 2001:28,,The order is stem + possessive suffix + case suffix.
UT205,Are case and number marked cumulatively across the paradigm?,0,Riese 2001:24,,
UT112,Are there different words for mother’s brother and father’s brother?,1,Afanasyeva 2012,"UT112-1, UT112-2",
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Munkácsi and Kálmán 1986,"UT113-1, UT113-2, UT113-3, UT113-4",
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,Munkácsi and Kálmán 1986,"UT114-1, UT114-2",
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,"Jeremy Bradley, Csilla Horváth, and Elena Skribnik (p.c. 2020) ",,
UT116,Is there contrastive length for consonants?,0,Bakró-Nagy et al. 2022:539,,No length opposition in the consonant system.
UT117,Is there contrastive length for vowels?,1,"Bakró-Nagy et al. 2022:537, 539","UT117-1, UT117-2",
UT118,Is there a contrast between short and long unstressed vowels?,0,Bakró-Nagy et al. 2022:539,,The primary stress is on the first syllable; vowels in non-first syllables are short.
UT119,Is there a contrast in the length of geminate consonants?,0,Bakró-Nagy et al. 2022:539,,No phonemic value.
UT120,Are there more than two phonological quantities?,0,Bakró-Nagy et al. 2022:in passim,,
UT121,Are there extralong syllables?,0,Marianne Bakró-Nagy (p.c. 2020),,
UT122,Is the main foot structure trochaic?,1,Riese and Bradley 2020:26,,Mansi has consistent first syllable stress.
UT123,Is there lexically distinctive word stress?,0,Marianne Bakró-Nagy (p.c. 2020),,
UT124,Is there morphologically conditioned stress?,0,Marianne Bakró-Nagy (p.c. 2020),,
UT125,Is there fixed primary stress?,1,Bakró-Nagy et al. 2022:540,UT125,
UT126,Is there stress in heavy syllables?,0,Bakró-Nagy et al. 2022:540,,Stress depends on the position and not on the weight of the syllable.
UT127,Is there non-initial primary stress?,0,Bakró-Nagy et al. 2022:540,,
UT128,Is there palatal vowel harmony?,0,Bakró-Nagy et al. 2022:539,,
UT129,Is there velar vowel harmony?,0,Bakró-Nagy et al. 2022:539,,
UT130,Is there labial vowel harmony?,0,Bakró-Nagy et al. 2022:539,,
UT131,Are there closing diphthongs?,0,Bakró-Nagy et al. 2022:537,,
UT132,Are there opening diphthongs?,0,Bakró-Nagy et al. 2022:537,,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Marianne Bakró-Nagy (p.c. 2020),,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Marianne Bakró-Nagy (p.c. 2020),,"On phonological level there are no reduced vs. full contrastive subsets. In non-first syllables there is a middle, central [ǝ] but this is not a reduced vowel."
UT135,Is there a high front rounded vowel /y/?,0,Bakró-Nagy et al. 2022:539,,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Bakró-Nagy et al. 2022:539,,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,"Bakró-Nagy et al. 2022:537, 539",,Only as a phonetic variant of /i/.
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Bakró-Nagy et al. 2022:539,,
UT139,Is there a low back rounded vowel /ɒ/?,0,Bakró-Nagy et al. 2022:539,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,0,Bakró-Nagy et al. 2022:539,,
UT141,Are there word-initial consonant clusters?,0,Riese and Bradley 2020:25,,Present in Russian loanwords.
