ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT001,teːn laːweiɣ,,teːn laːw-e-iɣ,3DU say-PRS-3DU,They (two) say,OUDB: 1238:91
UT002,māxəm joxteγət,,māxəm joxt-eγət,people.SG come-PRS.3PL,The people are coming,Riese 2001:63
UT014,"neː wis, uːsən minas, weːtra wina wis",,"neː        wi-s,        uːs-ən        min-as,        weːtra        wina        wi-s",woman take-PST[3SG] city-DLAT go-PST[3SG] bucket alcohol take-PST[3SG],"He got married to a woman, went to town and bought a bucket full of alcohol",OUDB: 1239:5
UT016,al- : aliɣl-,,al- : al-iɣl-,,"kill, hunt : use to hunt, hunt often",Bakró-Nagy et al. 2022:553
UT017,suns- : sunsiɣl-,,suns- : suns-iɣl-,,"see, watch : watch repeatedly, constantly, one object after another",Bakró-Nagy et al. 2022:553
UT019,"taw laːwi: “lʲoːŋx jaːs xosit paɣlʲe minuŋk laːwi, tot xoːntjaɣn""",,"taw  laːw-i: “lʲoːŋx_jaːs xosit  paɣlʲe min-uŋk laːw-i, tot xoːnt-jaɣn""",3SG say-PRS[3SG] path along up_the_hill go-INF say-PRS[3SG] there  find+[PRS]-DU<2SG,"He says: ’He says to follow the path up, you'll find them there'",OUDB: 750:14
UT024,Anʲ aːm jujipaːlumt taj maːkoləŋ oːjka ta joːmiɣtaneːte,,Anʲ aːm jujipaːl-um-t taj maːkoləŋ _oːjka ta joːmiɣt-aneː-te,now 1SG behind-SG<1SG-LOC EMPH bear PTCL lunge.out-MIR.PRS-3SG,(Suddenly) There is a bear lunging out behind meǃ,Skribnik 2005
UT026,"paul ti sawit wor uj joxti, worna ke minnuːwum ul alnuːwum?",,"paul	ti	sawit	wor	uj	joxt-i,	wor-na	ke	min-nuːw-um	ul	al-nuːw-um?",village	this	multitude	forest	animal	arrive-PRS[3SG]	forest-DLAT	if	go-COND-1SG	IMP.NEG	kill-COND-1SG,"As there arrive as many forest animals as a whole village, if I would go to the forest, couldn't I hunt (down all of them)?",OUDB: 1235:45
UT043,tuw ujtxatas ta tuːreːn maːnʲiɣ saŋkamtaxtəŋkʷ,,tuw	ujtxat-as	ta	tuːr-eː-n	maːnʲ-iɣ	saŋkamt-axt-əŋkʷ,there dive_down-PST[3SG]        that        lake-SG<3SG-DLAT        young-TRNS        direct_to_the_right_way-REFL-INF,There he dove into his lake in order to be rejuvenated,OUDB: 742:5
UT044-1,rakʷi,,rakʷ-i,rain-PRS.3SG,It rains,Rombandeeva 1984:114
UT044-2,e:tʲimi,,e:tʲim-i,grow_dark-PRS.3SG,It grows dark,Rombandeeva 1984:114
UT202,naŋ ta porat maːnʲut oːlsən,,naŋ	ta	pora-t	maːnʲut	oːl-s-ən,2SG	EMPH1	time-LOC	baby	be-PST-2SG,You were just a baby at the time,OUDB: 1237:77
UT047,naη nēpakən pasant,,naη	nēpak-ən	pasan-t,2SG	letter-SG<2SG	table-LOC,Your letter is on the table,Skribnik and Afanasyeva 2007:I:76
UT049,"anʲ ekʷa lawi amkem at məɣlum, apɣəm atʲim",,"anʲ ekʷa law-i amkem at məɣ-lum, apɣ-əm atʲim",now	old_woman	say-PRS[3SG]	1SG	NEG	give+PRS-SG<1SG	nephew-SG<1SG	NEG.EXIST,"The old woman says: ’I won't give her on my own, my nephew is not here",OUDB: 1234:102
UT051,jaɣɣuwna akw sʲos joltwesaw at xoːntlaxtuŋkʷe,,jaɣɣ-uw-na	akw	sʲos	jolt-we-s-aw	at	xoːntlaxt-uŋkʷe,father-POSS.SG<1PL-DAT	one	time	decree-PASS-PST-1PL	NEG	wage_war-INF,our father decreed long ago that we should not wage war,OUDB: 750:78
UT053,wār- : wārtal,,wār-  :   wār-tal,make : make-PTCP.NEG,"to make, to  do :  undone",Riese 2001:69
UT054,"(juw=joːmi,) eːtjimtɑwes",,"(juw=joːm-i,) eːtjimt-ɑwe-s",(PV=go-PRS.3SG) grow_dark-PASS-PST.3SG,"((He) is going home,) (he) is overtaken by night",Bakró-Nagy et al. 2022:560
UT055,χum alam wōrtōlnut,,χum	al-am	wōrtōlnut,man	kill-PTCP.PASS	bear,a/the bear killed by a/the man,Riese and Bradley 2020:126
UT058,χūltal,,χūl-tal,hear-PTCP.NEG,unheard,Riese and Bradley 2020:135
UT060,ten minamen juji palt nematər xosa ti akʷ xum tiɣ joxtəs,,ten min-am-en juji_palt nematər xosa ti akʷ xum tiɣ joxt-əs,3DU go-PTCP.PST-3DU after nothing long this one man hither come-PST[3SG],"Not long after their leaving, one of the men came (back)",OUDB: 1234:100
UT063,ūjriś kāsəηəś ērγənete sujti,,ūjriś	kāsəηəś	ērγə-ne-te	sujt-i,bird        merrily        sing-PTCP.PRS-SG<3SG        to_be_heard-PRS.3SG,the merry singing of a bird can be heard,Riese and Bradley 2020:160
UT065-1,eːkʷa piɣrisʲ neː xoːntam kolen ta johtesət,,eːkʷa	piɣrisʲ	neː	xoːnt-am	kol-e-n	ta	joht-es-ət,Eːkʷa Piɣrisʲ	woman	find-PTCP.PST	house-SG<3SG-DLAT	EMPH1	arrive-PST-3PL,They arrived to the house where E.P. found the woman,OUDB: 1238:97
UT065-2,"xumiɣ, lawi, nʲal təɣli ul lajen, am ajim xum toteɣum",,"xumi-ɣ,	law-i,	nʲal	təɣli	ul	laj-en,	am	aj-im	xum	tot-eɣ-um",man-DU	say-PRS[3SG]	arrow	(to)_here	IMP.NEG	shoot-IMP	1SG	drink-CVB	man	carry-PRS-1SG,"Men’ he says ’don't shoot your arrows here, I carry a drunk man'",OUDB: 1234:161
UT065-3,"anʲ xum, ilʲpəlʲ oːlne xum puːin uːnli xoŋxsa xartime",,"anʲ	xum,	ilʲpəlʲ	oːl-ne	xum	puːin	uːnl-i	xoŋxsa	xart-ime",now	man	recently	be-PTCP.PRS	man	far_from_the_river	sit-PRS[3SG]	pipe	smoke-CVB,The man who had recently arrived is sitting on the shore smoking a pipe,OUDB: 1239:135
UT066,naːn saːrt pasʲa waːreːn,,naːn	saːrt	pasʲa	waːr-eːn,2PL	before	greeting	make-IMP,"[---], send your greetings first!",OUDB: 750:47
UT070,miniriś,,min-i-riś,go-PRS.3SG-DIM,"there he goes, the poor ...",Riese and Bradley 2020:120
UT071-1,am āpam,,am	āpa-m,1SG	cradle-POSS.1SG,my cradle,Riese and Bradley 2020:90
UT071-2,am minnem ēlipālt,,am	min-ne-m	ēli-pālt,1SG	go-PTCP.PRS-POSS.1SG	before,before I go,Riese and Bradley 2020:124
UT073,ti xanistaxtan piyrisiy jomasiy,,ti	xanistaxt-an	piyris-iy	jomas-iy,this        learn-PTCP.PRS        boy-DU        good-DU,These pupils (are) good,Riese 2001:63
UT075,am jotəm,,am	jot-əm,1SG with-POSS.1SG,with me,Riese 2001:36
UT076,jujipāln : jujipālt : jujipālnəl,,juji-pāln : juji-pālt : juji-pālnəl,behind-LAT : behind-LOC : behind-ABL,behind (to where) : behind (where) : from behind,Riese and Bradley 2020:69
UT080,wɑːt χum,,wɑːt χum,thirty man,thirty men,Bakró-Nagy et al. 2022:542
UT086,aːwin joxtəs takʷi juw= ti sʲalti,,aːwi-n	joxt-əs	takʷi	juw=	ti	sʲalt-i,door-DLAT	come-PST[3SG]	3SG	into=	EMPH2	enter-PRS[3SG],"Approached the door, [would] step in alone",OUDB: 1238:80
UT087,sunt,,sun-t,sledge-LOC,in the sledge,Riese 2001:25
UT088,saːmnəl,,saːm-nəl,corner-ABL,from the corner,Riese 2001:25
UT093-1,nē jūntəpəl jūnti,,nē	jūntəp-əl	jūnt-i,woman	needle-INST	sew-PRS.3SG,the woman is sewing with a needle,Riese and Bradley 2020:59
UT093-2,χańiśtan χum χańiśtaχtən ńāwramət jot potərti,,χańiśt-an	χum	χańiśtaχt-ən	ńāwram-ət	jot	potərt-i,teach-PTCP.PRS	man	learn-PTCP.PRS	child-PL	with	speak-PRS.3SG,the teacher is talking with the children,Riese and Bradley 2020:67
