ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT002,"ku pǟzöiᴅ lenᴅelȫ māᴅa mǖ̬ᴅä, se tītǟ tāz vihmā",,"ku	pǟzöi-ᴅ	lenᴅ-elȫ	mā-ᴅa	mǖ̬ᴅä,	se	tītǟ	tāz	vihmā",when	swallow.DIM-PL	fly-FRQ.3SG	ground-PRT	along	this	foretell.3SG	again	rain.PRT,When swallows are flying near the ground then this predicts again rain,Nirvi 1971: 260
UT004,vanhois kodiloiz,,vanh-oi-s	kodi-loi-z,old-PL-INE	house-PL-INE,in old houses,
UT007,kan̆nōja vartta tehhǟ pissoaij̆jaᴅ,,kan̆nōja	vartta	tehhǟ	pissoaij̆jaᴅ,hen.PL.PRT for make.PASS.PRT picket_fence.PL,picket fences are being made for the hen,
UT011-1,ossan lehmän,,ossa-n	lehmä-n,buy-1SG	cow-GEN,I'll buy a cow,
UT011-2,ossan lehmǟ,,ossa-n	lehmǟ,buy-1SG	cow.PRT,I'm buying a cow,
UT012-1,Pā rahat kannelle!,,Pā	raha-t	kanne-lle!,put.IMP.2SG	money-PL	table-ALL,Put the money on the table!,
UT012-2,Elä pā rah̆hōja kannelle!,,Elä	pā	rah̆hōja	kannelle!,NEG.IMP.2SG	put.IMP.2SG	money.PL.PRT	table-ALL,Don't put money on the table!,
UT013-1,kannella ono leipǟ,,kannella	ono	leipǟ,table-ADE	be.3SG	bread.PRT,There is some bread on the table,
UT013-2,kannella ono leiʙä,,kanne-lla	ono	leiʙä,table-ADE	be.3SG	bread.NOM,There is the bread on the table,
UT014,poiɢa näɢi karhua ja jō̭ksi poiz,,poiɢa	näɢi	karhu-a	ja	jō̭ksi	poiz,boy see.PST.3SG bear-PRT and run.PST.3SG away,The boy saw a bear and ran away,
UT017,"ku pǟzöiᴅ lenᴅelȫ māᴅa mǖ̬ᴅä, se tītǟ tāz vihmā",,"ku	pǟzöi-ᴅ	lenᴅ-elȫ	mā-ᴅa	mǖ̬ᴅä,	se	tītǟ	tāz	vihmā",when	swallow.DIM-PL	fly-FRQ.3SG	ground-PRT	along	this	foretell.3SG	again	rain.PRT,When swallows are flying near the ground then this predicts again rain,Nirvi 1971: 260
UT018,hȫ̭ ol̆līᴅ varastam̆māz omenā hovin sā.ūst,,hȫ̭	ol̆līᴅ	varastam̆māz	omenā	hovin	sā.ūst,3PL	be.PST.3PL	steal-SUP-INE	apple.PRT	manor-GEN	garden-ELA,They were stealing apples form the garden of the manor house,Nirvi 1971: 641
UT019,mǟn tǖhü,,mǟ-n	tǖ-hü,go-1SG	work-ILL,I'll go to work,
UT020,mȫ̭ ō̭mma mänömizel,,mȫ̭	ō̭mma	mänö-mize-l,1PL	be.1PL	go-NMLZ-ADE,We are about to leave,
UT021,miä olin kovast häᴅähünᴅ,,miä	ol-i-n	kovast	häᴅähü-nᴅ,1SG	be-PST-1SG	strongly	get_into_trouble-ACT.PST.PTCP,I  had badly got into a trouble,Nirvi 1971: 79
UT026,"Jos saisīst, möisīst siä miule keŋɢäᴅ?",,"Jos	saisīst,	möi-sīst	siä	miule	keŋɢäᴅ?",if	get-COND-2SG	sell-COND-2SG	2SG	1SG-ALL	shoe-PL,If you could would you sell me the shoes?,
UT027,"Jos saisīst, möisīst siä miule keŋɢäᴅ?",,"Jos	saisīst,	möi-sīst	siä	miule	keŋɢäᴅ?",if	get-COND-2SG	sell-COND-2SG	2SG	1SG-ALL	shoe-PL,If you could would you sell me the shoes?,
UT029,ɢuim monᴅ vū̬tta miä ellǟnen,,ɢuim	mon-ᴅ	vū̬tta	miä	ellǟnen,how	many-PRT	year.PRT	1SG	live-POT-1SG,How many years I might live?,Nirvi 1971: 30
UT031,palaɢā otsallē sā,,pala-ɢā	otsa-llē	sā,burn-JUSS.3SG	end-ALL	until,let [it] burn till the end,NIrvi 1971: 158
UT038,hǖ̬ māttī pitkän ajan,,hǖ̬	māttī	pitkä-n	aja-n,3PL	sleep.PASS.PST	long-GEN	time-GEN,They slept for a long time,
UT040,vanhāks ku mǟᴅ ni jalaᴅ huʙelōks tul̆lōᴅ,,vanhā-ks	ku	mǟ-ᴅ	ni	jala-ᴅ	huʙelō-ks	tul̆lōᴅ,old-TRA	when	go-2SG	then	leg-PL	weak-TRA	come-3PL,"When you get old / When one gets old, legs will become weak",NIrvi 1971: 74
UT043,"toin jauhoa, joᴅ paistā pīrakkoja",,"to-i-n	jauho-a,	joᴅ	paistā	pīrakko-ja",bring-PST-1SG	flour-PRT	in_order	bake.INF	pie-PL.PRT,I brought flour in order to bake pies,
UT044,tūlō,,tūlō,be_windy.3SG,It is windy,NIrvi 1971: 612
UT045,hǟ ono pīkān,,hǟ	ono	pīkā-n,3SG	be.3SG	servant_girl-ESS,S/he is a servant girl,
UT046,hǟ oli pīkān,,hǟ	ol-i	pīkā-n,3SG	be-PST.3SG	servant_girl-ESS,S/he was a servant girl,
UT048-1,naizeᴅ ja mḙ̄heᴅ,,naize-ᴅ	ja	mḙ̄he-ᴅ,woman-PL	and	man-PL,women and men,
UT048-2,sǖ̬tī ja jū̬tī,,sǖ̬-tī ja jū̬-tī,eat-PASS.PST and drink-PASS.PST,,
UT050,miä pān : miä en pā,,miä	pā-n	:	miä	en	pā,1SG	put-1SG	:	1SG	NEG.1SG	put.CNG,I put : I don't put,
UT053,töɢömäᴅä tǖ̬ᴅ,,töɢö-mä-ᴅä	tǖ̬-ᴅ,do-SUP-ABE	work-PL,undone work (pl),
UT054,tehhǟ tǖ̬ᴅä,,tehhǟ	tǖ̬-ᴅä,work.PASS.PRS	work-PRT,Work is being done here,
UT055-1,tämäɢ se on soᴅaväk̆kèm män̆nȫvä?,,tämä-ɢ	se	on	soᴅaväk̆kèm	män̆nȫ-vä?,it-Q	this	be.3SG	army.ILL	go-ACT.PRS.PTCP,Is s/he the one who is going to the army?,NIrvi 1971: 325
UT055-2,kēhunt kukkoi oli keskikannel,,kēhu-nt	kukkoi	ol-i	keskikanne-l,bake-ACT.PST.PTCP	cock	be-PST.3SG	mid_table-ADE,The baked cock-pastry was in the middle of the table,NIrvi 1971: 162
UT060,pieᴅettävöiᴅämme,,pieᴅe-ttäv-öi-ᴅä-mme,hide-PASS.PRS.PTCP-PL-PRT-1PL.POSS,the one's that we are hiding/will hide,
UT062,kestäväᴅ vāttīᴅ,,kestä-vä-ᴅ	vāttī-ᴅ,last-ACT.PRS.PTCP-PL	clothes-PL,lasting clothes,NIrvi 1971: 159
UT064,hǟ oh hüvä laulaja mḙ̄z,,hǟ	oh	hüvä	laula-ja	mḙ̄z,3SG	be.3SG	good	sing-AN	man,S/he is a man who sings well,NIrvi 1971: 253
UT067,elä maitoa tilɢuttele māha,,elä	maito-a	tilɢuttele	mā-ha,NEG.IMP.2SG	milk-PRT	drip.CNG	ground-ILL,Do not drip milk,NIrvi 1971: 31
UT071-1,pojan pezömīn,,poja-n	pezö-mīn,boy-GEN	wash-NMLZ,washing the boy / boy's washing,
UT071-2,pojan pertti,,pojan	pertti,boy-GEN	house,boy's house,
UT072-1,lehmän ostamīn,,lehmä-n	osta-mīn,cow-GEN	buy-NMLZ,buying the cow,
UT072-2,ossan lehmän,,ossa-n	lehmä-n,buy-1SG	cow-GEN,I'll buy the cow,
UT073,pojaᴅ ol̆lā piᴅäᴅ,,poja-ᴅ	ol̆lā	piᴅä-ᴅ,boy-PL	be.PASS.PRS	tall-PL,boys are tall,
UT075,pā vītta pǟllēz,,pā	vītta	pǟ-llē-z,put.IMP.2SG	jacket	on-ALL-POSS.2SG,Put the jacket on,
UT076,kaᴅon pǟlle : kaᴅon pǟl : kaᴅon	pǟlᴅ,,kaᴅo-n pǟlle : kaᴅo-n pǟl : kaᴅo-n	pǟlᴅ,roof-GEN	onto	:	roof-GEN	on	:	roof-GEN	from,on(to) the roof : on the roof : from (topp of) the roof,
UT078,"elkǟ panna ühtē müttǖ nīm paljo, ken heij̆jeᴅ kaik kant̆teli",,"el-kǟ	panna	ühtē	müttǖ	nīm	paljo,	ken	heij̆je-ᴅ	kaik	kant̆teli","NEG.IMP-2PL	put.INF	one.ILL	pile.ILL	so	much,	who	they-ACC	all	carry-PST.3SG","Don't put in one pile so much (muck), who carried all this (here)",
UT079-1,üks poiɢa,,üks	poiɢa,one.SG.NOM	boy.SG.NOM,one boy,
UT079-2,kaks poikā,,kaks	poikā,two.SG.NOM	boy.SG.PRT,two boys,
UT081,kä.en,,kä.e-n,hand-GEN,hand's,
UT084,hǟ ei elänᴅ ilman heʙoizeᴅa,,hǟ	ei	elä-nᴅ	ilman	heʙoize-ᴅa,3SG	NEG.3SG	live-ACT.PST.PTCP	without	horse-ABE,S/he didn't live without a horse,NIrvi 1971: 57
UT085,mȫ̭ mänimmä metsäit̀sᴇ,,mȫ̭	män-i-mmä	metsäi-t̀sᴇ,1PL	go-PST-1PL	forest-PROL,We went through the forest,NIrvi 1971: 307
UT086,jaloille,,jaloi-lle,foot-PL-ALL,on(to) feet,
UT087,jaloil,,jaloi-l,foot-PL-ADE,on the feet,
UT088,jaloilᴅ,,jaloi-lᴅ,foot-PL-ELA,from the feet,
