ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT007-1,Datne mov gåajka båatah,,Datne	mov	gåajka	båatah,2SG	1SG.GEN	to	come.PRS.2SG,You come to me,Richard Kowalik (p.c. 2019)
UT007-2,Datne mov bijre soptsesth,,Datne	mov	bijre	soptsesth,2SG	1SG.GEN	to	talk.PRS.2SG,You talk about me,Richard Kowalik (p.c. 2019)
UT010-1,Manne gärjah lohkeminie,,Manne	gärja-h	lohkeminie,1SG	book-NOM.PL	read.PROG,I am reading books,Richard Kowalik (p.c. 2019)
UT010-2,Manne gärjide lohkeminie,,Manne	gärj-ide	lohkeminie,1SG	book-ACC.PL	read.PROG,I am reading the books,Richard Kowalik (p.c. 2019)
UT014,Dihte karre dam nyjsenäjjam leeki jih hajkeli,,Dihte	karre	dam	nyjsenäjjam	leeki	jih	hajkeli,,This man hit the woman and ran off,Richard Kowalik (p.c. 2019)
UT018-1,Dihte lohkeminie,,Dihte	lohkeminie,3SG	read.PROG,S/he is reading,Richard Kowalik (p.c. 2019)
UT018-2,golme maanah lin gierestalleminie,,golme	maanah	lin	gierestalleminie,three	children	be.PST.3PL	downhill.ski.PROG,Three children were skiing,Richard Kowalik (p.c. 2019)
UT019,dellie manne datnine sijhtem saemiestidh,,dellie	manne	datnine	sijhtem	saemiestidh,now	1SG.NOM	2SG.COM	want.PRS.1SG	talk.saami.INF,Now I want to talk Saami with you,Richard Kowalik (p.c. 2019)
UT021,Manne lim vuajneme,,Manne	lim	vuajneme,1SG	be.PST.1SG	see.PTCP,I had seen,Richard Kowalik (p.c. 2019)
UT023-1,Im lohkh,,Im	lohkh,NEG.1SG	read.CNG,I do not read,Richard Kowalik (p.c. 2019)
UT023-2,Idtjim lohkh,,Idtjim	lohkh,NEG.PST.1SG	read.CNG,I did not read,Richard Kowalik (p.c. 2019)
UT039,Daesnie maehtieh  åeredh,,Daesnie	maehtieh	åeredh,here	can.3PL	sleep.INF,It is possible to sleep here,Richard Kowalik (p.c. 2019)
UT044,obre/abra,,obre/abra,rain.PRS.3SG,It rains,Richard Kowalik (p.c. 2019)
UT046,Gosse manne lim onne baahtje...,,Gosse	manne	lim	onne	baahtje...,when	I	be.PST.1SG	little	boy,When I was a little boy…,Richard Kowalik (p.c. 2019)
UT047,Manne alkene/gåatesne/daesnie,,Manne	alkene/gåatesne/daesnie,1SG	outside/home/there,I am outside/home/there,Richard Kowalik (p.c. 2019)
UT048-1,Manne jih mov aehtjie,,Manne	jih	mov	aehtjie,,Me and my father,Richard Kowalik (p.c. 2019)
UT048-2,manne lohkem jih tjaalam,,manne	lohkem	jih	tjaalam,,I read and write,Richard Kowalik (p.c. 2019)
UT048-3,Manne lohkeminie jih aehtjie moerh tjuahpa,,Manne	lohkeminie	jih	aehtjie	moerh	tjuahpa,,I am reading a book and father is choping wood,Richard Kowalik (p.c. 2019)
UT050,Im manne guarkah,,Im	manne	guarkah,NEG.AUX.PRS.1SG	1SG	understand.CNG,I don't understand,Richard Kowalik (p.c. 2019)
UT063-1,vaarredh,,vaarredh,,to run,Richard Kowalik (p.c. 2019)
UT063-2,vaarreme,,vaarre-me,run-PTCP,the running,Richard Kowalik (p.c. 2019)
UT066,Jovhkh tjaetjiem!,,Jovhkh	tjaetjiem!,drink.IMP.2SG	water.ACC.SG,Drink water!,Richard Kowalik (p.c. 2019)
UT067-1,Aellieh disse vaedtsieh!,,Aellieh	disse	vaedtsieh!,NEG.IMP.2SG	thither	walk.CNG,Don't go there!,Richard Kowalik (p.c. 2019)
UT067-2,Aellieh dam jovhkh!,,Aellieh	dam	jovhkh!,NEG.IMP.2SG	that	drink.CNG,Don't drink that!,Richard Kowalik (p.c. 2019)
UT072,gärjam tjaeleminie luste,,gärja-m	tjaele-minie	luste,book-ACC.SG	write-PROG	fun,writing a book is fun,Richard Kowalik (p.c. 2019)
UT074,orremes,,orre-mes,new-SPRL,newest,Richard Kowalik (p.c. 2019)
UT076-1,aajjan luvnie,,aajjan	luvnie,grandpa	at/with,at/with grandpa,Richard Kowalik (p.c. 2019)
UT076-2,aajjan luvhtie,,aajjan	luvhtie,grandpa	from,from grandpa,Richard Kowalik (p.c. 2019)
UT076-3,aajjan gåajka,,aajjan	gåajka,grandpa	to,to grandpa,Richard Kowalik (p.c. 2019)
UT081,tjidtjien gåetie,,tjidtjie-n	gåetie,mother-GEN.SG	house,mother's house,Richard Kowalik (p.c. 2019)
UT086-1,jaavran,,jaavra-n,lake-ILL,to the lake,Richard Kowalik (p.c. 2019)
UT086-2,maanese,,maane-se,child-ILL,to the child,Richard Kowalik (p.c. 2019)
UT087,Mov tjidtjie lea skåajjesne,,Mov	tjidtjie	lea	skåajje-sne,1SG.GEN	mother.NOM	be.PRS.3SG	forest-LOC.SG,My mother is in the forest,Richard Kowalik (p.c. 2019)
UT088,Manne laejpeste ohtje stuhtjem dijpim,,Manne	laejpe-ste	ohtje	stuhtje-m	dijp-i-m,I	bread-ELA.SG	Little	piece-ACC.SG	take-PST-1SG,I took a little bit from the bread,Richard Kowalik (p.c. 2019)
UT093-1,Dah hov vöölkin bussine,,Dah	hov	vöölkin	buss-ine,they	PTCL	go.PST.3PL	bus-COM.SG,They went with the bus,Richard Kowalik (p.c. 2019)
UT093-2,Aehtjie giehteli bovtjigujmie,,Aehtjie	giehteli	bovtj-igujmie,father	be_occupied.PST.3SG	reindeer-COM.PL,Father used to work with reindeer,Richard Kowalik (p.c. 2019)
UT106-1,gie båata?,,gie	båata?,, Who comes?,Richard Kowalik (p.c. 2019)
UT106-2,Mij dihte,,Mij	dihte,,What is this?,Richard Kowalik (p.c. 2019)
UT109-1,dïhte moere,,dïhte	moere,that	tree,it tree.NOM.SG,Richard Kowalik (p.c. 2019)
UT109-2,dihte jeahta,,dihte	jeahta,3SG.NOM	say.PRS.3SG, s/he says,Richard Kowalik (p.c. 2019)
UT112-1,jyöne,,jyöne,,mother's brother,Richard Kowalik (p.c. 2019)
UT112-2,tjietsie,,tjietsie,,father's brother,Richard Kowalik (p.c. 2019)
