ID,Name,Ume.Saami,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,von Gertten 2015:82,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Kejonen 2017:21,,
UT003,Can finite verbs agree in number with a nominal object?,0,von Gertten 2015:in passim,,
UT004,Can an adnominal property word agree with the noun in case?,0,von Gertten 2015:77,,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,0,von Gertten 2015:in passim,,
UT006,Can adpositions be used to mark core verbal arguments?,0,von Gertten 2015:in passim,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,?,Ilya Egorov (p.c. 2026),,"Non-finite forms are used mostly in construction, where they function as copula arguments."
UT009,Can non-finite clauses use a special means for core argument (P) marking?,?,Ilya Egorov (p.c. 2026),,"Non-finite forms are used mostly in construction, where they function as copula arguments."
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Larsson 2012:138,,"Some evidence suggests that the Ullisjaure dialect uses ACC to mark definite plural objects and NOM to mark indefinite objects. However, other dialects do not exhibit any traces of differential object marking. "
UT011,Does object marking correlate with aspectuality?,0,von Gertten 2015:in passim,,
UT012,Does object marking depend on the verb conjugation form?,0,von Gertten 2015:in passim,,
UT013,Is there differential subject marking?,0,Kejonen 2017:21,,"There is no differential subject marking itself. However, marking the subject for number still depends on animacy and referential status to some extent. A pronominal subject can only be marked for dual if it is a definite human. Otherwise, the plural form is used for dual objects, animals, or indefinite humans."
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Schlachter 1958:in passim; von Gertten 2015:in passim,,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Schlachter 1958: in passim; von Gertten 2015:in passim,,
UT016,Is there grammatical marking of habituality?,0,Schlachter 1958:in passim,,
UT017,Is there grammatical marking of frequentativity?,1,Schlachter 1958:in passim,,
UT018,Is there grammatical marking of progressivity?,1,von Gertten 2015:60-61,,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Schlachter 1958:in passim; von Gertten 2015:in passim,,
UT020,Is there grammatical marking of the immediate future?,0,von Gertten 2015:in passim,,
UT021,Is there grammatical marking of the pluperfect?,1,Schlachter 1958:XVII,,
UT022,Can aspect be expressed overtly in the negative marker?,0,von Gertten 2015:119,,
UT023,Can tense be expressed overtly in the negative marker?,1,von Gertten 2015:119,,
UT024,Is there grammatical marking of mirativity?,0,von Gertten 2015:in passim,,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,von Gertten 2015:in passim,,
UT026,Is there morphological marking on the verb dedicated to irrealis?,0,von Gertten 2015:in passim,,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Schlachter 1958: XVIII; Larsson 2012: 135-137,,"There is no special marking of conditional mood in von Gerten's (2015), however, earlier documentations still provide some examples (see Schlachter 1958:XVIII; Larsson 2012:135-137)."
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,von Gertten 2015:in passim,,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Schlachter 1958: XVIII; Larsson 2012: 135-137,,"There is no special marking of potential mood in von Gerten's (2015), however, earlier documentations still provide some examples (see Schlachter 1958:XVIII; Larsson 2012:135-137)."
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,von Gertten 2015:in passim,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",0,von Gertten 2015:in passim,,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,von Gertten 2015:in passim,,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,von Gertten 2015:in passim,,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,von Gertten 2015:in passim,,
UT035,Is there a reflexive conjugation?,0,von Gertten 2015:in passim,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,von Gertten 2015:in passim,,
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Ilya Egorov (p.c. 2026),,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,0,Ilya Egorov (p.c. 2026),,
UT201,Can an infinitival verb form be used in a directive function?,?,Ilya Egorov (p.c. 2026),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Ilya Egorov (p.c. 2026),,
UT044,Are there sentences without overt verbal arguments?,1,von Gertten 2015:in passim,,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,1,Siegl 2017:10-11,,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Ilya Egorov (p.c. 2026),,
UT047,Can locative constructions commonly occur without a copula?,0,Siegl 2017:10-11,,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Ilya Egorov (p.c. 2026),,
UT049,Does existential negation have a special negator?,0,von Gertten 2015:119,,
UT050,Can standard negation be asymmetric in the present tense?,1,von Gertten 2015:119,,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,von Gertten 2015:119,,
UT052,Is there a special negator that combines with non-finite forms?,0,von Gertten 2015:119,,
UT053,Are there special negative non-finite forms?,1,von Gertten 2015:119,,
UT054,Is there an impersonal passive construction?,0,von Gertten 2015:in passim,,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Ilya Egorov (p.c. 2026),,
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,?,Ilya Egorov (p.c. 2026),,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,1,Ilya Egorov (p.c. 2026),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Ilya Egorov (p.c. 2026),,
UT059,Is there a future participle?,0,von Gertten 2015:in passim,,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,von Gertten 2015:in passim,,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,von Gertten 2015:in passim,,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,?,Ilya Egorov (p.c. 2026),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Schlachter 1958:in passim,,
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,von Gertten 2015:in passim,,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,von Gertten 2015:113-114,,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,?,Ilya Egorov (p.c. 2026),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Schlachter 1958:in passim; von Gertten 2015:in passim,,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,?,Ilya Egorov (p.c. 2026),,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,0,Ilya Egorov (p.c. 2026),,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,von Gertten 2015:78,,
UT074,Is there a bound superlative degree marker on property words?,1,von Gertten 2015:79,,
UT075,Can adpositions have person/number marking?,0,von Gertten 2015:in passim,,
UT076,Are there adpositions that show a tripartite system?,1,Schlachter 1958:in passim,,
UT077,Is there case compounding?,0,von Gertten 2015:64-71,,
UT078,Are there morphological cases only used with pronouns?,0,von Gertten 2015:64-75,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,von Gertten 2015:64-71,,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Larsson 2012:138-141,,"Predominantly plural, but singular is also possible."
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,von Gertten 2015:64-71,,
UT083,Is there a dedicated case that expresses a terminative meaning?,0,von Gertten 2015:64-71,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,von Gertten 2015:64-71,,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,von Gertten 2015:64-71,,
UT086,Is there a locative case that expresses goal?,1,von Gertten 2015:64-71,,
UT087,Is there a locative case that expresses location?,1,von Gertten 2015:64-71,,
UT088,Is there a locative case that expresses source?,1,von Gertten 2015:64-71,,
UT089,Is there case syncretism for goal and location marking?,0,von Gertten 2015:64-71,,
UT090,Is there case syncretism for location and source marking?,0,von Gertten 2015:64-71,,
UT091,Are there two sets of local cases?,0,von Gertten 2015:64-71,,
UT092,Are there three or more sets of local cases?,0,von Gertten 2015:64-71,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,von Gertten 2015:64-71,,
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,von Gertten 2015:64-71,,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,von Gertten 2015:64-71,,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,von Gertten 2015:64-71,,
UT097,Is there a dedicated case that expresses equativity?,0,von Gertten 2015:64-71,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,von Gertten 2015:64-71,,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,von Gertten 2015:64-71,,
