ID,Name,Võro.South.Estonian,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Sulev Iva,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Sulev Iva,,
UT003,Can finite verbs agree in number with the nominal object?,0,Sulev Iva,,
UT004,Can an adnominal property word agree with the noun in case?,1,Sulev Iva,vano-h majo-h;old.PL-INE  house.PL-INE;in old houses;,
UT005,Are there cases that do not show agreement in terms of case?,1,Sulev Iva,suurõ pini-gaq;big.GEN dog-COM;with a big dog;,
UT006,Can adpositions be used to mark core verbal arguments?,0,Sulev Iva,,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,Sulev Iva,imä käest küs-se rahha;mother.GEN from ask-PST.3SG money.PRT;(S/he) asked money from (his/her) mother;,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,Sulev Iva,vahtsõ perreliikme sündü-den;new.GEN family_member.GEN be_born-CVB;When a new family member is born;,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,Sulev Iva,,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,Sulev Iva,,
UT011,Does object marking correlate with aspectuality?,1,Sulev Iva,"ma osta leevä;I buy[1SG] bread.GEN;I'll buy a/the bread;|ma osta leibä;I buy[1SG] bread.PRT;I'll buy some bread;
",
UT012,Does the marking of the object depend on the verb conjugation form?,1,Sulev Iva,"võta-q võti;take-IMP.2SG key.NOM;Take the key;|võtku-i võtind;take.IMP2SG-NEG  key.PRT;Don’t take the key!’
",
UT013,Is there differential subject marking?,1,Sulev Iva,lavva pääl om leib;table.GEN on be.3SG bread.NOM;There is the bread on the table;|lavva pääl om leibä;table.GEN on be.3SG bread.PRT;There is some bread on the table;,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,Sulev Iva,,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,Sulev Iva,,
UT016,Is there a grammatical device for habituality?,0,Sulev Iva,,
