ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT004,vanoh majoh,,vano-h	majo-h,old.PL-INE	house.PL-INE,in old houses,
UT005,suurõ pinigaq,,suurõ	pini-gaq,big.GEN	dog-COM,with a big dog,
UT008,vahtsõ perreliikme sündüden,,vahtsõ	perreliikme	sündü-den,new.GEN	family_member.GEN	be_born-CVB,When a new family member is born,
UT011-1,ma osta leevä,,ma	osta	leevä,I	buy[1SG]	bread.GEN,I'll buy a/the bread,
UT011-2,ma osta leibä,,ma	osta	leibä,I	buy[1SG]	bread.PRT,I'll buy some bread,
UT012-1,võtaq võti,,võta-q	võti,take-IMP.2SG	key.NOM,Take the key,
UT012-2,võtkui võtind,,võtku-i	võtind,take.IMP2SG-NEG	key.PRT,Don’t take the key!’,
UT013-1,lavva pääl om leib,,lavva	pääl	om	leib,table.GEN	on	be.3SG	bread.NOM,There is the bread on the table,
UT013-2,lavva pääl om leibä,,lavva	pääl	om	leibä,table.GEN	on	be.3SG	bread.PRT,There is some bread on the table,
UT014,Varas lei naist ja juusk' ärq,,Varas le-i nais-t ja juusk' ärq,thief hit-PST.3SG woman-PRT and run.PST.3SG away,The thief hit the woman and ran away,
UT017,joosiskõlõs,,joosisk-õlõ-s,run-FRQ-3SG,s/he is running around,
UT019,Nä lääväq puulpäävä sanna,,Nä	lääväq	puulpäävä	sanna,3PL	go-3PL	Saturday	sauna.ILL,They'll go to the sauna on Saturday,
UT020,ma olõ liina minemäh,,ma	olõ	liina	mine-mä-h,1SG	be[1SG]	town.ILL	go-SUP-INE,I'm about to go to town,
UT021,ma olli tennüq,,ma	oll-i	ten-nüq,1SG	be-PST[1SG]	do-ACT.PST.PTCP,I had done,
UT023,ma es tulõq,,ma	es	tulõq,1SG	NEG.PST	come.CNG,I didn't come,
UT026,"ku ma saasiq, ma eläsiq mõtsan",,"ku	ma	saa-siq,	ma	elä-siq	mõtsa-n",if	1SG	get-COND	1SG	live-COND	forest-INE,"If I could, I would live in the forest",
UT027,"ku ma saasiq, ma eläsiq mõtsan",,"ku	ma	saa-siq,	ma	elä-siq	mõtsa-n",if	1SG	get-COND	1SG	live-COND	forest-INE,"If I could, I would live in the forest",
UT031,tä tulkuq,,tä	tul-kuq,3SG	come-JUSS,Let him/her come,
UT032,ma tekuq kõik tüüq ärq,,ma	te-kuq	kõik	tüü-q	ärq,1SG	do-JUSS	all	work-PL	PFV,(S/he said that) I should do all the work,
UT037-1,ti elliq,,ti ell-i-iq,2PL live-PST-2PL,you lived,
UT037-2,nä elliq,,nä ell-i-q,3PL live-PST-3PL,they lived,
UT200,Mis sääl tetäs? - Juuskvaq,,Mis	sääl	tetäs?	-	Juusk-vaq,what	there	do.IPS.PRS	-	run-3PL,What is being done there? - (They are) running,
UT040,mis sa hädägaq tiit,,mis	sa	hädä-gaq	tii-t,what	you	trouble-COM	do-2SG,What to do when one is in trouble,
UT043,Ma lää et oppiq võro kiilt,,Ma	lää	et	oppi-q	võro	kiil-t,1SG	go[1SG]	that	study-INF	Võro	language-PRT,I am going in order to study the Võro language,
UT044,Satas,,Sata-s,rain-3SG,It is raining,
UT045,tä om oppaja,,tä	om	oppaja,3SG	be.3SG	teacher,S/he is a teacher,
UT202,tä oll´ oppaja,,tä	oll´	oppaja,3SG	be.PST.3SG	teacher,S/he is a teacher,
UT048-1,kass ja pini,,kass	ja	pini,cat	and	dog,a cat and a dog,
UT048-2,saat ja annat,,saa-t	ja	anna-t,get-2SG	and	give-2SG,you get and give,
UT050,ma loe : ma ei loeq,,ma	loe	:	ma	ei	loeq,1SG	read[1SG]	:	1SG	NEG	read.CNG,I read : I don’t read,
UT053,tegemäldäq tüü,,tege-mä-ldäq	tüü,do-SUP-ABE	work,undone work,
UT054,Meil eletäs häste,,Mei-l	ele-täs	häste,1PL-ADE	live-IPS.PRS	well,People live well here,
UT055,loet raamat,,loe-t	raamat,read-ACT.PST.PTCP	book,a book that has been read,
UT062,juuskvil poisõl om rahha,,juusk-v-i-l	poisõ-l	om	rahha,run-ACT.PRS.PTCP-PL-ADE	boy.PL-ADE	be.3SG	money.PRT,running boys have money,
UT064-1,juuskja,,Juusk-ja,run-AG.NMLZ,runner,
UT064-2,juuskja poiss,,juusk-ja	poiss,run-AG.NMLZ	boy,a running boy (lit. 'a runner boy'),
